Op rank by total time	Time of 1 call, microseconds	Number of calls in 1 run	Total time in 1 run	% of total time	Cumulative time, microseconds	% of total cumulative time	Op name	Device	Input/output tensors
1	  30854.0	1	  30854.0	     13.6	  30854.0	     13.6	LRNGrad	GPU-0	(128x27x27x192)(128x27x27x192)(128x27x27x192)->(128x27x27x192)
2	  24359.0	1	  24359.0	     10.7	  55213.0	     24.3	LRNGrad	GPU-0	(128x56x56x64)(128x56x56x64)(128x56x56x64)->(128x56x56x64)
3	  23665.8	1	  23665.8	     10.4	  78878.8	     34.7	LRN	GPU-0	(128x27x27x192)->(128x27x27x192)
4	  21124.6	1	  21124.6	      9.3	 100003.4	     43.9	LRN	GPU-0	(128x56x56x64)->(128x56x56x64)
5	    868.7	18	  15637.4	      6.9	 115640.8	     50.8	Transpose	GPU-0	(no input)->(no output)
6	   1633.6	8	  13069.0	      5.7	 128709.8	     56.6	Conv2DBackpropFilter	GPU-0	(128x224x224x3)(int32 4x1)(128x56x56x64)->(11x11x3x64)
7	   1394.8	7	   9763.4	      4.3	 138473.2	     60.8	Conv2DBackpropFilter	GPU-0	(128x13x13x192)(int32 4x1)(128x13x13x384)->(3x3x192x384)
8	   2098.2	4	   8392.6	      3.7	 146865.8	     64.5	Conv2D	GPU-0	(128x3x224x224)(11x11x3x64)->(128x64x56x56)
9	    961.1	7	   6727.6	      3.0	 153593.4	     67.5	Conv2DBackpropFilter	GPU-0	(128x13x13x384)(int32 4x1)(128x13x13x256)->(3x3x384x256)
10	    910.6	7	   6374.3	      2.8	 159967.7	     70.3	Conv2DBackpropFilter	GPU-0	(128x27x27x64)(int32 4x1)(128x27x27x192)->(5x5x64x192)
11	   1221.5	5	   6107.7	      2.7	 166075.4	     73.0	Conv2DBackpropInput	GPU-0	(int32 4x1)(3x3x384x256)(128x256x13x13)->(128x384x13x13)
12	   1218.0	5	   6090.1	      2.7	 172165.5	     75.7	Conv2D	GPU-0	(128x384x13x13)(3x3x384x256)->(128x256x13x13)
13	    845.6	6	   5073.4	      2.2	 177238.9	     77.9	Conv2D	GPU-0	(128x192x13x13)(3x3x192x384)->(128x384x13x13)
14	    987.4	5	   4937.0	      2.2	 182175.9	     80.0	Conv2DBackpropInput	GPU-0	(int32 4x1)(3x3x192x384)(128x384x13x13)->(128x192x13x13)
