Op rank by total time	Time of 1 call, microseconds	Number of calls in 1 run	Total time in 1 run	% of total time	Cumulative time, microseconds	% of total cumulative time	Op name	Device	Input/output tensor dimensions
1	  13761.4	2	  27522.8	     11.6	  27522.8	     11.6	LRNGrad	GPU-0	(128x27x27x192)(128x27x27x192)(128x27x27x192)->(128x27x27x192)
2	  12197.0	2	  24393.9	     10.3	  51916.7	     21.9	LRN	GPU-0	(?)->(128x27x27x192)
3	  11026.9	2	  22053.8	      9.3	  73970.5	     31.2	LRN	GPU-0	(128x56x56x64)->(128x56x56x64)
4	   9106.0	2	  18212.0	      7.7	  92182.5	     38.8	LRNGrad	GPU-0	(128x56x56x64)(?)(128x56x56x64)->(128x56x56x64)
5	    894.3	18	  16097.5	      6.8	 108280.0	     45.6	Transpose	GPU-0	(no input)->(no output)
6	   1637.0	9	  14733.2	      6.2	 123013.2	     51.8	Conv2DBackpropFilter	GPU-0	(128x224x224x3)(1x1)(128x56x56x64)->(11x11x3x64)
7	   2040.7	5	  10203.5	      4.3	 133216.7	     56.1	Conv2D	GPU-0	(128x3x224x224)(11x11x3x64)->(128x64x56x56)
8	    994.6	8	   7957.1	      3.4	 141173.8	     59.5	Conv2DBackpropFilter	GPU-0	(128x13x13x192)(1x1)(?)->(3x3x192x384)
9	    972.9	8	   7783.3	      3.3	 148957.1	     62.7	Conv2DBackpropFilter	GPU-0	(128x13x13x384)(1x1)(?)->(3x3x384x256)
10	   1043.1	7	   7301.8	      3.1	 156258.9	     65.8	Conv2D	GPU-0	(128x384x13x13)(3x3x384x256)->(128x256x13x13)
11	    863.2	8	   6905.5	      2.9	 163164.4	     68.7	Conv2DBackpropFilter	GPU-0	(128x27x27x64)(1x1)(?)->(5x5x64x192)
12	   1149.1	6	   6894.5	      2.9	 170058.9	     71.6	Conv2DBackpropInput	GPU-0	((int32) 4x1)(3x3x384x256)(128x256x13x13)->(128x384x13x13)
13	    961.3	6	   5767.6	      2.4	 175826.5	     74.0	Conv2DBackpropInput	GPU-0	((int32) 4x1)(3x3x192x384)(128x384x13x13)->(128x192x13x13)
