Op rank by total time	Time of 1 call, microseconds	Number of calls in 1 run	Total time in 1 run	% of total time	Cumulative time, microseconds	% of total cumulative time	(FL)OPs in RegisterStatistics	GFLOP/S achieved	Op name	Device	Input/output tensors
1	 30870.24	     1.00	 30870.24	    13.71	 30870.24	    13.71	     0.00	     0.00	LRNGrad	GPU-0	(128x27x27x192)(128x27x27x192)(128x27x27x192)->(128x27x27x192)
2	 24017.91	     1.00	 24017.91	    10.67	 54888.15	    24.38	     0.00	     0.00	LRNGrad	GPU-0	(128x56x56x64)(128x56x56x64)(128x56x56x64)->(128x56x56x64)
3	 23692.51	     1.00	 23692.51	    10.52	 78580.66	    34.90	     0.00	     0.00	LRN	GPU-0	(128x27x27x192)->(128x27x27x192)
4	 21012.64	     1.00	 21012.64	     9.33	 99593.30	    44.23	     0.00	     0.00	LRN	GPU-0	(128x56x56x64)->(128x56x56x64)
5	 13564.13	     1.00	 13564.13	     6.02	113157.43	    50.26	18651021312.00	  1375.03	Conv2DBackpropFilter	GPU-0	(128x224x224x3)(int32 4x1)(128x56x56x64)->(11x11x3x64)
6	  8648.79	     1.00	  8648.79	     3.84	121806.22	    54.10	18651021312.00	  2156.49	Conv2D	GPU-0	(128x3x224x224)(11x11x3x64)->(128x64x56x56)
7	  6822.03	     1.00	  6822.03	     3.03	128628.25	    57.13	38277218304.00	  5610.83	Conv2DBackpropFilter	GPU-0	(128x13x13x384)(int32 4x1)(128x13x13x256)->(3x3x384x256)
8	  6553.59	     1.00	  6553.59	     2.91	135181.84	    60.04	28707913728.00	  4380.49	Conv2DBackpropFilter	GPU-0	(128x13x13x192)(int32 4x1)(128x13x13x384)->(3x3x192x384)
9	  6447.38	     1.00	  6447.38	     2.86	141629.22	    62.90	57330892800.00	  8892.12	Conv2DBackpropFilter	GPU-0	(128x27x27x64)(int32 4x1)(128x27x27x192)->(5x5x64x192)
10	  6207.93	     1.00	  6207.93	     2.76	147837.15	    65.66	38277218304.00	  6165.86	Conv2DBackpropInput	GPU-0	(int32 4x1)(3x3x384x256)(128x256x13x13)->(128x384x13x13)
11	  6163.72	     1.00	  6163.72	     2.74	154000.87	    68.40	38277218304.00	  6210.08	Conv2D	GPU-0	(128x384x13x13)(3x3x384x256)->(128x256x13x13)
12	  5126.88	     1.00	  5126.88	     2.28	159127.75	    70.67	28707913728.00	  5599.49	Conv2D	GPU-0	(128x192x13x13)(3x3x192x384)->(128x384x13x13)
13	  5017.16	     1.00	  5017.16	     2.23	164144.91	    72.90	28707913728.00	  5721.95	Conv2DBackpropInput	GPU-0	(int32 4x1)(3x3x192x384)(128x384x13x13)->(128x192x13x13)
14	  4845.16	     1.00	  4845.16	     2.15	168990.07	    75.05	25518145536.00	  5266.73	Conv2DBackpropFilter	GPU-0	(128x13x13x256)(int32 4x1)(128x13x13x256)->(3x3x256x256)
15	  4645.94	     1.00	  4645.94	     2.06	173636.01	    77.12	57330892800.00	 12340.00	Conv2D	GPU-0	(128x64x27x27)(5x5x64x192)->(128x192x27x27)
16	  4577.89	     1.00	  4577.89	     2.03	178213.90	    79.15	57330892800.00	 12523.43	Conv2DBackpropInput	GPU-0	(int32 4x1)(5x5x64x192)(128x192x27x27)->(128x64x27x27)
17	  4241.89	     1.00	  4241.89	     1.88	182455.79	    81.04	25518145536.00	  6015.75	Conv2D	GPU-0	(128x256x13x13)(3x3x256x256)->(128x256x13x13)
18	  1361.53	     3.00	  4084.59	     1.81	186540.38	    82.85	     0.00	     0.00	Transpose	GPU-0	(128x64x56x56)(int32 4x1)->(128x56x56x64)
