Op	System_1 time per call	System_2 time per call	Time ratio Sys1/Sys2 (one call)	System_1 total op time	System_2 total op time	Time ratio Sys1/Sys2 (all calls)	System_1 occurence	System_2 occurence	Occurence Ratio	System1 cumulative time	System1 % of total time 	System1 cumulative % of total time 	System2 cumulative time	System2 % of total time 	System2 cumulative % of total time 
LRNGrad@GPU-0@(128x27x27x192)(128x27x27x192)(128x27x27x192)->(128x27x27x192)	30753.51	30870.24	0.9962186882900812	30753.51	30870.24	0.9962186882900812	1.00	1.00	1.0	30753.51	0.1370440752069084	0.1370440752069084	30870.24	0.13710618918375145	0.13710618918375145
LRNGrad@GPU-0@(128x56x56x64)(128x56x56x64)(128x56x56x64)->(128x56x56x64)	23975.83	24017.91	0.9982479741159827	23975.83	24017.91	0.9982479741159827	1.00	1.00	1.0	54729.34	0.10684131501308472	0.24388539021999311	54888.15	0.10667244933172906	0.2437786385154805
LRN@GPU-0@(128x27x27x192)->(128x27x27x192)	23641.52	23692.51	0.9978478430525091	23641.52	23692.51	0.9978478430525091	1.00	1.00	1.0	78370.86	0.10535155970442493	0.34923694992441806	78580.66	0.10522722720321977	0.3490058657187003
LRN@GPU-0@(128x56x56x64)->(128x56x56x64)	20983.62	21012.64	0.9986189265128037	20983.62	21012.64	0.9986189265128037	1.00	1.00	1.0	99354.48	0.09350740118422864	0.4427443511086467	99593.3	0.09332493025937158	0.4423307959780719
Conv2DBackpropFilter@GPU-0@(128x224x224x3)(int32 4x1)(128x56x56x64)->(11x11x3x64)	13517.08	13564.13	0.9965312924603348	13517.08	13564.13	0.9965312924603348	1.00	1.00	1.0	112871.56	0.06023493669821095	0.5029792878068576	113157.43000000001	0.060243333835208225	0.5025741298132801
Conv2D@GPU-0@(128x3x224x224)(11x11x3x64)->(128x64x56x56)	8613.72	8648.79	0.9959450975223122	8613.72	8648.79	0.9959450975223122	1.00	1.00	1.0	121485.28	0.03838453859384672	0.5413638264007044	121806.22	0.03841248522688965	0.5409866150401698
Conv2DBackpropFilter@GPU-0@(128x13x13x384)(int32 4x1)(128x13x13x256)->(3x3x384x256)	6827.92	6822.03	1.0008633793753472	6827.92	6822.03	1.0008633793753472	1.00	1.00	1.0	128313.2	0.03042664014568594	0.5717904665463903	128628.25	0.03029916631024663	0.5712857813504164
Conv2DBackpropFilter@GPU-0@(128x13x13x192)(int32 4x1)(128x13x13x384)->(3x3x192x384)	6559.23	6553.59	1.0008605970162918	6559.23	6553.59	1.0008605970162918	1.00	1.00	1.0	134872.43	0.029229301286890823	0.6010197678332811	135181.84	0.029106924674791698	0.6003927060252081
Conv2DBackpropFilter@GPU-0@(128x27x27x64)(int32 4x1)(128x27x27x192)->(5x5x64x192)	6419.36	6447.38	0.9956540486213004	6419.36	6447.38	0.9956540486213004	1.00	1.00	1.0	141291.78999999998	0.02860601130148134	0.6296257791347625	141629.22	0.028635206659214034	0.6290279126844222
Conv2DBackpropInput@GPU-0@(int32 4x1)(3x3x384x256)(128x256x13x13)->(128x384x13x13)	6153.42	6207.93	0.9912192953206624	6153.42	6207.93	0.9912192953206624	1.00	1.00	1.0	147445.21	0.027420927018076777	0.6570467061528392	147837.15	0.027571720369504293	0.6565996330539264
Conv2D@GPU-0@(128x384x13x13)(3x3x384x256)->(128x256x13x13)	6132.95	6163.72	0.9950078848487601	6132.95	6163.72	0.9950078848487601	1.00	1.00	1.0	153578.16	0.02732970841507876	0.684376414567918	154000.87	0.027375367356900125	0.6839750004108266
Conv2D@GPU-0@(128x192x13x13)(3x3x192x384)->(128x384x13x13)	5102.51	5126.88	0.9952466217270542	5102.51	5126.88	0.9952466217270542	1.00	1.00	1.0	158680.67	0.022737852173101616	0.7071142667410196	159127.75	0.022770376232980102	0.7067453766438067
Conv2DBackpropInput@GPU-0@(int32 4x1)(3x3x192x384)(128x384x13x13)->(128x192x13x13)	5023.91	5017.16	1.0013453826467564	5023.91	5017.16	1.0013453826467564	1.00	1.00	1.0	163704.58000000002	0.02238759412739356	0.7295018608684132	164144.91	0.022283069005137324	0.729028445648944
Conv2DBackpropFilter@GPU-0@(128x13x13x256)(int32 4x1)(128x13x13x256)->(3x3x256x256)	4804.20	4845.16	0.991546202808576	4804.20	4845.16	0.991546202808576	1.00	1.00	1.0	168508.78000000003	0.021408520396827203	0.7509103812652403	168990.07	0.021519153190436652	0.7505475988393806
