Op rank by total time	Time of 1 call, microseconds	Number of calls in 1 run	Total time in 1 run	% of total time	Cumulative time, microseconds	% of total cumulative time	(FL)OP estimation	GFLOP/S achieved	Op name	Device	Input/output tensors
1	  31377.8	      1.0	  31377.8	     13.8	  31377.8	     13.8	        0	    0.000	LRNGrad	GPU-0	(128x27x27x192)(128x27x27x192)(128x27x27x192)->(128x27x27x192)
2	  24515.4	      1.0	  24515.4	     10.8	  55893.2	     24.5	        0	    0.000	LRNGrad	GPU-0	(128x56x56x64)(128x56x56x64)(128x56x56x64)->(128x56x56x64)
3	  24082.0	      1.0	  24082.0	     10.6	  79975.2	     35.1	        0	    0.000	LRN	GPU-0	(128x27x27x192)->(128x27x27x192)
4	  21371.4	      1.0	  21371.4	      9.4	 101346.7	     44.5	        0	    0.000	LRN	GPU-0	(128x56x56x64)->(128x56x56x64)
5	  13635.4	      1.0	  13635.4	      6.0	 114982.1	     50.4	18651021312	 1367.839	Conv2DBackpropFilter	GPU-0	(128x224x224x3)(int32 4x1)(128x56x56x64)->(11x11x3x64)
6	   8639.1	      1.0	   8639.1	      3.8	 123621.2	     54.2	18651021312	 2158.903	Conv2D	GPU-0	(128x3x224x224)(11x11x3x64)->(128x64x56x56)
7	   6914.7	      1.0	   6914.7	      3.0	 130535.9	     57.3	38277218304	 5535.646	Conv2DBackpropFilter	GPU-0	(128x13x13x384)(int32 4x1)(128x13x13x256)->(3x3x384x256)
8	   6637.9	      1.0	   6637.9	      2.9	 137173.8	     60.2	28707913728	 4324.836	Conv2DBackpropFilter	GPU-0	(128x13x13x192)(int32 4x1)(128x13x13x384)->(3x3x192x384)
9	   6524.7	      1.0	   6524.7	      2.9	 143698.5	     63.0	57330892800	 8786.707	Conv2DBackpropFilter	GPU-0	(128x27x27x64)(int32 4x1)(128x27x27x192)->(5x5x64x192)
10	   6214.2	      1.0	   6214.2	      2.7	 149912.7	     65.8	38277218304	 6159.667	Conv2D	GPU-0	(128x384x13x13)(3x3x384x256)->(128x256x13x13)
11	   6208.5	      1.0	   6208.5	      2.7	 156121.1	     68.5	38277218304	 6165.332	Conv2DBackpropInput	GPU-0	(int32 4x1)(3x3x384x256)(128x256x13x13)->(128x384x13x13)
12	   5142.7	      1.0	   5142.7	      2.3	 161263.8	     70.7	28707913728	 5582.297	Conv2D	GPU-0	(128x192x13x13)(3x3x192x384)->(128x384x13x13)
13	   5074.7	      1.0	   5074.7	      2.2	 166338.5	     73.0	28707913728	 5657.111	Conv2DBackpropInput	GPU-0	(int32 4x1)(3x3x192x384)(128x384x13x13)->(128x192x13x13)
14	   4865.7	      1.0	   4865.7	      2.1	 171204.1	     75.1	25518145536	 5244.529	Conv2DBackpropFilter	GPU-0	(128x13x13x256)(int32 4x1)(128x13x13x256)->(3x3x256x256)
15	   4681.8	      1.0	   4681.8	      2.1	 175885.9	     77.1	57330892800	12245.533	Conv2D	GPU-0	(128x64x27x27)(5x5x64x192)->(128x192x27x27)
16	   4613.4	      1.0	   4613.4	      2.0	 180499.3	     79.2	57330892800	12427.010	Conv2DBackpropInput	GPU-0	(int32 4x1)(5x5x64x192)(128x192x27x27)->(128x64x27x27)
17	   4247.5	      1.0	   4247.5	      1.9	 184746.9	     81.0	25518145536	 6007.747	Conv2D	GPU-0	(128x256x13x13)(3x3x256x256)->(128x256x13x13)
18	   1380.8	      3.0	   4142.3	      1.8	 188889.2	     82.8	        0	    0.000	Transpose	GPU-0	(128x64x56x56)(int32 4x1)->(128x56x56x64)
19	   4109.0	      1.0	   4109.0	      1.8	 192998.2	     84.7	25518145536	 6210.245	Conv2DBackpropInput	GPU-0	(int32 4x1)(3x3x256x256)(128x256x13x13)->(128x256x13x13)
20	   3079.5	      1.0	   3079.5	      1.4	 196077.7	     86.0	 59719680	   19.392	MaxPoolGrad	GPU-0	(128x64x56x56)(128x64x27x27)(128x64x27x27)->(128x64x56x56)
21	    971.5	      3.0	   2914.4	      1.3	 198992.1	     87.3	        0	    0.000	Transpose	GPU-0	(128x192x27x27)(int32 4x1)->(128x27x27x192)
22	   1382.0	      2.0	   2763.9	      1.2	 201756.0	     88.5	        0	    0.000	Transpose	GPU-0	(128x56x56x64)(int32 4x1)->(128x64x56x56)
23	   2033.7	      1.0	   2033.7	      0.9	 203789.7	     89.4	        0	    0.000	ReluGrad	GPU-0	(128x64x56x56)(128x64x56x56)->(128x64x56x56)
24	    968.4	      2.0	   1936.7	      0.8	 205726.5	     90.2	        0	    0.000	Transpose	GPU-0	(128x27x27x192)(int32 4x1)->(128x192x27x27)
25	   1841.8	      1.0	   1841.8	      0.8	 207568.3	     91.0	        0	    0.000	Transpose	GPU-0	(128x224x224x3)(int32 4x1)->(128x3x224x224)
26	   1723.8	      1.0	   1723.8	      0.8	 209292.1	     91.8	 25690112	   14.903	BiasAdd	GPU-0	(128x64x56x56)(64x1)->(128x64x56x56)
27	   1415.0	      1.0	   1415.0	      0.6	 210707.1	     92.4	        0	    0.000	ReluGrad	GPU-0	(128x192x27x27)(128x192x27x27)->(128x192x27x27)
28	   1385.8	      1.0	   1385.8	      0.6	 212092.9	     93.0	        0	    0.000	Relu	GPU-0	(128x64x56x56)->(128x64x56x56)
29	   1309.8	      1.0	   1309.8	      0.6	 213402.7	     93.6	 41533440	   31.710	MaxPoolGrad	GPU-0	(128x192x27x27)(128x192x13x13)(128x192x13x13)->(128x192x27x27)
30	   1263.5	      1.0	   1263.5	      0.6	 214666.2	     94.2	 53747712	   42.538	MaxPool	GPU-0	(128x64x56x56)->(128x64x27x27)
31	   1205.5	      1.0	   1205.5	      0.5	 215871.7	     94.7	 17915904	   14.862	BiasAdd	GPU-0	(128x192x27x27)(192x1)->(128x192x27x27)
32	    946.4	      1.0	    946.4	      0.4	 216818.1	     95.1	        0	    0.000	Relu	GPU-0	(128x192x27x27)->(128x192x27x27)
33	    910.3	      1.0	    910.3	      0.4	 217728.4	     95.5	 37380096	   41.063	MaxPool	GPU-0	(128x192x27x27)->(128x192x13x13)
34	    302.6	      3.0	    907.9	      0.4	 218636.3	     95.9	        0	    0.000	Transpose	GPU-0	(128x256x13x13)(int32 4x1)->(128x13x13x256)
35	    452.8	      2.0	    905.6	      0.4	 219541.9	     96.3	        0	    0.000	Transpose	GPU-0	(128x384x13x13)(int32 4x1)->(128x13x13x384)
36	    438.8	      2.0	    877.7	      0.4	 220419.6	     96.7	        0	    0.000	ReluGrad	GPU-0	(128x256x13x13)(128x256x13x13)->(128x256x13x13)
37	    802.3	      1.0	    802.3	      0.4	 221221.9	     97.0	 11796480	   14.703	MaxPoolGrad	GPU-0	(128x256x13x13)(128x256x6x6)(128x256x6x6)->(128x256x13x13)
38	    753.1	      1.0	    753.1	      0.3	 221975.0	     97.4	 25690048	   34.111	BiasAddGrad	GPU-0	(128x56x56x64)->(64x1)
39	    364.7	      2.0	    729.4	      0.3	 222704.5	     97.7	 11075584	   15.184	BiasAdd	GPU-0	(128x256x13x13)(256x1)->(128x256x13x13)
40	    675.5	      1.0	    675.5	      0.3	 223379.9	     98.0	        0	    0.000	ReluGrad	GPU-0	(128x384x13x13)(128x384x13x13)->(128x384x13x13)
41	    297.1	      2.0	    594.2	      0.3	 223974.1	     98.2	        0	    0.000	Relu	GPU-0	(128x256x13x13)->(128x256x13x13)
42	    552.6	      1.0	    552.6	      0.2	 224526.7	     98.5	  8306688	   15.033	BiasAdd	GPU-0	(128x384x13x13)(384x1)->(128x384x13x13)
43	    490.6	      1.0	    490.6	      0.2	 225017.3	     98.7	 17915712	   36.518	BiasAddGrad	GPU-0	(128x27x27x192)->(192x1)
44	    440.1	      1.0	    440.1	      0.2	 225457.4	     98.9	        0	    0.000	Relu	GPU-0	(128x384x13x13)->(128x384x13x13)
45	    174.9	      2.0	    349.8	      0.2	 225807.2	     99.0	 11075072	   31.659	BiasAddGrad	GPU-0	(128x13x13x256)->(256x1)
46	    316.6	      1.0	    316.6	      0.1	 226123.8	     99.2	        0	    0.000	Transpose	GPU-0	(128x64x27x27)(int32 4x1)->(128x27x27x64)
47	    303.3	      1.0	    303.3	      0.1	 226427.1	     99.3	        0	    0.000	MEMCPYDtoH	GPU-0	(Transfer)->(3538944 bytes)
48	    274.0	      1.0	    274.0	      0.1	 226701.1	     99.4	 10616832	   38.746	MaxPool	GPU-0	(128x256x13x13)->(128x256x6x6)
49	    262.4	      1.0	    262.4	      0.1	 226963.4	     99.5	  8306304	   31.661	BiasAddGrad	GPU-0	(128x13x13x384)->(384x1)
50	    257.7	      1.0	    257.7	      0.1	 227221.1	     99.7	        0	    0.000	MEMCPYDtoH	GPU-0	(Transfer)->(2654208 bytes)
51	    241.6	      1.0	    241.6	      0.1	 227462.8	     99.8	        0	    0.000	MEMCPYDtoH	GPU-0	(Transfer)->(2359296 bytes)
52	    219.8	      1.0	    219.8	      0.1	 227682.5	     99.9	        0	    0.000	Transpose	GPU-0	(128x192x13x13)(int32 4x1)->(128x13x13x192)
53	    103.6	      1.0	    103.6	      0.0	 227786.1	     99.9	        0	    0.000	MEMCPYDtoH	GPU-0	(Transfer)->(1228800 bytes)
54	      3.1	     11.0	     34.0	      0.0	 227820.2	     99.9	        0	    0.000	Const	GPU-0	(no input)->(int32 4x1)
55	     12.8	      2.0	     25.6	      0.0	 227845.8	     99.9	        0	    0.000	VariableV2	GPU-0	(no input)->(256x1)
56	     19.9	      1.0	     19.9	      0.0	 227865.7	     99.9	        0	    0.000	NoOp	GPU-0	(no input)->(no output info)
57	      4.8	      2.0	      9.5	      0.0	 227875.2	     99.9	        0	    0.000	_Retval	CPU-0	(256x1)->(no output info)
58	      8.1	      1.0	      8.1	      0.0	 227883.3	    100.0	        0	    0.000	NoOp	CPU-0	(no input)->(no output info)
59	      7.0	      1.0	      7.0	      0.0	 227890.3	    100.0	        0	    0.000	MEMCPYDtoH	GPU-0	(Transfer)->(92928 bytes)
60	      7.0	      1.0	      7.0	      0.0	 227897.3	    100.0	        0	    0.000	VariableV2	GPU-0	(no input)->(128x224x224x3)
61	      5.6	      1.0	      5.6	      0.0	 227902.9	    100.0	        0	    0.000	VariableV2	GPU-0	(no input)->(5x5x64x192)
62	      2.5	      2.0	      4.9	      0.0	 227907.8	    100.0	        0	    0.000	Identity	GPU-0	(256x1)->(256x1)
63	      4.9	      1.0	      4.9	      0.0	 227912.7	    100.0	        0	    0.000	_Retval	CPU-0	(11x11x3x64)->(no output info)
64	      4.8	      1.0	      4.8	      0.0	 227917.5	    100.0	        0	    0.000	VariableV2	GPU-0	(no input)->(11x11x3x64)
65	      4.8	      1.0	      4.8	      0.0	 227922.3	    100.0	        0	    0.000	VariableV2	GPU-0	(no input)->(3x3x192x384)
66	      4.5	      1.0	      4.5	      0.0	 227926.8	    100.0	        0	    0.000	_Retval	CPU-0	(64x1)->(no output info)
67	      4.4	      1.0	      4.4	      0.0	 227931.2	    100.0	        0	    0.000	VariableV2	GPU-0	(no input)->(3x3x384x256)
68	      4.1	      1.0	      4.1	      0.0	 227935.3	    100.0	        0	    0.000	_Retval	CPU-0	(192x1)->(no output info)
69	      3.9	      1.0	      3.9	      0.0	 227939.2	    100.0	        0	    0.000	VariableV2	GPU-0	(no input)->(192x1)
70	      3.7	      1.0	      3.7	      0.0	 227942.9	    100.0	        0	    0.000	VariableV2	GPU-0	(no input)->(3x3x256x256)
71	      3.7	      1.0	      3.7	      0.0	 227946.6	    100.0	        0	    0.000	VariableV2	GPU-0	(no input)->(64x1)
72	      3.4	      1.0	      3.4	      0.0	 227950.0	    100.0	        0	    0.000	VariableV2	GPU-0	(no input)->(384x1)
73	      3.3	      1.0	      3.3	      0.0	 227953.3	    100.0	        0	    0.000	_Retval	CPU-0	(384x1)->(no output info)
74	      3.1	      1.0	      3.1	      0.0	 227956.4	    100.0	        0	    0.000	Identity	GPU-0	(128x224x224x3)->(128x224x224x3)
75	      3.1	      1.0	      3.1	      0.0	 227959.5	    100.0	        0	    0.000	Identity	GPU-0	(3x3x192x384)->(3x3x192x384)
76	      2.9	      1.0	      2.9	      0.0	 227962.4	    100.0	        0	    0.000	Identity	GPU-0	(3x3x384x256)->(3x3x384x256)
77	      2.7	      1.0	      2.7	      0.0	 227965.1	    100.0	        0	    0.000	Identity	GPU-0	(384x1)->(384x1)
78	      1.3	      2.0	      2.6	      0.0	 227967.8	    100.0	        0	    0.000	MEMCPYDtoH	GPU-0	(Transfer)->(1024 bytes)
79	      2.6	      1.0	      2.6	      0.0	 227970.4	    100.0	        0	    0.000	Identity	GPU-0	(3x3x256x256)->(3x3x256x256)
80	      2.6	      1.0	      2.6	      0.0	 227973.0	    100.0	        0	    0.000	Identity	GPU-0	(11x11x3x64)->(11x11x3x64)
81	      2.5	      1.0	      2.5	      0.0	 227975.5	    100.0	        0	    0.000	Identity	GPU-0	(5x5x64x192)->(5x5x64x192)
82	      2.4	      1.0	      2.4	      0.0	 227977.9	    100.0	        0	    0.000	Identity	GPU-0	(192x1)->(192x1)
83	      2.3	      1.0	      2.3	      0.0	 227980.2	    100.0	        0	    0.000	MEMCPYDtoH	GPU-0	(Transfer)->(1536 bytes)
84	      2.3	      1.0	      2.3	      0.0	 227982.5	    100.0	        0	    0.000	Identity	GPU-0	(64x1)->(64x1)
85	      2.3	      1.0	      2.3	      0.0	 227984.7	    100.0	        0	    0.000	_Retval	CPU-0	(3x3x192x384)->(no output info)
86	      2.2	      1.0	      2.2	      0.0	 227986.9	    100.0	        0	    0.000	_Retval	CPU-0	(3x3x384x256)->(no output info)
87	      2.2	      1.0	      2.2	      0.0	 227989.1	    100.0	        0	    0.000	_Retval	CPU-0	(3x3x256x256)->(no output info)
88	      1.9	      1.0	      1.9	      0.0	 227991.0	    100.0	        0	    0.000	_Retval	CPU-0	(5x5x64x192)->(no output info)
89	      1.6	      1.0	      1.6	      0.0	 227992.6	    100.0	        0	    0.000	MEMCPYDtoH	GPU-0	(Transfer)->(768 bytes)
90	      1.0	      1.0	      1.0	      0.0	 227993.6	    100.0	        0	    0.000	MEMCPYDtoH	GPU-0	(Transfer)->(256 bytes)
