ConstantFolding/gradients/conv1/Conv2D_grad/ShapeN-matshapes-1	/job:localhost/replica:0/task:0/device:GPU:0	0	1	2	['(int32 4x1)']	ConstantFolding/gradients/conv1/Conv2D_grad/ShapeN-matshapes-1 = Const(^conv1/weights/read, ^Variable/read)
ConstantFolding/gradients/conv2/Conv2D_grad/ShapeN-matshapes-1	/job:localhost/replica:0/task:0/device:GPU:0	0	1	2	['(int32 4x1)']	ConstantFolding/gradients/conv2/Conv2D_grad/ShapeN-matshapes-1 = Const(^conv2/weights/read, ^pool1)
ConstantFolding/gradients/conv3/Conv2D_grad/ShapeN-matshapes-1	/job:localhost/replica:0/task:0/device:GPU:0	0	1	2	['(int32 4x1)']	ConstantFolding/gradients/conv3/Conv2D_grad/ShapeN-matshapes-1 = Const(^conv3/weights/read, ^pool2)
ConstantFolding/gradients/conv4/Conv2D_grad/ShapeN-matshapes-1	/job:localhost/replica:0/task:0/device:GPU:0	0	1	2	['(int32 4x1)']	ConstantFolding/gradients/conv4/Conv2D_grad/ShapeN-matshapes-1 = Const(^conv4/weights/read, ^conv3)
ConstantFolding/gradients/conv5/Conv2D_grad/ShapeN-matshapes-1	/job:localhost/replica:0/task:0/device:GPU:0	1	1	2	['(int32 4x1)']	ConstantFolding/gradients/conv5/Conv2D_grad/ShapeN-matshapes-1 = Const(^conv5/weights/read, ^conv4)
PermConstNCHWToNHWC-LayoutOptimizer	/job:localhost/replica:0/task:0/device:GPU:0	0	2	18	['(int32 4x1)']	PermConstNCHWToNHWC-LayoutOptimizer = Const()
PermConstNHWCToNCHW-LayoutOptimizer	/job:localhost/replica:0/task:0/device:GPU:0	1	2	3	['(int32 4x1)']	PermConstNHWCToNCHW-LayoutOptimizer = Const()
Variable	/job:localhost/replica:0/task:0/device:GPU:0	0	4	6	['(128x224x224x3)']	Variable = VariableV2()
Variable/read	/job:localhost/replica:0/task:0/device:GPU:0	0	1	2	['(128x224x224x3)']	Variable/read = Identity(Variable)
_SOURCE	/job:localhost/replica:0/task:0/device:CPU:0	1	2	7	['(no output info)']	_SOURCE = NoOp()
