conv1/weights	VariableV2	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(no input)'], ['(11x11x3x64)'], 0, 3, 4]}
conv1-2-1-TransposeNCHWToNHWC-LayoutOptimizer	Transpose	{'/device:GPU:0/stream:all': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 1362, 1362], '/device:GPU:0/stream:13': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 1362, 1362], '/job:localhost/replica:0/task:0/device:GPU:0': [['(128x64x56x56)', '(int32 4x1)'], ['(128x56x56x64)'], 0, 12, 14]}
_retval_gradients/conv3/Conv2D_grad/Conv2DBackpropFilter_0_5	_Retval	{'/job:localhost/replica:0/task:0/device:CPU:0': [['(3x3x192x384)'], ['(no output info)'], 0, 1, 2]}
conv3/weights/read	Identity	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(3x3x192x384)'], ['(3x3x192x384)'], 0, 1, 2]}
ConstantFolding/gradients/conv5/Conv2D_grad/ShapeN-matshapes-1	Const	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(no input)'], ['(int32 4x1)'], 0, 1, 2]}
edge_195_gradients/conv5/Conv2D_grad/Conv2DBackpropFilter/MEMCPYDtoH	MEMCPYDtoH	{'/device:GPU:0/stream:15': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 269, 269], '/device:GPU:0/memcpy': [['(Transfer)'], ['(2359296 bytes)'], 0, 269, 269]}
conv4/weights	VariableV2	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(no input)'], ['(3x3x384x256)'], 0, 2, 3]}
edge_179_gradients/conv1/Conv2D_grad/Conv2DBackpropFilter/MEMCPYDtoH	MEMCPYDtoH	{'/device:GPU:0/stream:15': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 7, 7], '/device:GPU:0/memcpy': [['(Transfer)'], ['(92928 bytes)'], 0, 7, 7]}
edge_177_gradients/conv1/BiasAdd_grad/BiasAddGrad/MEMCPYDtoH	MEMCPYDtoH	{'/device:GPU:0/stream:15': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 1, 1], '/device:GPU:0/memcpy': [['(Transfer)'], ['(256 bytes)'], 0, 1, 1]}
edge_193_gradients/conv5/BiasAdd_grad/BiasAddGrad/MEMCPYDtoH	MEMCPYDtoH	{'/device:GPU:0/stream:15': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 2, 2], '/device:GPU:0/memcpy': [['(Transfer)'], ['(1024 bytes)'], 0, 2, 2]}
