gradients/conv4/BiasAdd_grad/BiasAddGrad@GPU-0@(128x13x13x256)->(256x1)	gradients/conv4/BiasAdd_grad/BiasAddGrad	BiasAddGrad	GPU-0	0	170	170	(128x13x13x256)->(256x1)	1	1	0
gradients/conv5_grad/ReluGrad@GPU-0@(128x256x13x13)(128x256x13x13)->(128x256x13x13)	gradients/conv5_grad/ReluGrad	ReluGrad	GPU-0	0	427	427	(128x256x13x13)(128x256x13x13)->(128x256x13x13)	1	1	0
gradients/conv2/Conv2D_grad/Conv2DBackpropInput@GPU-0@(int32 4x1)(5x5x64x192)(128x192x27x27)->(128x64x27x27)	gradients/conv2/Conv2D_grad/Conv2DBackpropInput	Conv2DBackpropInput	GPU-0	0	4606	4606	(int32 4x1)(5x5x64x192)(128x192x27x27)->(128x64x27x27)	1	1	0
conv3/weights@GPU-0@(no input)->(3x3x192x384)	conv3/weights	VariableV2	GPU-0	1	1	4	(no input)->(3x3x192x384)	0	1	0
gradients/conv4/Conv2D_grad/Conv2DBackpropInput-0-LayoutOptimizer@GPU-0@(no input)->(int32 4x1)	gradients/conv4/Conv2D_grad/Conv2DBackpropInput-0-LayoutOptimizer	Const	GPU-0	0	1	2	(no input)->(int32 4x1)	0	1	0
gradients/conv3_grad/ReluGrad-1-0-TransposeNCHWToNHWC-LayoutOptimizer@GPU-0@(128x384x13x13)(int32 4x1)->(128x13x13x384)	gradients/conv3_grad/ReluGrad-1-0-TransposeNCHWToNHWC-LayoutOptimizer	Transpose	GPU-0	0	445	445	(128x384x13x13)(int32 4x1)->(128x13x13x384)	1	1	0
PermConstNCHWToNHWC-LayoutOptimizer@GPU-0@(no input)->(int32 4x1)	PermConstNCHWToNHWC-LayoutOptimizer	Const	GPU-0	0	2	18	(no input)->(int32 4x1)	0	1	0
conv4/BiasAdd@GPU-0@(128x256x13x13)(256x1)->(128x256x13x13)	conv4/BiasAdd	BiasAdd	GPU-0	0	357	357	(128x256x13x13)(256x1)->(128x256x13x13)	1	1	0
lrn1/LRN@GPU-0@(128x56x56x64)->(128x56x56x64)	lrn1/LRN	LRN	GPU-0	0	21354	21354	(128x56x56x64)->(128x56x56x64)	1	1	0
gradients/conv3/Conv2D_grad/Conv2DBackpropInput@GPU-0@(int32 4x1)(3x3x192x384)(128x384x13x13)->(128x192x13x13)	gradients/conv3/Conv2D_grad/Conv2DBackpropInput	Conv2DBackpropInput	GPU-0	0	5042	5042	(int32 4x1)(3x3x192x384)(128x384x13x13)->(128x192x13x13)	1	1	0
Variable/read@GPU-0@(128x224x224x3)->(128x224x224x3)	Variable/read	Identity	GPU-0	0	1	2	(128x224x224x3)->(128x224x224x3)	0	1	0
gradients/lrn1/LRN_grad/LRNGrad@GPU-0@(128x56x56x64)(128x56x56x64)(128x56x56x64)->(128x56x56x64)	gradients/lrn1/LRN_grad/LRNGrad	LRNGrad	GPU-0	0	23531	23531	(128x56x56x64)(128x56x56x64)(128x56x56x64)->(128x56x56x64)	1	1	0
gradients/pool1_grad/MaxPoolGrad-0-0-TransposeNCHWToNHWC-LayoutOptimizer@GPU-0@(128x64x56x56)(int32 4x1)->(128x56x56x64)	gradients/pool1_grad/MaxPoolGrad-0-0-TransposeNCHWToNHWC-LayoutOptimizer	Transpose	GPU-0	0	1356	1356	(128x64x56x56)(int32 4x1)->(128x56x56x64)	1	1	0
conv1-1-1-TransposeNCHWToNHWC-LayoutOptimizer@GPU-0@(128x64x56x56)(int32 4x1)->(128x56x56x64)	conv1-1-1-TransposeNCHWToNHWC-LayoutOptimizer	Transpose	GPU-0	0	1360	1360	(128x64x56x56)(int32 4x1)->(128x56x56x64)	1	1	0
conv3/biases@GPU-0@(no input)->(384x1)	conv3/biases	VariableV2	GPU-0	1	1	3	(no input)->(384x1)	0	1	0
pool2-1-0-TransposeNCHWToNHWC-LayoutOptimizer@GPU-0@(128x192x13x13)(int32 4x1)->(128x13x13x192)	pool2-1-0-TransposeNCHWToNHWC-LayoutOptimizer	Transpose	GPU-0	0	220	220	(128x192x13x13)(int32 4x1)->(128x13x13x192)	1	1	0
conv1/weights/read@GPU-0@(11x11x3x64)->(11x11x3x64)	conv1/weights/read	Identity	GPU-0	0	1	2	(11x11x3x64)->(11x11x3x64)	0	1	0
conv4/Conv2D@GPU-0@(128x384x13x13)(3x3x384x256)->(128x256x13x13)	conv4/Conv2D	Conv2D	GPU-0	0	5976	5976	(128x384x13x13)(3x3x384x256)->(128x256x13x13)	1	1	0
lrn2/LRN@GPU-0@(128x27x27x192)->(128x27x27x192)	lrn2/LRN	LRN	GPU-0	0	23584	23584	(128x27x27x192)->(128x27x27x192)	1	1	0
conv1/Conv2D@GPU-0@(128x3x224x224)(11x11x3x64)->(128x64x56x56)	conv1/Conv2D	Conv2D	GPU-0	0	8687	8687	(128x3x224x224)(11x11x3x64)->(128x64x56x56)	1	1	0
gradients/conv1/Conv2D_grad/Conv2DBackpropFilter@GPU-0@(128x224x224x3)(int32 4x1)(128x56x56x64)->(11x11x3x64)	gradients/conv1/Conv2D_grad/Conv2DBackpropFilter	Conv2DBackpropFilter	GPU-0	0	14165	14165	(128x224x224x3)(int32 4x1)(128x56x56x64)->(11x11x3x64)	1	1	0
gradients/conv2_grad/ReluGrad-0-0-TransposeNCHWToNHWC-LayoutOptimizer@GPU-0@(128x192x27x27)(int32 4x1)->(128x27x27x192)	gradients/conv2_grad/ReluGrad-0-0-TransposeNCHWToNHWC-LayoutOptimizer	Transpose	GPU-0	0	948	948	(128x192x27x27)(int32 4x1)->(128x27x27x192)	1	1	0
conv4/biases@GPU-0@(no input)->(256x1)	conv4/biases	VariableV2	GPU-0	0	1	2	(no input)->(256x1)	0	1	0
