gradients/conv4/BiasAdd_grad/BiasAddGrad	BiasAddGrad	GPU-0	0	8847	8847	(128x13x13x256)->(256x1)	51	51	0	gradients/conv4/BiasAdd_grad/BiasAddGrad@GPU-0@(128x13x13x256)->(256x1)
gradients/conv5_grad/ReluGrad	ReluGrad	GPU-0	0	22564	22564	(128x256x13x13)(128x256x13x13)->(128x256x13x13)	51	51	0	gradients/conv5_grad/ReluGrad@GPU-0@(128x256x13x13)(128x256x13x13)->(128x256x13x13)
gradients/conv2/Conv2D_grad/Conv2DBackpropInput	Conv2DBackpropInput	GPU-0	0	234600	234600	(int32 4x1)(5x5x64x192)(128x192x27x27)->(128x64x27x27)	51	51	0	gradients/conv2/Conv2D_grad/Conv2DBackpropInput@GPU-0@(int32 4x1)(5x5x64x192)(128x192x27x27)->(128x64x27x27)
conv3/weights	VariableV2	GPU-0	13	109	222	(no input)->(3x3x192x384)	0	51	0	conv3/weights@GPU-0@(no input)->(3x3x192x384)
gradients/conv4/Conv2D_grad/Conv2DBackpropInput-0-LayoutOptimizer	Const	GPU-0	24	47	131	(no input)->(int32 4x1)	0	51	0	gradients/conv4/Conv2D_grad/Conv2DBackpropInput-0-LayoutOptimizer@GPU-0@(no input)->(int32 4x1)
gradients/conv3_grad/ReluGrad-1-0-TransposeNCHWToNHWC-LayoutOptimizer	Transpose	GPU-0	0	23260	23260	(128x384x13x13)(int32 4x1)->(128x13x13x384)	51	51	0	gradients/conv3_grad/ReluGrad-1-0-TransposeNCHWToNHWC-LayoutOptimizer@GPU-0@(128x384x13x13)(int32 4x1)->(128x13x13x384)
PermConstNCHWToNHWC-LayoutOptimizer	Const	GPU-0	12	127	351	(no input)->(int32 4x1)	0	51	0	PermConstNCHWToNHWC-LayoutOptimizer@GPU-0@(no input)->(int32 4x1)
conv4/BiasAdd	BiasAdd	GPU-0	0	18389	18389	(128x256x13x13)(256x1)->(128x256x13x13)	51	51	0	conv4/BiasAdd@GPU-0@(128x256x13x13)(256x1)->(128x256x13x13)
lrn1/LRN	LRN	GPU-0	0	1088365	1088365	(128x56x56x64)->(128x56x56x64)	51	51	0	lrn1/LRN@GPU-0@(128x56x56x64)->(128x56x56x64)
gradients/conv3/Conv2D_grad/Conv2DBackpropInput	Conv2DBackpropInput	GPU-0	0	258613	258613	(int32 4x1)(3x3x192x384)(128x384x13x13)->(128x192x13x13)	51	51	0	gradients/conv3/Conv2D_grad/Conv2DBackpropInput@GPU-0@(int32 4x1)(3x3x192x384)(128x384x13x13)->(128x192x13x13)
Variable/read	Identity	GPU-0	18	39	148	(128x224x224x3)->(128x224x224x3)	0	51	0	Variable/read@GPU-0@(128x224x224x3)->(128x224x224x3)
gradients/lrn1/LRN_grad/LRNGrad	LRNGrad	GPU-0	0	1247812	1247812	(128x56x56x64)(128x56x56x64)(128x56x56x64)->(128x56x56x64)	51	51	0	gradients/lrn1/LRN_grad/LRNGrad@GPU-0@(128x56x56x64)(128x56x56x64)(128x56x56x64)->(128x56x56x64)
gradients/pool1_grad/MaxPoolGrad-0-0-TransposeNCHWToNHWC-LayoutOptimizer	Transpose	GPU-0	0	69216	69216	(128x64x56x56)(int32 4x1)->(128x56x56x64)	51	51	0	gradients/pool1_grad/MaxPoolGrad-0-0-TransposeNCHWToNHWC-LayoutOptimizer@GPU-0@(128x64x56x56)(int32 4x1)->(128x56x56x64)
conv1-1-1-TransposeNCHWToNHWC-LayoutOptimizer	Transpose	GPU-0	0	70098	70098	(128x64x56x56)(int32 4x1)->(128x56x56x64)	51	51	0	conv1-1-1-TransposeNCHWToNHWC-LayoutOptimizer@GPU-0@(128x64x56x56)(int32 4x1)->(128x56x56x64)
conv3/biases	VariableV2	GPU-0	12	109	198	(no input)->(384x1)	0	51	0	conv3/biases@GPU-0@(no input)->(384x1)
pool2-1-0-TransposeNCHWToNHWC-LayoutOptimizer	Transpose	GPU-0	0	11212	11212	(128x192x13x13)(int32 4x1)->(128x13x13x192)	51	51	0	pool2-1-0-TransposeNCHWToNHWC-LayoutOptimizer@GPU-0@(128x192x13x13)(int32 4x1)->(128x13x13x192)
conv1/weights/read	Identity	GPU-0	12	46	121	(11x11x3x64)->(11x11x3x64)	0	51	0	conv1/weights/read@GPU-0@(11x11x3x64)->(11x11x3x64)
gradients/conv1/BiasAdd_grad/BiasAddGrad	BiasAddGrad	GPU-0	0	38412	38412	(128x56x56x64)->(64x1)	51	51	0	gradients/conv1/BiasAdd_grad/BiasAddGrad@GPU-0@(128x56x56x64)->(64x1)
