gradients/lrn2/LRN_grad/LRNGrad	LRNGrad	GPU-0	0	3137785	3137785	(128x27x27x192)(128x27x27x192)(128x27x27x192)->(128x27x27x192)	100	100	0	gradients/lrn2/LRN_grad/LRNGrad@GPU-0@(128x27x27x192)(128x27x27x192)(128x27x27x192)->(128x27x27x192)
gradients/lrn1/LRN_grad/LRNGrad	LRNGrad	GPU-0	0	2451539	2451539	(128x56x56x64)(128x56x56x64)(128x56x56x64)->(128x56x56x64)	100	100	0	gradients/lrn1/LRN_grad/LRNGrad@GPU-0@(128x56x56x64)(128x56x56x64)(128x56x56x64)->(128x56x56x64)
lrn2/LRN	LRN	GPU-0	0	2408201	2408201	(128x27x27x192)->(128x27x27x192)	100	100	0	lrn2/LRN@GPU-0@(128x27x27x192)->(128x27x27x192)
lrn1/LRN	LRN	GPU-0	0	2137142	2137142	(128x56x56x64)->(128x56x56x64)	100	100	0	lrn1/LRN@GPU-0@(128x56x56x64)->(128x56x56x64)
gradients/conv1/Conv2D_grad/Conv2DBackpropFilter	Conv2DBackpropFilter	GPU-0	0	1363539	1363539	(128x224x224x3)(int32 4x1)(128x56x56x64)->(11x11x3x64)	100	100	0	gradients/conv1/Conv2D_grad/Conv2DBackpropFilter@GPU-0@(128x224x224x3)(int32 4x1)(128x56x56x64)->(11x11x3x64)
conv1/Conv2D	Conv2D	GPU-0	0	863912	863912	(128x3x224x224)(11x11x3x64)->(128x64x56x56)	100	100	0	conv1/Conv2D@GPU-0@(128x3x224x224)(11x11x3x64)->(128x64x56x56)
gradients/conv4/Conv2D_grad/Conv2DBackpropFilter	Conv2DBackpropFilter	GPU-0	0	691468	691468	(128x13x13x384)(int32 4x1)(128x13x13x256)->(3x3x384x256)	100	100	0	gradients/conv4/Conv2D_grad/Conv2DBackpropFilter@GPU-0@(128x13x13x384)(int32 4x1)(128x13x13x256)->(3x3x384x256)
gradients/conv3/Conv2D_grad/Conv2DBackpropFilter	Conv2DBackpropFilter	GPU-0	0	663792	663792	(128x13x13x192)(int32 4x1)(128x13x13x384)->(3x3x192x384)	100	100	0	gradients/conv3/Conv2D_grad/Conv2DBackpropFilter@GPU-0@(128x13x13x192)(int32 4x1)(128x13x13x384)->(3x3x192x384)
gradients/conv2/Conv2D_grad/Conv2DBackpropFilter	Conv2DBackpropFilter	GPU-0	0	652473	652473	(128x27x27x64)(int32 4x1)(128x27x27x192)->(5x5x64x192)	100	100	0	gradients/conv2/Conv2D_grad/Conv2DBackpropFilter@GPU-0@(128x27x27x64)(int32 4x1)(128x27x27x192)->(5x5x64x192)
conv4/Conv2D	Conv2D	GPU-0	0	621417	621417	(128x384x13x13)(3x3x384x256)->(128x256x13x13)	100	100	0	conv4/Conv2D@GPU-0@(128x384x13x13)(3x3x384x256)->(128x256x13x13)
gradients/conv4/Conv2D_grad/Conv2DBackpropInput	Conv2DBackpropInput	GPU-0	0	620846	620846	(int32 4x1)(3x3x384x256)(128x256x13x13)->(128x384x13x13)	100	100	0	gradients/conv4/Conv2D_grad/Conv2DBackpropInput@GPU-0@(int32 4x1)(3x3x384x256)(128x256x13x13)->(128x384x13x13)
conv3/Conv2D	Conv2D	GPU-0	0	514267	514267	(128x192x13x13)(3x3x192x384)->(128x384x13x13)	100	100	0	conv3/Conv2D@GPU-0@(128x192x13x13)(3x3x192x384)->(128x384x13x13)
gradients/conv3/Conv2D_grad/Conv2DBackpropInput	Conv2DBackpropInput	GPU-0	0	507466	507466	(int32 4x1)(3x3x192x384)(128x384x13x13)->(128x192x13x13)	100	100	0	gradients/conv3/Conv2D_grad/Conv2DBackpropInput@GPU-0@(int32 4x1)(3x3x192x384)(128x384x13x13)->(128x192x13x13)
gradients/conv5/Conv2D_grad/Conv2DBackpropFilter	Conv2DBackpropFilter	GPU-0	0	486567	486567	(128x13x13x256)(int32 4x1)(128x13x13x256)->(3x3x256x256)	100	100	0	gradients/conv5/Conv2D_grad/Conv2DBackpropFilter@GPU-0@(128x13x13x256)(int32 4x1)(128x13x13x256)->(3x3x256x256)
conv2/Conv2D	Conv2D	GPU-0	0	468178	468178	(128x64x27x27)(5x5x64x192)->(128x192x27x27)	100	100	0	conv2/Conv2D@GPU-0@(128x64x27x27)(5x5x64x192)->(128x192x27x27)
gradients/conv2/Conv2D_grad/Conv2DBackpropInput	Conv2DBackpropInput	GPU-0	0	461341	461341	(int32 4x1)(5x5x64x192)(128x192x27x27)->(128x64x27x27)	100	100	0	gradients/conv2/Conv2D_grad/Conv2DBackpropInput@GPU-0@(int32 4x1)(5x5x64x192)(128x192x27x27)->(128x64x27x27)
conv5/Conv2D	Conv2D	GPU-0	0	424754	424754	(128x256x13x13)(3x3x256x256)->(128x256x13x13)	100	100	0	conv5/Conv2D@GPU-0@(128x256x13x13)(3x3x256x256)->(128x256x13x13)
gradients/conv5/Conv2D_grad/Conv2DBackpropInput	Conv2DBackpropInput	GPU-0	0	410904	410904	(int32 4x1)(3x3x256x256)(128x256x13x13)->(128x256x13x13)	100	100	0	gradients/conv5/Conv2D_grad/Conv2DBackpropInput@GPU-0@(int32 4x1)(3x3x256x256)(128x256x13x13)->(128x256x13x13)
gradients/pool1_grad/MaxPoolGrad	MaxPoolGrad	GPU-0	0	307954	307954	(128x64x56x56)(128x64x27x27)(128x64x27x27)->(128x64x56x56)	100	100	0	gradients/pool1_grad/MaxPoolGrad@GPU-0@(128x64x56x56)(128x64x27x27)(128x64x27x27)->(128x64x56x56)
gradients/conv1_grad/ReluGrad	ReluGrad	GPU-0	0	203371	203371	(128x64x56x56)(128x64x56x56)->(128x64x56x56)	100	100	0	gradients/conv1_grad/ReluGrad@GPU-0@(128x64x56x56)(128x64x56x56)->(128x64x56x56)
conv1/Conv2D-0-TransposeNHWCToNCHW-LayoutOptimizer	Transpose	GPU-0	0	184184	184184	(128x224x224x3)(int32 4x1)->(128x3x224x224)	100	100	0	conv1/Conv2D-0-TransposeNHWCToNCHW-LayoutOptimizer@GPU-0@(128x224x224x3)(int32 4x1)->(128x3x224x224)
conv1/BiasAdd	BiasAdd	GPU-0	0	172383	172383	(128x64x56x56)(64x1)->(128x64x56x56)	100	100	0	conv1/BiasAdd@GPU-0@(128x64x56x56)(64x1)->(128x64x56x56)
gradients/conv2_grad/ReluGrad	ReluGrad	GPU-0	0	141497	141497	(128x192x27x27)(128x192x27x27)->(128x192x27x27)	100	100	0	gradients/conv2_grad/ReluGrad@GPU-0@(128x192x27x27)(128x192x27x27)->(128x192x27x27)
gradients/conv1_grad/ReluGrad-0-0-TransposeNCHWToNHWC-LayoutOptimizer	Transpose	GPU-0	0	139660	139660	(128x64x56x56)(int32 4x1)->(128x56x56x64)	100	100	0	gradients/conv1_grad/ReluGrad-0-0-TransposeNCHWToNHWC-LayoutOptimizer@GPU-0@(128x64x56x56)(int32 4x1)->(128x56x56x64)
conv1-1-1-TransposeNCHWToNHWC-LayoutOptimizer	Transpose	GPU-0	0	138812	138812	(128x64x56x56)(int32 4x1)->(128x56x56x64)	100	100	0	conv1-1-1-TransposeNCHWToNHWC-LayoutOptimizer@GPU-0@(128x64x56x56)(int32 4x1)->(128x56x56x64)
conv1	Relu	GPU-0	0	138575	138575	(128x64x56x56)->(128x64x56x56)	100	100	0	conv1@GPU-0@(128x64x56x56)->(128x64x56x56)
gradients/conv1_grad/ReluGrad-0-TransposeNHWCToNCHW-LayoutOptimizer	Transpose	GPU-0	0	138353	138353	(128x56x56x64)(int32 4x1)->(128x64x56x56)	100	100	0	gradients/conv1_grad/ReluGrad-0-TransposeNHWCToNCHW-LayoutOptimizer@GPU-0@(128x56x56x64)(int32 4x1)->(128x64x56x56)
gradients/pool1_grad/MaxPoolGrad-0-TransposeNHWCToNCHW-LayoutOptimizer	Transpose	GPU-0	0	138038	138038	(128x56x56x64)(int32 4x1)->(128x64x56x56)	100	100	0	gradients/pool1_grad/MaxPoolGrad-0-TransposeNHWCToNCHW-LayoutOptimizer@GPU-0@(128x56x56x64)(int32 4x1)->(128x64x56x56)
gradients/pool1_grad/MaxPoolGrad-0-0-TransposeNCHWToNHWC-LayoutOptimizer	Transpose	GPU-0	0	135757	135757	(128x64x56x56)(int32 4x1)->(128x56x56x64)	100	100	0	gradients/pool1_grad/MaxPoolGrad-0-0-TransposeNCHWToNHWC-LayoutOptimizer@GPU-0@(128x64x56x56)(int32 4x1)->(128x56x56x64)
gradients/pool2_grad/MaxPoolGrad	MaxPoolGrad	GPU-0	0	130981	130981	(128x192x27x27)(128x192x13x13)(128x192x13x13)->(128x192x27x27)	100	100	0	gradients/pool2_grad/MaxPoolGrad@GPU-0@(128x192x27x27)(128x192x13x13)(128x192x13x13)->(128x192x27x27)
pool1	MaxPool	GPU-0	0	126352	126352	(128x64x56x56)->(128x64x27x27)	100	100	0	pool1@GPU-0@(128x64x56x56)->(128x64x27x27)
