LRNGrad/GPU-0/(128x27x27x192)(128x27x27x192)(128x27x27x192)->(128x27x27x192)	[3137785, 100, -1]
LRNGrad/GPU-0/(128x56x56x64)(128x56x56x64)(128x56x56x64)->(128x56x56x64)	[2451539, 100, -1]
LRN/GPU-0/(128x27x27x192)->(128x27x27x192)	[2408201, 100, -1]
LRN/GPU-0/(128x56x56x64)->(128x56x56x64)	[2137142, 100, -1]
Conv2DBackpropFilter/GPU-0/(128x224x224x3)(int32 4x1)(128x56x56x64)->(11x11x3x64)	[1363539, 100, 18651021312.0]
Conv2D/GPU-0/(128x3x224x224)(11x11x3x64)->(128x64x56x56)	[863912, 100, 18651021312]
Conv2DBackpropFilter/GPU-0/(128x13x13x384)(int32 4x1)(128x13x13x256)->(3x3x384x256)	[691468, 100, 38277218304.0]
Conv2DBackpropFilter/GPU-0/(128x13x13x192)(int32 4x1)(128x13x13x384)->(3x3x192x384)	[663792, 100, 28707913728.0]
Conv2DBackpropFilter/GPU-0/(128x27x27x64)(int32 4x1)(128x27x27x192)->(5x5x64x192)	[652473, 100, 57330892800.0]
Conv2D/GPU-0/(128x384x13x13)(3x3x384x256)->(128x256x13x13)	[621417, 100, 38277218304]
Conv2DBackpropInput/GPU-0/(int32 4x1)(3x3x384x256)(128x256x13x13)->(128x384x13x13)	[620846, 100, 38277218304.0]
Conv2D/GPU-0/(128x192x13x13)(3x3x192x384)->(128x384x13x13)	[514267, 100, 28707913728]
Conv2DBackpropInput/GPU-0/(int32 4x1)(3x3x192x384)(128x384x13x13)->(128x192x13x13)	[507466, 100, 28707913728.0]
Conv2DBackpropFilter/GPU-0/(128x13x13x256)(int32 4x1)(128x13x13x256)->(3x3x256x256)	[486567, 100, 25518145536.0]
Conv2D/GPU-0/(128x64x27x27)(5x5x64x192)->(128x192x27x27)	[468178, 100, 57330892800]
Conv2DBackpropInput/GPU-0/(int32 4x1)(5x5x64x192)(128x192x27x27)->(128x64x27x27)	[461341, 100, 57330892800.0]
Conv2D/GPU-0/(128x256x13x13)(3x3x256x256)->(128x256x13x13)	[424754, 100, 25518145536]
Transpose/GPU-0/(128x64x56x56)(int32 4x1)->(128x56x56x64)	[414229, 300, -1]
Conv2DBackpropInput/GPU-0/(int32 4x1)(3x3x256x256)(128x256x13x13)->(128x256x13x13)	[410904, 100, 25518145536.0]
MaxPoolGrad/GPU-0/(128x64x56x56)(128x64x27x27)(128x64x27x27)->(128x64x56x56)	[307954, 100, 59719680]
Transpose/GPU-0/(128x192x27x27)(int32 4x1)->(128x27x27x192)	[291436, 300, -1]
Transpose/GPU-0/(128x56x56x64)(int32 4x1)->(128x64x56x56)	[276391, 200, -1]
