Op rank by time	Time per 1 call	Num of calls per run	Total time per run	Total time %	Total cumulative time	Total cumulative time %	Op name	Device	Input/output tensor shape
1	25.274 ms	1	25.274 ms	11.780 %	25.274 ms	11.780 %	gradients/lrn2/LRN_grad/LRNGrad	GPU_0	(128, 192, 27, 27)(128, 192, 27, 27)(128, 27, 27, 192)->(128, 27, 27, 192)
2	24.190 ms	1	24.190 ms	11.275 %	49.464 ms	23.055 %	lrn2/LRN	GPU_0	(128, 192, 27, 27)->(128, 27, 27, 192)
3	21.609 ms	1	21.609 ms	10.072 %	71.073 ms	33.127 %	lrn1/LRN	GPU_0	(128, 64, 56, 56)->(128, 56, 56, 64)
4	18.278 ms	1	18.278 ms	8.519 %	89.351 ms	41.646 %	gradients/lrn1/LRN_grad/LRNGrad	GPU_0	(128, 64, 56, 56)(128, 64, 56, 56)(128, 56, 56, 64)->(128, 56, 56, 64)
5	1.643 ms	8	13.147 ms	6.128 %	102.498 ms	47.774 %	gradients/conv1/Conv2D_grad/Conv2DBackpropFilter	GPU_0	(128, 224, 224, 3)(4,)(128, 64, 56, 56)->(11, 11, 3, 64)
6	2.138 ms	4	8.550 ms	3.985 %	111.048 ms	51.759 %	conv1/Conv2D	GPU_0	(128, 224, 224, 3)(11, 11, 3, 64)->(128, 64, 56, 56)
7	0.959 ms	7	6.711 ms	3.128 %	117.759 ms	54.887 %	gradients/conv4/Conv2D_grad/Conv2DBackpropFilter	GPU_0	(128, 384, 13, 13)(4,)(128, 256, 13, 13)->(3, 3, 384, 256)
8	0.918 ms	7	6.427 ms	2.996 %	124.186 ms	57.882 %	gradients/conv3/Conv2D_grad/Conv2DBackpropFilter	GPU_0	(128, 192, 13, 13)(4,)(128, 384, 13, 13)->(3, 3, 192, 384)
9	0.911 ms	7	6.378 ms	2.973 %	130.564 ms	60.855 %	gradients/conv2/Conv2D_grad/Conv2DBackpropFilter	GPU_0	(128, 64, 27, 27)(4,)(128, 192, 27, 27)->(5, 5, 64, 192)
10	1.212 ms	5	6.058 ms	2.824 %	136.622 ms	63.678 %	conv4/Conv2D	GPU_0	(128, 384, 13, 13)(3, 3, 384, 256)->(128, 256, 13, 13)
11	1.204 ms	5	6.021 ms	2.806 %	142.643 ms	66.485 %	gradients/conv4/Conv2D_grad/Conv2DBackpropInput	GPU_0	(const)(3, 3, 384, 256)(128, 256, 13, 13)->(128, 384, 13, 13)
12	1.034 ms	5	5.168 ms	2.409 %	147.811 ms	68.893 %	gradients/conv3/Conv2D_grad/Conv2DBackpropInput	GPU_0	(const)(3, 3, 192, 384)(128, 384, 13, 13)->(128, 192, 13, 13)
13	1.004 ms	5	5.018 ms	2.339 %	152.828 ms	71.232 %	conv3/Conv2D	GPU_0	(128, 192, 13, 13)(3, 3, 192, 384)->(128, 384, 13, 13)
14	0.684 ms	7	4.791 ms	2.233 %	157.619 ms	73.465 %	gradients/conv5/Conv2D_grad/Conv2DBackpropFilter	GPU_0	(128, 256, 13, 13)(4,)(128, 256, 13, 13)->(3, 3, 256, 256)
15	0.795 ms	6	4.768 ms	2.222 %	162.387 ms	75.687 %	conv2/Conv2D	GPU_0	(128, 64, 27, 27)(5, 5, 64, 192)->(128, 192, 27, 27)
16	0.898 ms	5	4.490 ms	2.093 %	166.877 ms	77.780 %	gradients/conv2/Conv2D_grad/Conv2DBackpropInput	GPU_0	(const)(5, 5, 64, 192)(128, 192, 27, 27)->(128, 64, 27, 27)
