Op rank by total time	Time of 1 call, microseconds	Number of calls in 1 run	Total time in 1 run	% of total time	Cumulative time, microseconds	% of total cumulative time	(FL)OPs in RegisterStatistics	GFLOP/S achieved	Op name	Device	Input/output tensors
1	   287.56	    26.00	  7476.51	    15.44	  7476.51	    15.44	     0.00	     0.00	CheckNumerics	GPU-0	(1x17x17x192)->(1x17x17x192)
2	   563.11	    12.00	  6757.32	    13.96	 14233.83	    29.40	     0.00	     0.00	CheckNumerics	GPU-0	(1x8x8x384)->(1x8x8x384)
3	   369.28	    12.00	  4431.37	     9.15	 18665.20	    38.55	     0.00	     0.00	CheckNumerics	GPU-0	(1x35x35x64)->(1x35x35x64)
4	   309.96	    12.00	  3719.50	     7.68	 22384.70	    46.23	     0.00	     0.00	CheckNumerics	GPU-0	(1x17x17x160)->(1x17x17x160)
5	   272.56	     6.00	  1635.34	     3.38	 24020.04	    49.61	     0.00	     0.00	CheckNumerics	GPU-0	(1x17x17x128)->(1x17x17x128)
6	   196.14	     7.00	  1372.99	     2.84	 25393.03	    52.45	     0.00	     0.00	CheckNumerics	GPU-0	(1x35x35x96)->(1x35x35x96)
7	   414.79	     3.00	  1244.38	     2.57	 26637.41	    55.02	     0.00	     0.00	CheckNumerics	GPU-0	(1x35x35x48)->(1x35x35x48)
8	   445.14	     2.00	   890.28	     1.84	 27527.69	    56.86	396361728.00	   445.21	Conv2D	GPU-0	(1x8x8x448)(3x3x448x384)->(1x8x8x384)
9	   406.39	     2.00	   812.79	     1.68	 28340.48	    58.54	     0.00	     0.00	CheckNumerics	GPU-0	(1x147x147x64)->(1x147x147x64)
10	   267.69	     3.00	   803.06	     1.66	 29143.54	    60.19	     0.00	     0.00	CheckNumerics	GPU-0	(1x8x8x320)->(1x8x8x320)
11	   198.65	     4.00	   794.59	     1.64	 29938.13	    61.83	226492416.00	   285.04	Conv2D	GPU-0	(1x8x8x384)(1x3x384x384)->(1x8x8x384)
12	   194.28	     4.00	   777.12	     1.61	 30715.25	    63.44	596606976.00	   767.72	Conv2D	GPU-0	(1x17x17x192)(7x1x192x192)->(1x17x17x192)
13	   375.92	     2.00	   751.83	     1.55	 31467.08	    64.99	     0.00	     0.00	CheckNumerics	GPU-0	(1x71x71x192)->(1x71x71x192)
14	   185.00	     4.00	   739.99	     1.53	 32207.07	    66.52	226492416.00	   306.07	Conv2D	GPU-0	(1x8x8x384)(3x1x384x384)->(1x8x8x384)
15	   174.99	     4.00	   699.97	     1.45	 32907.04	    67.97	596606976.00	   852.33	Conv2D	GPU-0	(1x17x17x192)(1x7x192x192)->(1x17x17x192)
16	   156.52	     4.00	   626.08	     1.29	 33533.12	    69.26	7990272.00	    12.76	AvgPool	GPU-0	(1x17x17x768)->(1x17x17x768)
17	   155.94	     4.00	   623.78	     1.29	 34156.90	    70.55	414310400.00	   664.19	Conv2D	GPU-0	(1x17x17x160)(7x1x160x160)->(1x17x17x160)
18	   205.65	     3.00	   616.94	     1.27	 34773.84	    71.82	     0.00	     0.00	CheckNumerics	GPU-0	(1x8x8x192)->(1x8x8x192)
19	   153.98	     4.00	   615.92	     1.27	 35389.76	    73.09	414310400.00	   672.67	Conv2D	GPU-0	(1x17x17x160)(1x7x160x160)->(1x17x17x160)
20	   559.31	     1.00	   559.31	     1.16	 35949.07	    74.25	     0.00	     0.00	CheckNumerics	GPU-0	(1x17x17x384)->(1x17x17x384)
21	   496.99	     1.00	   496.99	     1.03	 36446.06	    75.28	     0.00	     0.00	_ZN10tensorflow83_GLOBAL__N__59_tmpxft_00001e6f_00000000_6_check_numerics_op_gpu_cu_cpp1_ii_99cbec1319CheckNumericsKernelIfEEvPKT_iPi	GPU-0	no inputs saved in stream->no outputs saved in stream
22	   147.28	     3.00	   441.83	     0.91	 36887.89	    76.19	564480000.00	  1277.60	Conv2D	GPU-0	(1x35x35x48)(5x5x48x64)->(1x35x35x64)
23	   430.28	     1.00	   430.28	     0.89	 37318.17	    77.08	575299584.00	  1337.04	Conv2D	GPU-0	(1x35x35x288)(3x3x288x384)->(1x17x17x384)
24	   186.69	     2.00	   373.37	     0.77	 37691.54	    77.85	     0.00	     0.00	CheckNumerics	GPU-0	(1x8x8x448)->(1x8x8x448)
25	    30.77	    12.00	   369.21	     0.76	 38060.75	    78.61	1022754816.00	  2770.12	Conv2D	GPU-0	(1x17x17x768)(1x1x768x192)->(1x17x17x192)
26	   356.52	     1.00	   356.52	     0.74	 38417.27	    79.35	1393735680.00	  3909.28	Conv2D	GPU-0	(1x73x73x80)(3x3x80x192)->(1x71x71x192)
27	   172.19	     2.00	   344.39	     0.71	 38761.66	    80.06	248586240.00	   721.82	Conv2D	GPU-0	(1x17x17x160)(7x1x160x192)->(1x17x17x192)
28	   341.94	     1.00	   341.94	     0.71	 39103.60	    80.77	     0.00	     0.00	CheckNumerics	GPU-0	(1x147x147x32)->(1x147x147x32)
29	   334.65	     1.00	   334.65	     0.69	 39438.25	    81.46	796594176.00	  2380.38	Conv2D	GPU-0	(1x147x147x32)(3x3x32x64)->(1x147x147x64)
30	    12.77	    26.00	   332.01	     0.69	 39770.26	    82.14	     0.00	     0.00	BatchNormWithGlobalNormalization	GPU-0	(1x17x17x192)(192x1)(192x1)(192x1)(1)->(1x17x17x192)
31	   156.38	     2.00	   312.75	     0.65	 40083.01	    82.79	248586240.00	   794.84	Conv2D	GPU-0	(1x17x17x160)(1x7x160x192)->(1x17x17x192)
32	   295.51	     1.00	   295.51	     0.61	 40378.52	    83.40	     0.00	     0.00	CheckNumerics	GPU-0	(1x73x73x80)->(1x73x73x80)
33	    72.40	     4.00	   289.59	     0.60	 40668.11	    84.00	541900800.00	  1871.27	Conv2D	GPU-0	(1x35x35x64)(3x3x64x96)->(1x35x35x96)
34	   272.03	     1.00	   272.03	     0.56	 40940.14	    84.56	     0.00	     0.00	CheckNumerics	GPU-0	(1x149x149x32)->(1x149x149x32)
35	   271.21	     1.00	   271.21	     0.56	 41211.35	    85.12	70778880.00	   260.97	Conv2D	GPU-0	(1x17x17x192)(3x3x192x320)->(1x8x8x320)
36	   270.97	     1.00	   270.97	     0.56	 41482.32	    85.68	     0.00	     0.00	CheckNumerics	GPU-0	(1x35x35x288)->(1x35x35x288)
37	    87.49	     3.00	   262.47	     0.54	 41744.79	    86.22	609638400.00	  2322.70	Conv2D	GPU-0	(1x35x35x96)(3x3x96x96)->(1x35x35x96)
38	   250.62	     1.00	   250.62	     0.52	 41995.41	    86.74	3175200.00	    12.67	AvgPool	GPU-0	(1x35x35x288)->(1x35x35x288)
39	   243.59	     1.00	   243.59	     0.50	 42239.00	    87.24	     0.00	     0.00	CheckNumerics	GPU-0	(1x35x35x32)->(1x35x35x32)
40	   236.76	     1.00	   236.76	     0.49	 42475.76	    87.73	     0.00	     0.00	DecodeJpeg	CPU-0	(string 1x1)->(uint8 100x100x3)
41	   114.83	     2.00	   229.67	     0.47	 42705.43	    88.20	132579328.00	   577.26	Conv2D	GPU-0	(1x17x17x128)(1x7x128x128)->(1x17x17x128)
42	   221.68	     1.00	   221.68	     0.46	 42927.11	    88.66	2822400.00	    12.73	AvgPool	GPU-0	(1x35x35x256)->(1x35x35x256)
43	   110.33	     2.00	   220.65	     0.46	 43147.76	    89.12	132579328.00	   600.86	Conv2D	GPU-0	(1x17x17x128)(7x1x128x128)->(1x17x17x128)
44	   205.80	     1.00	   205.80	     0.43	 43353.56	    89.54	398297088.00	  1935.36	Conv2D	GPU-0	(1x149x149x32)(3x3x32x32)->(1x147x147x32)
45	   203.33	     1.00	   203.33	     0.42	 43556.89	    89.96	42467328.00	   208.86	Conv2D	GPU-0	(1x17x17x192)(3x3x192x192)->(1x8x8x192)
46	    16.29	    12.00	   195.49	     0.40	 43752.38	    90.37	     0.00	     0.00	BatchNormWithGlobalNormalization	GPU-0	(1x35x35x64)(64x1)(64x1)(64x1)(1)->(1x35x35x64)
47	   164.24	     1.00	   164.24	     0.34	 43916.62	    90.71	2116800.00	    12.89	AvgPool	GPU-0	(1x35x35x192)->(1x35x35x192)
48	   153.72	     1.00	   153.72	     0.32	 44070.34	    91.02	     0.00	     0.00	BatchNormWithGlobalNormalization	GPU-0	(1x147x147x64)(64x1)(64x1)(64x1)(64x1)->(1x147x147x64)
49	   153.37	     1.00	   153.37	     0.32	 44223.71	    91.34	     0.00	     0.00	CheckNumerics	GPU-0	(1x17x17x96)->(1x17x17x96)
50	   145.42	     1.00	   145.42	     0.30	 44369.13	    91.64	     0.00	     0.00	CheckNumerics	GPU-0	(1x8x8x2048)->(1x8x8x2048)
51	   142.33	     1.00	   142.33	     0.29	 44511.46	    91.93	     0.00	     0.00	CheckNumerics	GPU-0	(1x17x17x768)->(1x17x17x768)
52	     1.53	    91.00	   139.29	     0.29	 44650.75	    92.22	     0.00	     0.00	Const	GPU-0	(no input)->(192x1)
53	   134.74	     1.00	   134.74	     0.28	 44785.49	    92.50	99434496.00	   737.97	Conv2D	GPU-0	(1x17x17x128)(7x1x128x192)->(1x17x17x192)
54	    11.26	    11.00	   123.84	     0.26	 44909.33	    92.76	     0.00	     0.00	BatchNormWithGlobalNormalization	GPU-0	(1x17x17x160)(160x1)(160x1)(160x1)(1)->(1x17x17x160)
