Op rank by total time	Time of 1 call, microseconds	Number of calls in 1 run	Total time in 1 run	% of total time	Cumulative time, microseconds	% of total cumulative time	(FL)OPs in RegisterStatistics	GFLOP/S achieved	Op name	Device	Input/output tensors
1	   297.59	    26.00	  7737.30	    15.67	  7737.30	    15.67	     0.00	     0.00	CheckNumerics	GPU-0	(1x17x17x192)->(1x17x17x192)
2	   578.77	    12.00	  6945.26	    14.07	 14682.56	    29.73	     0.00	     0.00	CheckNumerics	GPU-0	(1x8x8x384)->(1x8x8x384)
3	   373.26	    12.00	  4479.07	     9.07	 19161.63	    38.81	     0.00	     0.00	CheckNumerics	GPU-0	(1x35x35x64)->(1x35x35x64)
4	   315.56	    12.00	  3786.68	     7.67	 22948.31	    46.47	     0.00	     0.00	CheckNumerics	GPU-0	(1x17x17x160)->(1x17x17x160)
5	   270.69	     6.00	  1624.15	     3.29	 24572.46	    49.76	     0.00	     0.00	CheckNumerics	GPU-0	(1x17x17x128)->(1x17x17x128)
6	   200.94	     7.00	  1406.58	     2.85	 25979.04	    52.61	     0.00	     0.00	CheckNumerics	GPU-0	(1x35x35x96)->(1x35x35x96)
7	   433.22	     3.00	  1299.65	     2.63	 27278.69	    55.24	     0.00	     0.00	CheckNumerics	GPU-0	(1x35x35x48)->(1x35x35x48)
8	   444.94	     2.00	   889.88	     1.80	 28168.57	    57.05	396361728.00	   445.41	Conv2D	GPU-0	(1x8x8x448)(3x3x448x384)->(1x8x8x384)
9	   429.39	     2.00	   858.79	     1.74	 29027.36	    58.78	     0.00	     0.00	CheckNumerics	GPU-0	(1x147x147x64)->(1x147x147x64)
10	   204.09	     4.00	   816.38	     1.65	 29843.74	    60.44	596606976.00	   730.80	Conv2D	GPU-0	(1x17x17x192)(7x1x192x192)->(1x17x17x192)
11	   267.27	     3.00	   801.81	     1.62	 30645.55	    62.06	     0.00	     0.00	CheckNumerics	GPU-0	(1x8x8x320)->(1x8x8x320)
12	   388.08	     2.00	   776.16	     1.57	 31421.71	    63.63	     0.00	     0.00	CheckNumerics	GPU-0	(1x71x71x192)->(1x71x71x192)
13	   187.30	     4.00	   749.21	     1.52	 32170.92	    65.15	226492416.00	   302.31	Conv2D	GPU-0	(1x8x8x384)(1x3x384x384)->(1x8x8x384)
14	   185.57	     4.00	   742.30	     1.50	 32913.22	    66.65	226492416.00	   305.12	Conv2D	GPU-0	(1x8x8x384)(3x1x384x384)->(1x8x8x384)
15	   175.56	     4.00	   702.23	     1.42	 33615.45	    68.08	596606976.00	   849.59	Conv2D	GPU-0	(1x17x17x192)(1x7x192x192)->(1x17x17x192)
16	   230.99	     3.00	   692.96	     1.40	 34308.41	    69.48	     0.00	     0.00	CheckNumerics	GPU-0	(1x8x8x192)->(1x8x8x192)
17	   158.96	     4.00	   635.82	     1.29	 34944.23	    70.77	7990272.00	    12.57	AvgPool	GPU-0	(1x17x17x768)->(1x17x17x768)
18	   158.27	     4.00	   633.08	     1.28	 35577.31	    72.05	414310400.00	   654.44	Conv2D	GPU-0	(1x17x17x160)(7x1x160x160)->(1x17x17x160)
19	   152.16	     4.00	   608.63	     1.23	 36185.94	    73.28	414310400.00	   680.73	Conv2D	GPU-0	(1x17x17x160)(1x7x160x160)->(1x17x17x160)
20	   563.80	     1.00	   563.80	     1.14	 36749.74	    74.42	     0.00	     0.00	CheckNumerics	GPU-0	(1x17x17x384)->(1x17x17x384)
21	   500.56	     1.00	   500.56	     1.01	 37250.30	    75.44	     0.00	     0.00	_ZN10tensorflow83_GLOBAL__N__59_tmpxft_00001e6f_00000000_6_check_numerics_op_gpu_cu_cpp1_ii_99cbec1319CheckNumericsKernelIfEEvPKT_iPi	GPU-0	no inputs saved in stream->no outputs saved in stream
22	   149.11	     3.00	   447.32	     0.91	 37697.62	    76.34	564480000.00	  1261.92	Conv2D	GPU-0	(1x35x35x48)(5x5x48x64)->(1x35x35x64)
23	   437.70	     1.00	   437.70	     0.89	 38135.32	    77.23	575299584.00	  1314.37	Conv2D	GPU-0	(1x35x35x288)(3x3x288x384)->(1x17x17x384)
24	   201.67	     2.00	   403.34	     0.82	 38538.66	    78.05	     0.00	     0.00	CheckNumerics	GPU-0	(1x8x8x448)->(1x8x8x448)
25	   385.66	     1.00	   385.66	     0.78	 38924.32	    78.83	     0.00	     0.00	CheckNumerics	GPU-0	(1x147x147x32)->(1x147x147x32)
26	    30.90	    12.00	   370.79	     0.75	 39295.11	    79.58	1022754816.00	  2758.31	Conv2D	GPU-0	(1x17x17x768)(1x1x768x192)->(1x17x17x192)
27	   359.16	     1.00	   359.16	     0.73	 39654.27	    80.31	1393735680.00	  3880.54	Conv2D	GPU-0	(1x73x73x80)(3x3x80x192)->(1x71x71x192)
28	   178.50	     2.00	   356.99	     0.72	 40011.26	    81.03	248586240.00	   696.34	Conv2D	GPU-0	(1x17x17x160)(7x1x160x192)->(1x17x17x192)
