Op	System_1 time per call	System_2 time per call	Time ratio Sys1/Sys2 (one call)	System_1 total op time	System_2 total op time	Time ratio Sys1/Sys2 (all calls)	System_1 occurence	System_2 occurence	Occurence Ratio	System1 cumulative time	System1 % of total time 	System1 cumulative % of total time 	System2 cumulative time	System2 % of total time 	System2 cumulative % of total time 
CheckNumerics@GPU-0@(1x17x17x192)->(1x17x17x192)	287.56	297.59	0.966295910480863	7476.51	7737.30	0.9662944437982242	26.00	26.00	1.0	7476.51	0.15442143725652555	0.15442143725652555	7737.3	0.15669164009506026	0.15669164009506026
CheckNumerics@GPU-0@(1x8x8x384)->(1x8x8x384)	563.11	578.77	0.9729426196934879	6757.32	6945.26	0.9729398179477802	12.00	12.00	1.0	14233.83	0.13956713311455013	0.2939885703710757	14682.560000000001	0.14065167180885038	0.2973433119039106
CheckNumerics@GPU-0@(1x35x35x64)->(1x35x35x64)	369.28	373.26	0.9893371912339923	4431.37	4479.07	0.9893504678426549	12.00	12.00	1.0	18665.2	0.09152646414108316	0.38551503451215885	19161.63	0.09070771773106658	0.3880510296349772
CheckNumerics@GPU-0@(1x17x17x160)->(1x17x17x160)	309.96	315.56	0.9822537710736468	3719.50	3786.68	0.9822588652856856	12.00	12.00	1.0	22384.7	0.0768233488453365	0.46233838335749533	22948.31	0.0766858076738866	0.4647368373088638
CheckNumerics@GPU-0@(1x17x17x128)->(1x17x17x128)	272.56	270.69	1.0069082714544313	1635.34	1624.15	1.0068897577194225	6.00	6.00	1.0	24020.04	0.03377666226663062	0.49611504562412595	24572.460000000003	0.032891412671137495	0.49762824998000127
CheckNumerics@GPU-0@(1x35x35x96)->(1x35x35x96)	196.14	200.94	0.9761122723200955	1372.99	1406.58	0.9761193817628575	7.00	7.00	1.0	25393.030000000002	0.028358029232735196	0.5244730748568611	25979.04	0.02848530199487028	0.5261135519748715
CheckNumerics@GPU-0@(1x35x35x48)->(1x35x35x48)	414.79	433.22	0.9574581044273117	1244.38	1299.65	0.9574731658523449	3.00	3.00	1.0	26637.410000000003	0.02570169077460945	0.5501747656314706	27278.690000000002	0.026319813119504872	0.5524333650943763
Conv2D@GPU-0@(1x8x8x448)(3x3x448x384)->(1x8x8x384)	445.14	444.94	1.0004494988088282	890.28	889.88	1.0004494988088282	2.00	2.00	1.0	27527.690000000002	0.018388033609363134	0.5685627992408337	28168.570000000003	0.01802137136827992	0.5704547364626563
CheckNumerics@GPU-0@(1x147x147x64)->(1x147x147x64)	406.39	429.39	0.9464356412585295	812.79	858.79	0.9464362649774682	2.00	2.00	1.0	28340.480000000003	0.016787538569162805	0.5853503378099966	29027.360000000004	0.01739175340199253	0.5878464898646488
CheckNumerics@GPU-0@(1x8x8x320)->(1x8x8x320)	267.69	267.27	1.0015714446065778	803.06	801.81	1.0015589728239858	3.00	3.00	1.0	29143.540000000005	0.016586573067276764	0.6019369108772733	29829.170000000006	0.016237825073943137	0.6040843149385919
Conv2D@GPU-0@(1x8x8x384)(1x3x384x384)->(1x8x8x384)	198.65	187.30	1.0605979711692473	794.59	749.21	1.0605704675591623	4.00	4.00	1.0	29938.130000000005	0.01641163187498748	0.6183485427522608	30578.380000000005	0.015172598151243985	0.6192569130898359
Conv2D@GPU-0@(1x17x17x192)(7x1x192x192)->(1x17x17x192)	194.28	204.09	0.9519329707481993	777.12	816.38	0.9519096499179304	4.00	4.00	1.0	30715.250000000004	0.0160508027570071	0.6343993455092679	31394.760000000006	0.016532888881238324	0.6357898019710742
CheckNumerics@GPU-0@(1x71x71x192)->(1x71x71x192)	375.92	388.08	0.9686662543805402	751.83	776.16	0.9686533704390848	2.00	2.00	1.0	31467.080000000005	0.01552845768581512	0.649927803195083	32170.920000000006	0.015718375063159234	0.6515081770342334
Conv2D@GPU-0@(1x8x8x384)(3x1x384x384)->(1x8x8x384)	185.00	185.57	0.996928382820499	739.99	742.30	0.9968880506533747	4.00	4.00	1.0	32207.070000000007	0.015283911792461502	0.6652117149875445	32913.22000000001	0.015032660545999665	0.6665408375802331
Conv2D@GPU-0@(1x17x17x192)(1x7x192x192)->(1x17x17x192)	174.99	175.56	0.9967532467532468	699.97	702.23	0.9967816812155562	4.00	4.00	1.0	32907.04000000001	0.0144573301495551	0.6796690451370996	33615.45000000001	0.014221184447281888	0.680762022027515
AvgPool@GPU-0@(1x17x17x768)->(1x17x17x768)	156.52	158.96	0.9846502264720685	626.08	635.82	0.9846811990815011	4.00	4.00	1.0	33533.12000000001	0.012931190279631207	0.6926002354167308	34251.27000000001	0.012876284828718184	0.6936383068562332
Conv2D@GPU-0@(1x17x17x160)(7x1x160x160)->(1x17x17x160)	155.94	158.27	0.9852783218550577	623.78	633.08	0.9853099134390597	4.00	4.00	1.0	34156.90000000001	0.012883685587510149	0.705483921004241	34884.35000000001	0.012820795821718267	0.7064591026779514
CheckNumerics@GPU-0@(1x8x8x192)->(1x8x8x192)	205.65	230.99	0.8902982813108793	616.94	692.96	0.8902966982221197	3.00	3.00	1.0	34773.84000000001	0.012742410763984918	0.7182263317682259	35577.31000000001	0.01403345339075297	0.7204925560687044
Conv2D@GPU-0@(1x17x17x160)(1x7x160x160)->(1x17x17x160)	153.98	152.16	1.0119610935856993	615.92	608.63	1.0119777204541347	4.00	4.00	1.0	35389.76000000001	0.012721343465739925	0.7309476752339659	36185.94000000001	0.012325647565824837	0.7328182036345293
CheckNumerics@GPU-0@(1x17x17x384)->(1x17x17x384)	559.31	563.80	0.9920361830436325	559.31	563.80	0.9920361830436325	1.00	1.00	1.0	35949.07000000001	0.011552108413142937	0.7424997836471088	36749.74000000001	0.011417774506041508	0.7442359781405709
_ZN10tensorflow83_GLOBAL__N__59_tmpxft_00001e6f_00000000_6_check_numerics_op_gpu_cu_cpp1_ii_99cbec1319CheckNumericsKernelIfEEvPKT_iPi@GPU-0@no inputs saved in stream->no outputs saved in stream	496.99	500.56	0.992867987853604	496.99	500.56	0.992867987853604	1.00	1.00	1.0	36446.060000000005	0.010264937798801933	0.7527647214459107	37250.30000000001	0.010137072023313477	0.7543730501638843
Conv2D@GPU-0@(1x35x35x48)(5x5x48x64)->(1x35x35x64)	147.28	149.11	0.9877271812755682	441.83	447.32	0.9877269069122775	3.00	3.00	1.0	36887.89000000001	0.009125651356455175	0.7618903728023658	37697.62000000001	0.009058884164672735	0.763431934328557
Conv2D@GPU-0@(1x35x35x288)(3x3x288x384)->(1x17x17x384)	430.28	437.70	0.9830477496001827	430.28	437.70	0.9830477496001827	1.00	1.00	1.0	37318.170000000006	0.008887095185151603	0.7707774679875175	38135.32000000001	0.00886406509630076	0.7722959994248578
CheckNumerics@GPU-0@(1x8x8x448)->(1x8x8x448)	186.69	201.67	0.9257202360291565	373.37	403.34	0.9256954430505282	2.00	2.00	1.0	37691.54000000001	0.007711663868364912	0.7784891318558823	38538.66	0.008168224847936825	0.7804642242727946
Conv2D@GPU-0@(1x17x17x768)(1x1x768x192)->(1x17x17x192)	30.77	30.90	0.9957928802588997	369.21	370.79	0.9957388279079802	12.00	12.00	1.0	38060.75000000001	0.007625742338267694	0.78611487419415	38909.450000000004	0.007509039746532691	0.7879732640193273
Conv2D@GPU-0@(1x73x73x80)(3x3x80x192)->(1x71x71x192)	356.52	359.16	0.9926495155362511	356.52	359.16	0.9926495155362511	1.00	1.00	1.0	38417.270000000004	0.007363640363043249	0.7934785145571933	39268.61000000001	0.007273515238719171	0.7952467792580465
Conv2D@GPU-0@(1x17x17x160)(7x1x160x192)->(1x17x17x192)	172.19	178.50	0.9646498599439776	344.39	356.99	0.9647048936945012	2.00	2.00	1.0	38761.66	0.007113104747639585	0.8005916193048329	39625.600000000006	0.007229569565292228	0.8024763488233387
CheckNumerics@GPU-0@(1x147x147x32)->(1x147x147x32)	341.94	385.66	0.8866358969040087	341.94	385.66	0.8866358969040087	1.00	1.00	1.0	39103.600000000006	0.007062501923423676	0.8076541212282566	40011.26000000001	0.007810178992550494	0.8102865278158893
