Op rank by total time	Time of 1 call, microseconds	Number of calls in 1 run	Total time in 1 run	% of total time	Cumulative time, microseconds	% of total cumulative time	(FL)OP estimation	GFLOP/S achieved	Op name	Device	Input/output tensors
1	    325.5	     26.0	   8463.7	     16.1	   8463.7	     16.1	        0	    0.000	CheckNumerics	GPU-0	(1x17x17x192)->(1x17x17x192)
2	    620.6	     12.0	   7447.4	     14.2	  15911.2	     30.3	        0	    0.000	CheckNumerics	GPU-0	(1x8x8x384)->(1x8x8x384)
3	    370.5	     12.0	   4446.5	      8.5	  20357.7	     38.8	        0	    0.000	CheckNumerics	GPU-0	(1x35x35x64)->(1x35x35x64)
4	    322.8	     12.0	   3873.7	      7.4	  24231.3	     46.2	        0	    0.000	CheckNumerics	GPU-0	(1x17x17x160)->(1x17x17x160)
5	    285.7	      6.0	   1714.4	      3.3	  25945.7	     49.5	        0	    0.000	CheckNumerics	GPU-0	(1x17x17x128)->(1x17x17x128)
6	    204.3	      7.0	   1430.3	      2.7	  27376.1	     52.2	        0	    0.000	CheckNumerics	GPU-0	(1x35x35x96)->(1x35x35x96)
7	    422.4	      3.0	   1267.2	      2.4	  28643.2	     54.6	        0	    0.000	CheckNumerics	GPU-0	(1x35x35x48)->(1x35x35x48)
8	    446.9	      2.0	    893.8	      1.7	  29537.0	     56.3	396361728	  443.482	Conv2D	GPU-0	(1x8x8x448)(3x3x448x384)->(1x8x8x384)
9	    295.4	      3.0	    886.3	      1.7	  30423.3	     58.0	        0	    0.000	CheckNumerics	GPU-0	(1x8x8x320)->(1x8x8x320)
10	    427.1	      2.0	    854.2	      1.6	  31277.5	     59.6	        0	    0.000	CheckNumerics	GPU-0	(1x147x147x64)->(1x147x147x64)
11	    198.3	      4.0	    793.1	      1.5	  32070.7	     61.2	596606976	  752.209	Conv2D	GPU-0	(1x17x17x192)(7x1x192x192)->(1x17x17x192)
12	    396.0	      2.0	    791.9	      1.5	  32862.6	     62.7	        0	    0.000	CheckNumerics	GPU-0	(1x71x71x192)->(1x71x71x192)
13	    191.0	      4.0	    763.9	      1.5	  33626.4	     64.1	226492416	  296.503	Conv2D	GPU-0	(1x8x8x384)(1x3x384x384)->(1x8x8x384)
14	    254.0	      3.0	    761.9	      1.5	  34388.4	     65.6	        0	    0.000	CheckNumerics	GPU-0	(1x8x8x192)->(1x8x8x192)
15	    188.8	      4.0	    755.4	      1.4	  35143.7	     67.0	226492416	  299.839	Conv2D	GPU-0	(1x8x8x384)(3x1x384x384)->(1x8x8x384)
16	    178.1	      4.0	    712.3	      1.4	  35856.1	     68.4	596606976	  837.555	Conv2D	GPU-0	(1x17x17x192)(1x7x192x192)->(1x17x17x192)
17	    160.7	      4.0	    642.6	      1.2	  36498.7	     69.6	414310400	  644.741	Conv2D	GPU-0	(1x17x17x160)(7x1x160x160)->(1x17x17x160)
18	    160.5	      4.0	    642.1	      1.2	  37140.8	     70.8	  7990272	   12.444	AvgPool	GPU-0	(1x17x17x768)->(1x17x17x768)
19	    153.9	      4.0	    615.4	      1.2	  37756.2	     72.0	414310400	  673.194	Conv2D	GPU-0	(1x17x17x160)(1x7x160x160)->(1x17x17x160)
20	    579.7	      1.0	    579.7	      1.1	  38335.9	     73.1	        0	    0.000	CheckNumerics	GPU-0	(1x17x17x384)->(1x17x17x384)
21	    513.6	      1.0	    513.6	      1.0	  38849.5	     74.1	        0	    0.000	_ZN10tensorflow83_GLOBAL__N__59_tmpxft_00001e6f_00000000_6_check_numerics_op_gpu_cu_cpp1_ii_99cbec1319CheckNumericsKernelIfEEvPKT_iPi	GPU-0	no inputs saved in stream->no outputs saved in stream
22	    150.7	      3.0	    452.2	      0.9	  39301.7	     74.9	564480000	 1248.187	Conv2D	GPU-0	(1x35x35x48)(5x5x48x64)->(1x35x35x64)
23	    224.5	      2.0	    448.9	      0.9	  39750.7	     75.8	        0	    0.000	CheckNumerics	GPU-0	(1x8x8x448)->(1x8x8x448)
24	    438.5	      1.0	    438.5	      0.8	  40189.2	     76.6	575299584	 1311.942	Conv2D	GPU-0	(1x35x35x288)(3x3x288x384)->(1x17x17x384)
25	    429.3	      1.0	    429.3	      0.8	  40618.5	     77.5	        0	    0.000	CheckNumerics	GPU-0	(1x147x147x32)->(1x147x147x32)
26	     31.6	     12.0	    378.6	      0.7	  40997.1	     78.2	1022754816	 2701.199	Conv2D	GPU-0	(1x17x17x768)(1x1x768x192)->(1x17x17x192)
27	    362.0	      1.0	    362.0	      0.7	  41359.1	     78.9	1393735680	 3849.886	Conv2D	GPU-0	(1x73x73x80)(3x3x80x192)->(1x71x71x192)
28	    179.0	      2.0	    357.9	      0.7	  41717.1	     79.5	248586240	  694.472	Conv2D	GPU-0	(1x17x17x160)(7x1x160x192)->(1x17x17x192)
29	     13.3	     26.0	    345.6	      0.7	  42062.7	     80.2	        0	    0.000	BatchNormWithGlobalNormalization	GPU-0	(1x17x17x192)(192x1)(192x1)(192x1)(1)->(1x17x17x192)
30	    337.6	      1.0	    337.6	      0.6	  42400.2	     80.9	796594176	 2359.860	Conv2D	GPU-0	(1x147x147x32)(3x3x32x64)->(1x147x147x64)
31	    324.7	      1.0	    324.7	      0.6	  42724.9	     81.5	        0	    0.000	CheckNumerics	GPU-0	(1x149x149x32)->(1x149x149x32)
32	    160.5	      2.0	    321.0	      0.6	  43045.9	     82.1	248586240	  774.460	Conv2D	GPU-0	(1x17x17x160)(1x7x160x192)->(1x17x17x192)
33	    297.6	      1.0	    297.6	      0.6	  43343.5	     82.6	        0	    0.000	CheckNumerics	GPU-0	(1x73x73x80)->(1x73x73x80)
34	     73.7	      4.0	    294.9	      0.6	  43638.3	     83.2	541900800	 1837.762	Conv2D	GPU-0	(1x35x35x64)(3x3x64x96)->(1x35x35x96)
35	    284.1	      1.0	    284.1	      0.5	  43922.5	     83.8	        0	    0.000	CheckNumerics	GPU-0	(1x35x35x288)->(1x35x35x288)
36	     89.9	      3.0	    269.7	      0.5	  44192.1	     84.3	609638400	 2260.767	Conv2D	GPU-0	(1x35x35x96)(3x3x96x96)->(1x35x35x96)
37	    267.7	      1.0	    267.7	      0.5	  44459.8	     84.8	        0	    0.000	DecodeJpeg	CPU-0	(string 1x1)->(uint8 100x100x3)
38	    256.8	      1.0	    256.8	      0.5	  44716.7	     85.3	  3175200	   12.364	AvgPool	GPU-0	(1x35x35x288)->(1x35x35x288)
39	    252.0	      1.0	    252.0	      0.5	  44968.6	     85.7	 70778880	  280.913	Conv2D	GPU-0	(1x17x17x192)(3x3x192x320)->(1x8x8x320)
40	    247.9	      1.0	    247.9	      0.5	  45216.5	     86.2	398297088	 1606.490	Conv2D	GPU-0	(1x149x149x32)(3x3x32x32)->(1x147x147x32)
41	    244.8	      1.0	    244.8	      0.5	  45461.3	     86.7	        0	    0.000	CheckNumerics	GPU-0	(1x35x35x32)->(1x35x35x32)
42	    116.9	      2.0	    233.9	      0.4	  45695.2	     87.1	132579328	  566.845	Conv2D	GPU-0	(1x17x17x128)(1x7x128x128)->(1x17x17x128)
43	    229.2	      1.0	    229.2	      0.4	  45924.4	     87.6	  2822400	   12.314	AvgPool	GPU-0	(1x35x35x256)->(1x35x35x256)
