pool_3/_reshape	Reshape	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(1x1x1x2048)', '(int32 2x1)'], ['(1x2048)'], 1, 2, 4]}
mixed_2/tower/conv/batchnorm/moving_mean	Const	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(no input)'], ['(48x1)'], 0, 1, 3]}
mixed_7/tower_1/conv_3/batchnorm/moving_variance	Const	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(no input)'], ['(192x1)'], 0, 2, 3]}
mixed_10/tower/mixed/conv/batchnorm/moving_variance	Const	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(no input)'], ['(384x1)'], 0, 1, 1]}
mixed_6/tower/conv	Relu	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(1x17x17x160)'], ['(1x17x17x160)'], 0, 11, 12], '/device:GPU:0/stream:13': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 3, 3], '/device:GPU:0/stream:all': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 3, 3]}
mixed_6/tower/conv_1/Conv2D	Conv2D	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(1x17x17x160)', '(1x7x160x160)'], ['(1x17x17x160)'], 0, 66, 70], '/device:GPU:0/stream:13': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 160, 160], '/device:GPU:0/stream:all': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 160, 160]}
mixed_4/tower_1/conv/control_dependency	Identity	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(1x17x17x128)'], ['(1x17x17x128)'], 1, 2, 6]}
mixed_8/join	Concat	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(', '1', ')', '(1x8x8x320)', '(1x8x8x192)', '(1x8x8x768)'], ['(1x8x8x1280)'], 0, 23, 27], '/device:GPU:0/stream:13': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 7, 7], '/device:GPU:0/stream:all': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 7, 7]}
mixed_2/tower_1/conv_2/Conv2D	Conv2D	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(1x35x35x96)', '(3x3x96x96)'], ['(1x35x35x96)'], 1, 56, 60], '/device:GPU:0/stream:13': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 88, 88], '/device:GPU:0/stream:all': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 88, 88]}
mixed_6/tower_1/conv_4/control_dependency	Identity	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(1x17x17x192)'], ['(1x17x17x192)'], 1, 1, 5]}
mixed/tower_1/conv/batchnorm	BatchNormWithGlobalNormalization	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(1x35x35x64)', '(64x1)', '(64x1)', '(64x1)', '(', '1', ')'], ['(1x35x35x64)'], 2, 138, 147], '/device:GPU:0/stream:13': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 15, 15], '/device:GPU:0/stream:all': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 15, 15]}
mixed_8/tower_1/conv/Conv2D	Conv2D	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(1x17x17x768)', '(1x1x768x192)'], ['(1x17x17x192)'], 0, 13, 15], '/device:GPU:0/stream:13': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 29, 29], '/device:GPU:0/stream:all': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 29, 29]}
mixed_8/pool	MaxPool	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(1x17x17x768)'], ['(1x8x8x768)'], 0, 30, 33], '/device:GPU:0/stream:13': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 15, 15], '/device:GPU:0/stream:all': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 15, 15]}
conv_3/batchnorm/gamma	Const	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(no input)'], ['(80x1)'], 0, 2, 3]}
