mixed_4/tower_1/conv_2/batchnorm@GPU-0@(1x17x17x128)(128x1)(128x1)(128x1)(1)->(1x17x17x128)	mixed_4/tower_1/conv_2/batchnorm	BatchNormWithGlobalNormalization	GPU-0	0	10	10	(1x17x17x128)(128x1)(128x1)(128x1)(1)->(1x17x17x128)	1	1	0
mixed_4/tower_1/conv_1/control_dependency@GPU-0@(1x17x17x128)->(1x17x17x128)	mixed_4/tower_1/conv_1/control_dependency	Identity	GPU-0	1	2	6	(1x17x17x128)->(1x17x17x128)	0	1	0
mixed_8/tower_1/conv_3/CheckNumerics@GPU-0@(1x8x8x192)->(1x8x8x192)	mixed_8/tower_1/conv_3/CheckNumerics	CheckNumerics	GPU-0	1	189	196	(1x8x8x192)->(1x8x8x192)	0	1	0
mixed_2/tower_1/conv/CheckNumerics@GPU-0@(1x35x35x64)->(1x35x35x64)	mixed_2/tower_1/conv/CheckNumerics	CheckNumerics	GPU-0	2	469	474	(1x35x35x64)->(1x35x35x64)	0	1	0
mixed_2/tower_1/conv_1/batchnorm/moving_mean@GPU-0@(no input)->(96x1)	mixed_2/tower_1/conv_1/batchnorm/moving_mean	Const	GPU-0	0	2	2	(no input)->(96x1)	0	1	0
mixed_6/tower/conv_2/conv2d_params@GPU-0@(no input)->(7x1x160x192)	mixed_6/tower/conv_2/conv2d_params	Const	GPU-0	1	1	4	(no input)->(7x1x160x192)	0	1	0
mixed_5/tower/conv_1/Conv2D@GPU-0@(1x17x17x160)(1x7x160x160)->(1x17x17x160)	mixed_5/tower/conv_1/Conv2D	Conv2D	GPU-0	0	151	151	(1x17x17x160)(1x7x160x160)->(1x17x17x160)	1	1	0
mixed_10/tower_2/conv/CheckNumerics@GPU-0@(1x8x8x192)->(1x8x8x192)	mixed_10/tower_2/conv/CheckNumerics	CheckNumerics	GPU-0	1	297	300	(1x8x8x192)->(1x8x8x192)	0	1	0
mixed_7/tower_1/conv_1/CheckNumerics@GPU-0@(1x17x17x192)->(1x17x17x192)	mixed_7/tower_1/conv_1/CheckNumerics	CheckNumerics	GPU-0	1	326	329	(1x17x17x192)->(1x17x17x192)	0	1	0
mixed_5/tower_1/conv_3/control_dependency@GPU-0@(1x17x17x160)->(1x17x17x160)	mixed_5/tower_1/conv_3/control_dependency	Identity	GPU-0	1	1	5	(1x17x17x160)->(1x17x17x160)	0	1	0
mixed_10/conv@GPU-0@(1x8x8x320)->(1x8x8x320)	mixed_10/conv	Relu	GPU-0	0	2	2	(1x8x8x320)->(1x8x8x320)	1	1	0
mixed_1/conv/Conv2D@GPU-0@(1x35x35x256)(1x1x256x64)->(1x35x35x64)	mixed_1/conv/Conv2D	Conv2D	GPU-0	0	21	21	(1x35x35x256)(1x1x256x64)->(1x35x35x64)	1	1	0
mixed_10/tower_1/mixed/conv_1/batchnorm/moving_mean@GPU-0@(no input)->(384x1)	mixed_10/tower_1/mixed/conv_1/batchnorm/moving_mean	Const	GPU-0	1	1	3	(no input)->(384x1)	0	1	0
mixed_9/tower_1/mixed/conv_1/CheckNumerics@GPU-0@(1x8x8x384)->(1x8x8x384)	mixed_9/tower_1/mixed/conv_1/CheckNumerics	CheckNumerics	GPU-0	1	348	350	(1x8x8x384)->(1x8x8x384)	0	1	0
mixed_5/tower_1/conv_2/control_dependency@GPU-0@(1x17x17x160)->(1x17x17x160)	mixed_5/tower_1/conv_2/control_dependency	Identity	GPU-0	1	2	4	(1x17x17x160)->(1x17x17x160)	0	1	0
mixed_10/tower_2/pool@GPU-0@(1x8x8x2048)->(1x8x8x2048)	mixed_10/tower_2/pool	MaxPool	GPU-0	0	28	28	(1x8x8x2048)->(1x8x8x2048)	1	1	0
mixed_7/tower/conv_1/batchnorm/beta@GPU-0@(no input)->(192x1)	mixed_7/tower/conv_1/batchnorm/beta	Const	GPU-0	0	1	2	(no input)->(192x1)	0	1	0
mixed_7/tower_1/conv_1/Conv2D@GPU-0@(1x17x17x192)(7x1x192x192)->(1x17x17x192)	mixed_7/tower_1/conv_1/Conv2D	Conv2D	GPU-0	0	197	197	(1x17x17x192)(7x1x192x192)->(1x17x17x192)	1	1	0
mixed_10/tower_2/conv/conv2d_params@GPU-0@(no input)->(1x1x2048x192)	mixed_10/tower_2/conv/conv2d_params	Const	GPU-0	0	2	3	(no input)->(1x1x2048x192)	0	1	0
mixed_5/tower_1/conv/batchnorm/moving_variance@GPU-0@(no input)->(160x1)	mixed_5/tower_1/conv/batchnorm/moving_variance	Const	GPU-0	1	1	3	(no input)->(160x1)	0	1	0
mixed/conv/CheckNumerics@GPU-0@(1x35x35x64)->(1x35x35x64)	mixed/conv/CheckNumerics	CheckNumerics	GPU-0	3	507	512	(1x35x35x64)->(1x35x35x64)	0	1	0
conv_2/CheckNumerics@GPU-0@(1x147x147x64)->(1x147x147x64)	conv_2/CheckNumerics	CheckNumerics	GPU-0	1	605	609	(1x147x147x64)->(1x147x147x64)	0	1	0
mixed/tower_1/conv/batchnorm/beta@GPU-0@(no input)->(64x1)	mixed/tower_1/conv/batchnorm/beta	Const	GPU-0	0	1	2	(no input)->(64x1)	0	1	0
mixed_6/tower_1/conv_2/batchnorm/beta@GPU-0@(no input)->(160x1)	mixed_6/tower_1/conv_2/batchnorm/beta	Const	GPU-0	1	1	3	(no input)->(160x1)	0	1	0
mixed_7/tower_1/conv/batchnorm/moving_variance@GPU-0@(no input)->(192x1)	mixed_7/tower_1/conv/batchnorm/moving_variance	Const	GPU-0	1	0	2	(no input)->(192x1)	0	1	0
mixed_3/tower/conv_2/CheckNumerics@GPU-0@(1x17x17x96)->(1x17x17x96)	mixed_3/tower/conv_2/CheckNumerics	CheckNumerics	GPU-0	2	118	123	(1x17x17x96)->(1x17x17x96)	0	1	0
conv_3/CheckNumerics@GPU-0@(1x73x73x80)->(1x73x73x80)	conv_3/CheckNumerics	CheckNumerics	GPU-0	1	377	380	(1x73x73x80)->(1x73x73x80)	0	1	0
mixed_8/tower/conv/conv2d_params@GPU-0@(no input)->(1x1x768x192)	mixed_8/tower/conv/conv2d_params	Const	GPU-0	0	1	2	(no input)->(1x1x768x192)	0	1	0
mixed_4/tower/conv_1/batchnorm/moving_mean@GPU-0@(no input)->(128x1)	mixed_4/tower/conv_1/batchnorm/moving_mean	Const	GPU-0	0	2	3	(no input)->(128x1)	0	1	0
mixed_5/tower/conv/control_dependency@GPU-0@(1x17x17x160)->(1x17x17x160)	mixed_5/tower/conv/control_dependency	Identity	GPU-0	1	2	4	(1x17x17x160)->(1x17x17x160)	0	1	0
mixed_7/tower_1/conv_2/Conv2D@GPU-0@(1x17x17x192)(1x7x192x192)->(1x17x17x192)	mixed_7/tower_1/conv_2/Conv2D	Conv2D	GPU-0	0	176	176	(1x17x17x192)(1x7x192x192)->(1x17x17x192)	1	1	0
mixed_6/join@GPU-0@(1)(1x17x17x192)(1x17x17x192)(1x17x17x192)(1x17x17x192)->(1x17x17x768)	mixed_6/join	Concat	GPU-0	0	15	15	(1)(1x17x17x192)(1x17x17x192)(1x17x17x192)(1x17x17x192)->(1x17x17x768)	1	1	0
mixed_10/tower/mixed/conv/CheckNumerics@GPU-0@(1x8x8x384)->(1x8x8x384)	mixed_10/tower/mixed/conv/CheckNumerics	CheckNumerics	GPU-0	2	832	837	(1x8x8x384)->(1x8x8x384)	0	1	0
mixed_6/tower_1/conv_1/batchnorm/moving_mean@GPU-0@(no input)->(160x1)	mixed_6/tower_1/conv_1/batchnorm/moving_mean	Const	GPU-0	0	14	15	(no input)->(160x1)	0	1	0
Cast@GPU-0@(uint8 100x100x3)->(100x100x3)	Cast	Cast	GPU-0	0	2	2	(uint8 100x100x3)->(100x100x3)	1	1	0
mixed_1/tower/conv/Conv2D@GPU-0@(1x35x35x256)(1x1x256x48)->(1x35x35x48)	mixed_1/tower/conv/Conv2D	Conv2D	GPU-0	0	18	18	(1x35x35x256)(1x1x256x48)->(1x35x35x48)	1	1	0
mixed_7/tower/conv/control_dependency@GPU-0@(1x17x17x192)->(1x17x17x192)	mixed_7/tower/conv/control_dependency	Identity	GPU-0	1	2	7	(1x17x17x192)->(1x17x17x192)	0	1	0
mixed_4/tower_1/conv/Conv2D@GPU-0@(1x17x17x768)(1x1x768x128)->(1x17x17x128)	mixed_4/tower_1/conv/Conv2D	Conv2D	GPU-0	0	21	21	(1x17x17x768)(1x1x768x128)->(1x17x17x128)	1	1	0
mixed_8/tower_1/conv_3/conv2d_params@GPU-0@(no input)->(3x3x192x192)	mixed_8/tower_1/conv_3/conv2d_params	Const	GPU-0	0	1	2	(no input)->(3x3x192x192)	0	1	0
mixed/tower_1/conv_1/batchnorm@GPU-0@(1x35x35x96)(96x1)(96x1)(96x1)(96x1)->(1x35x35x96)	mixed/tower_1/conv_1/batchnorm	BatchNormWithGlobalNormalization	GPU-0	0	17	17	(1x35x35x96)(96x1)(96x1)(96x1)(96x1)->(1x35x35x96)	1	1	0
mixed_10/tower/conv/CheckNumerics@GPU-0@(1x8x8x384)->(1x8x8x384)	mixed_10/tower/conv/CheckNumerics	CheckNumerics	GPU-0	2	492	496	(1x8x8x384)->(1x8x8x384)	0	1	0
mixed_2/tower/conv@GPU-0@(1x35x35x48)->(1x35x35x48)	mixed_2/tower/conv	Relu	GPU-0	0	2	2	(1x35x35x48)->(1x35x35x48)	1	1	0
mixed_10/tower_1/conv/conv2d_params@GPU-0@(no input)->(1x1x2048x448)	mixed_10/tower_1/conv/conv2d_params	Const	GPU-0	0	1	2	(no input)->(1x1x2048x448)	0	1	0
mixed_7/tower_1/conv_3/batchnorm/moving_mean@GPU-0@(no input)->(192x1)	mixed_7/tower_1/conv_3/batchnorm/moving_mean	Const	GPU-0	0	1	2	(no input)->(192x1)	0	1	0
mixed_4/tower_1/conv@GPU-0@(1x17x17x128)->(1x17x17x128)	mixed_4/tower_1/conv	Relu	GPU-0	0	1	1	(1x17x17x128)->(1x17x17x128)	1	1	0
mixed_1/conv/batchnorm@GPU-0@(1x35x35x64)(64x1)(64x1)(64x1)(1)->(1x35x35x64)	mixed_1/conv/batchnorm	BatchNormWithGlobalNormalization	GPU-0	0	17	17	(1x35x35x64)(64x1)(64x1)(64x1)(1)->(1x35x35x64)	1	1	0
mixed_3/tower/conv_1/Conv2D@GPU-0@(1x35x35x64)(3x3x64x96)->(1x35x35x96)	mixed_3/tower/conv_1/Conv2D	Conv2D	GPU-0	0	74	74	(1x35x35x64)(3x3x64x96)->(1x35x35x96)	1	1	0
