mixed_2/tower_1/conv_1/conv2d_params	Const	GPU-0	11	78	139	(no input)->(3x3x64x96)	0	51	0	mixed_2/tower_1/conv_1/conv2d_params@GPU-0@(no input)->(3x3x64x96)
mixed_5/conv/batchnorm/moving_variance	Const	GPU-0	9	77	139	(no input)->(192x1)	0	51	0	mixed_5/conv/batchnorm/moving_variance@GPU-0@(no input)->(192x1)
mixed_2/conv/batchnorm/moving_mean	Const	GPU-0	6	59	129	(no input)->(64x1)	0	51	0	mixed_2/conv/batchnorm/moving_mean@GPU-0@(no input)->(64x1)
mixed_5/tower_1/conv/batchnorm	BatchNormWithGlobalNormalization	GPU-0	0	596	596	(1x17x17x160)(160x1)(160x1)(160x1)(1)->(1x17x17x160)	51	51	0	mixed_5/tower_1/conv/batchnorm@GPU-0@(1x17x17x160)(160x1)(160x1)(160x1)(1)->(1x17x17x160)
mixed_4/tower/conv_1/conv2d_params	Const	GPU-0	10	128	204	(no input)->(1x7x128x128)	0	51	0	mixed_4/tower/conv_1/conv2d_params@GPU-0@(no input)->(1x7x128x128)
mixed_1/tower_1/conv_1/conv2d_params	Const	GPU-0	12	69	126	(no input)->(3x3x64x96)	0	51	0	mixed_1/tower_1/conv_1/conv2d_params@GPU-0@(no input)->(3x3x64x96)
mixed_5/tower_2/conv/batchnorm/moving_mean	Const	GPU-0	8	63	180	(no input)->(192x1)	0	51	0	mixed_5/tower_2/conv/batchnorm/moving_mean@GPU-0@(no input)->(192x1)
mixed_4/conv/batchnorm/moving_variance	Const	GPU-0	9	75	170	(no input)->(192x1)	0	51	0	mixed_4/conv/batchnorm/moving_variance@GPU-0@(no input)->(192x1)
mixed_10/tower/conv/batchnorm	BatchNormWithGlobalNormalization	GPU-0	0	325	325	(1x8x8x384)(384x1)(384x1)(384x1)(1)->(1x8x8x384)	51	51	0	mixed_10/tower/conv/batchnorm@GPU-0@(1x8x8x384)(384x1)(384x1)(384x1)(1)->(1x8x8x384)
mixed_1/tower_1/conv_2/conv2d_params	Const	GPU-0	11	75	168	(no input)->(3x3x96x96)	0	51	0	mixed_1/tower_1/conv_2/conv2d_params@GPU-0@(no input)->(3x3x96x96)
mixed_3/conv/Conv2D	Conv2D	GPU-0	0	21934	21934	(1x35x35x288)(3x3x288x384)->(1x17x17x384)	51	51	0	mixed_3/conv/Conv2D@GPU-0@(1x35x35x288)(3x3x288x384)->(1x17x17x384)
mixed/join	Concat	GPU-0	0	1034	1034	(int32 1x1)(1x35x35x64)(1x35x35x64)(1x35x35x96)(1x35x35x32)->(1x35x35x256)	51	51	0	mixed/join@GPU-0@(int32 1x1)(1x35x35x64)(1x35x35x64)(1x35x35x96)(1x35x35x32)->(1x35x35x256)
mixed_2/tower/conv_1/batchnorm	BatchNormWithGlobalNormalization	GPU-0	0	809	809	(1x35x35x64)(64x1)(64x1)(64x1)(1)->(1x35x35x64)	51	51	0	mixed_2/tower/conv_1/batchnorm@GPU-0@(1x35x35x64)(64x1)(64x1)(64x1)(1)->(1x35x35x64)
mixed_1/tower_1/conv_1	Relu	GPU-0	0	128	128	(1x35x35x96)->(1x35x35x96)	51	51	0	mixed_1/tower_1/conv_1@GPU-0@(1x35x35x96)->(1x35x35x96)
mixed_9/tower/mixed/conv_1/batchnorm/beta	Const	GPU-0	8	68	129	(no input)->(384x1)	0	51	0	mixed_9/tower/mixed/conv_1/batchnorm/beta@GPU-0@(no input)->(384x1)
mixed_4/tower/conv/conv2d_params	Const	GPU-0	12	100	173	(no input)->(1x1x768x128)	0	51	0	mixed_4/tower/conv/conv2d_params@GPU-0@(no input)->(1x1x768x128)
mixed_9/tower_1/mixed/conv/Conv2D	Conv2D	GPU-0	0	10017	10017	(1x8x8x384)(1x3x384x384)->(1x8x8x384)	51	51	0	mixed_9/tower_1/mixed/conv/Conv2D@GPU-0@(1x8x8x384)(1x3x384x384)->(1x8x8x384)
pool_3	AvgPool	GPU-0	0	2468	2468	(1x8x8x2048)->(1x1x1x2048)	51	51	0	pool_3@GPU-0@(1x8x8x2048)->(1x1x1x2048)
mixed_5/conv/batchnorm/beta	Const	GPU-0	23	119	214	(no input)->(192x1)	0	51	0	mixed_5/conv/batchnorm/beta@GPU-0@(no input)->(192x1)
mixed/tower_1/conv_2/conv2d_params	Const	GPU-0	11	103	164	(no input)->(3x3x96x96)	0	51	0	mixed/tower_1/conv_2/conv2d_params@GPU-0@(no input)->(3x3x96x96)
mixed_4/tower_1/conv_3/control_dependency	Identity	GPU-0	57	92	303	(1x17x17x128)->(1x17x17x128)	0	51	0	mixed_4/tower_1/conv_3/control_dependency@GPU-0@(1x17x17x128)->(1x17x17x128)
