mixed_9/tower/mixed/conv/CheckNumerics	CheckNumerics	GPU-0	119	82700	83073	(1x8x8x384)->(1x8x8x384)	0	100	0	mixed_9/tower/mixed/conv/CheckNumerics@GPU-0@(1x8x8x384)->(1x8x8x384)
mixed_10/tower/mixed/conv/CheckNumerics	CheckNumerics	GPU-0	134	81531	81888	(1x8x8x384)->(1x8x8x384)	0	100	0	mixed_10/tower/mixed/conv/CheckNumerics@GPU-0@(1x8x8x384)->(1x8x8x384)
mixed_10/tower_1/conv_1/CheckNumerics	CheckNumerics	GPU-0	121	79370	79772	(1x8x8x384)->(1x8x8x384)	0	100	0	mixed_10/tower_1/conv_1/CheckNumerics@GPU-0@(1x8x8x384)->(1x8x8x384)
mixed_9/tower_1/conv_1/CheckNumerics	CheckNumerics	GPU-0	126	79069	79449	(1x8x8x384)->(1x8x8x384)	0	100	0	mixed_9/tower_1/conv_1/CheckNumerics@GPU-0@(1x8x8x384)->(1x8x8x384)
mixed_9/tower/mixed/conv_1/CheckNumerics	CheckNumerics	GPU-0	129	78821	79149	(1x8x8x384)->(1x8x8x384)	0	100	0	mixed_9/tower/mixed/conv_1/CheckNumerics@GPU-0@(1x8x8x384)->(1x8x8x384)
mixed_10/tower/mixed/conv_1/CheckNumerics	CheckNumerics	GPU-0	124	77812	78114	(1x8x8x384)->(1x8x8x384)	0	100	0	mixed_10/tower/mixed/conv_1/CheckNumerics@GPU-0@(1x8x8x384)->(1x8x8x384)
conv_2/CheckNumerics	CheckNumerics	GPU-0	129	61590	62104	(1x147x147x64)->(1x147x147x64)	0	100	0	conv_2/CheckNumerics@GPU-0@(1x147x147x64)->(1x147x147x64)
conv_4/CheckNumerics	CheckNumerics	GPU-0	141	59789	60304	(1x71x71x192)->(1x71x71x192)	0	100	0	conv_4/CheckNumerics@GPU-0@(1x71x71x192)->(1x71x71x192)
mixed_3/conv/CheckNumerics	CheckNumerics	GPU-0	121	55931	56373	(1x17x17x384)->(1x17x17x384)	0	100	0	mixed_3/conv/CheckNumerics@GPU-0@(1x17x17x384)->(1x17x17x384)
mixed_3/tower/conv/CheckNumerics	CheckNumerics	GPU-0	153	52574	52914	(1x35x35x64)->(1x35x35x64)	0	100	0	mixed_3/tower/conv/CheckNumerics@GPU-0@(1x35x35x64)->(1x35x35x64)
_ZN10tensorflow83_GLOBAL__N__59_tmpxft_00001e6f_00000000_6_check_numerics_op_gpu_cu_cpp1_ii_99cbec1319CheckNumericsKernelIfEEvPKT_iPi	_ZN10tensorflow83_GLOBAL__N__59_tmpxft_00001e6f_00000000_6_check_numerics_op_gpu_cu_cpp1_ii_99cbec1319CheckNumericsKernelIfEEvPKT_iPi	GPU-0	0	49699	49699	no inputs saved in stream->no outputs saved in stream	100	0	0	_ZN10tensorflow83_GLOBAL__N__59_tmpxft_00001e6f_00000000_6_check_numerics_op_gpu_cu_cpp1_ii_99cbec1319CheckNumericsKernelIfEEvPKT_iPi@GPU-0@no inputs saved in stream->no outputs saved in stream
mixed_2/tower/conv/CheckNumerics	CheckNumerics	GPU-0	173	44888	45304	(1x35x35x48)->(1x35x35x48)	0	100	0	mixed_2/tower/conv/CheckNumerics@GPU-0@(1x35x35x48)->(1x35x35x48)
mixed_2/conv/CheckNumerics	CheckNumerics	GPU-0	136	44805	45276	(1x35x35x64)->(1x35x35x64)	0	100	0	mixed_2/conv/CheckNumerics@GPU-0@(1x35x35x64)->(1x35x35x64)
mixed_9/tower_1/conv_1/Conv2D	Conv2D	GPU-0	0	44539	44539	(1x8x8x448)(3x3x448x384)->(1x8x8x384)	100	100	0	mixed_9/tower_1/conv_1/Conv2D@GPU-0@(1x8x8x448)(3x3x448x384)->(1x8x8x384)
mixed_10/tower_1/conv_1/Conv2D	Conv2D	GPU-0	0	44489	44489	(1x8x8x448)(3x3x448x384)->(1x8x8x384)	100	100	0	mixed_10/tower_1/conv_1/Conv2D@GPU-0@(1x8x8x448)(3x3x448x384)->(1x8x8x384)
mixed_3/conv/Conv2D	Conv2D	GPU-0	0	43028	43028	(1x35x35x288)(3x3x288x384)->(1x17x17x384)	100	100	0	mixed_3/conv/Conv2D@GPU-0@(1x35x35x288)(3x3x288x384)->(1x17x17x384)
mixed_8/tower/conv_1/CheckNumerics	CheckNumerics	GPU-0	124	42345	42710	(1x8x8x320)->(1x8x8x320)	0	100	0	mixed_8/tower/conv_1/CheckNumerics@GPU-0@(1x8x8x320)->(1x8x8x320)
mixed_1/tower/conv/CheckNumerics	CheckNumerics	GPU-0	238	41494	42034	(1x35x35x48)->(1x35x35x48)	0	100	0	mixed_1/tower/conv/CheckNumerics@GPU-0@(1x35x35x48)->(1x35x35x48)
mixed/conv/CheckNumerics	CheckNumerics	GPU-0	191	41406	42245	(1x35x35x64)->(1x35x35x64)	0	100	0	mixed/conv/CheckNumerics@GPU-0@(1x35x35x64)->(1x35x35x64)
mixed_8/tower_1/conv_1/CheckNumerics	CheckNumerics	GPU-0	118	41288	41608	(1x17x17x192)->(1x17x17x192)	0	100	0	mixed_8/tower_1/conv_1/CheckNumerics@GPU-0@(1x17x17x192)->(1x17x17x192)
mixed_1/conv/CheckNumerics	CheckNumerics	GPU-0	134	40796	41339	(1x35x35x64)->(1x35x35x64)	0	100	0	mixed_1/conv/CheckNumerics@GPU-0@(1x35x35x64)->(1x35x35x64)
mixed_9/tower_1/mixed/conv/CheckNumerics	CheckNumerics	GPU-0	120	40735	41099	(1x8x8x384)->(1x8x8x384)	0	100	0	mixed_9/tower_1/mixed/conv/CheckNumerics@GPU-0@(1x8x8x384)->(1x8x8x384)
mixed_10/tower_1/mixed/conv/CheckNumerics	CheckNumerics	GPU-0	114	39884	40252	(1x8x8x384)->(1x8x8x384)	0	100	0	mixed_10/tower_1/mixed/conv/CheckNumerics@GPU-0@(1x8x8x384)->(1x8x8x384)
mixed_1/tower_1/conv/CheckNumerics	CheckNumerics	GPU-0	283	38514	39045	(1x35x35x64)->(1x35x35x64)	0	100	0	mixed_1/tower_1/conv/CheckNumerics@GPU-0@(1x35x35x64)->(1x35x35x64)
mixed_2/tower_1/conv/CheckNumerics	CheckNumerics	GPU-0	334	38343	38965	(1x35x35x64)->(1x35x35x64)	0	100	0	mixed_2/tower_1/conv/CheckNumerics@GPU-0@(1x35x35x64)->(1x35x35x64)
mixed/tower/conv/CheckNumerics	CheckNumerics	GPU-0	238	38056	38796	(1x35x35x48)->(1x35x35x48)	0	100	0	mixed/tower/conv/CheckNumerics@GPU-0@(1x35x35x48)->(1x35x35x48)
mixed_6/tower/conv_2/CheckNumerics	CheckNumerics	GPU-0	121	37237	37595	(1x17x17x192)->(1x17x17x192)	0	100	0	mixed_6/tower/conv_2/CheckNumerics@GPU-0@(1x17x17x192)->(1x17x17x192)
