CheckNumerics/GPU-0/(1x17x17x192)->(1x17x17x192)	[747651, 2600, -1]
CheckNumerics/GPU-0/(1x8x8x384)->(1x8x8x384)	[675732, 1200, -1]
CheckNumerics/GPU-0/(1x35x35x64)->(1x35x35x64)	[443137, 1200, -1]
CheckNumerics/GPU-0/(1x17x17x160)->(1x17x17x160)	[371950, 1200, -1]
CheckNumerics/GPU-0/(1x17x17x128)->(1x17x17x128)	[163534, 600, -1]
CheckNumerics/GPU-0/(1x35x35x96)->(1x35x35x96)	[137299, 700, -1]
CheckNumerics/GPU-0/(1x35x35x48)->(1x35x35x48)	[124438, 300, -1]
Conv2D/GPU-0/(1x8x8x448)(3x3x448x384)->(1x8x8x384)	[89028, 200, 198180864]
CheckNumerics/GPU-0/(1x147x147x64)->(1x147x147x64)	[81279, 200, -1]
CheckNumerics/GPU-0/(1x8x8x320)->(1x8x8x320)	[80306, 300, -1]
Conv2D/GPU-0/(1x8x8x384)(1x3x384x384)->(1x8x8x384)	[79459, 400, 56623104]
Conv2D/GPU-0/(1x17x17x192)(7x1x192x192)->(1x17x17x192)	[77712, 400, 149151744]
CheckNumerics/GPU-0/(1x71x71x192)->(1x71x71x192)	[75183, 200, -1]
Conv2D/GPU-0/(1x8x8x384)(3x1x384x384)->(1x8x8x384)	[73999, 400, 56623104]
Conv2D/GPU-0/(1x17x17x192)(1x7x192x192)->(1x17x17x192)	[69997, 400, 149151744]
AvgPool/GPU-0/(1x17x17x768)->(1x17x17x768)	[62608, 400, 1997568]
Conv2D/GPU-0/(1x17x17x160)(7x1x160x160)->(1x17x17x160)	[62378, 400, 103577600]
CheckNumerics/GPU-0/(1x8x8x192)->(1x8x8x192)	[61694, 300, -1]
Conv2D/GPU-0/(1x17x17x160)(1x7x160x160)->(1x17x17x160)	[61592, 400, 103577600]
CheckNumerics/GPU-0/(1x17x17x384)->(1x17x17x384)	[55931, 100, -1]
_ZN10tensorflow83_GLOBAL__N__59_tmpxft_00001e6f_00000000_6_check_numerics_op_gpu_cu_cpp1_ii_99cbec1319CheckNumericsKernelIfEEvPKT_iPi/GPU-0/no inputs saved in stream->no outputs saved in stream	[49699, 100, -1]
Conv2D/GPU-0/(1x35x35x48)(5x5x48x64)->(1x35x35x64)	[44183, 300, 188160000]
Conv2D/GPU-0/(1x35x35x288)(3x3x288x384)->(1x17x17x384)	[43028, 100, 575299584]
CheckNumerics/GPU-0/(1x8x8x448)->(1x8x8x448)	[37337, 200, -1]
Conv2D/GPU-0/(1x17x17x768)(1x1x768x192)->(1x17x17x192)	[36921, 1200, 85229568]
Conv2D/GPU-0/(1x73x73x80)(3x3x80x192)->(1x71x71x192)	[35652, 100, 1393735680]
Conv2D/GPU-0/(1x17x17x160)(7x1x160x192)->(1x17x17x192)	[34439, 200, 124293120]
CheckNumerics/GPU-0/(1x147x147x32)->(1x147x147x32)	[34194, 100, -1]
Conv2D/GPU-0/(1x147x147x32)(3x3x32x64)->(1x147x147x64)	[33465, 100, 796594176]
BatchNormWithGlobalNormalization/GPU-0/(1x17x17x192)(192x1)(192x1)(192x1)(1)->(1x17x17x192)	[33201, 2600, -1]
Conv2D/GPU-0/(1x17x17x160)(1x7x160x192)->(1x17x17x192)	[31275, 200, 124293120]
CheckNumerics/GPU-0/(1x73x73x80)->(1x73x73x80)	[29551, 100, -1]
Conv2D/GPU-0/(1x35x35x64)(3x3x64x96)->(1x35x35x96)	[28959, 400, 135475200]
CheckNumerics/GPU-0/(1x149x149x32)->(1x149x149x32)	[27203, 100, -1]
Conv2D/GPU-0/(1x17x17x192)(3x3x192x320)->(1x8x8x320)	[27121, 100, 70778880]
CheckNumerics/GPU-0/(1x35x35x288)->(1x35x35x288)	[27097, 100, -1]
Conv2D/GPU-0/(1x35x35x96)(3x3x96x96)->(1x35x35x96)	[26247, 300, 203212800]
AvgPool/GPU-0/(1x35x35x288)->(1x35x35x288)	[25062, 100, 3175200]
CheckNumerics/GPU-0/(1x35x35x32)->(1x35x35x32)	[24359, 100, -1]
DecodeJpeg/CPU-0/(string 1x1)->(uint8 100x100x3)	[23676, 100, -1]
Conv2D/GPU-0/(1x17x17x128)(1x7x128x128)->(1x17x17x128)	[22967, 200, 66289664]
AvgPool/GPU-0/(1x35x35x256)->(1x35x35x256)	[22168, 100, 2822400]
Conv2D/GPU-0/(1x17x17x128)(7x1x128x128)->(1x17x17x128)	[22065, 200, 66289664]
