Op rank by total time	Time of 1 call, microseconds	Number of calls in 1 run	Total time in 1 run	% of total time	Cumulative time, microseconds	% of total cumulative time	(FL)OPs in RegisterStatistics	GFLOP/S achieved	Op name	Device	Input/output tensors
1	  3547.45	     1.00	  3547.45	    37.34	  3547.45	    37.34	     0.00	     0.00	IteratorGetNext	CPU-0	(tf_resource 1x1)->(100x784)(int32 100x1)
2	   829.36	     1.00	   829.36	     8.73	  4376.81	    46.07	     0.00	     0.00	ResourceApplyAdam	GPU-0	(tf_resource 1x1)(tf_resource 1x1)(tf_resource 1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(3136x1024)->(no output info)
3	   755.00	     1.00	   755.00	     7.95	  5131.81	    54.02	     0.00	     0.00	Conv2DBackpropFilter	GPU-0	(100x32x14x14)(int32 4x1)(100x64x14x14)->(5x5x32x64)
4	   754.40	     1.00	   754.40	     7.94	  5886.21	    61.96	     0.00	     0.00	Conv2DBackpropInput	GPU-0	(int32 4x1)(int32 4x1)(5x5x32x64)(100x64x14x14)->(100x32x14x14)
5	   599.16	     1.00	   599.16	     6.31	  6485.37	    68.27	     0.00	     0.00	Conv2D	GPU-0	(100x32x14x14)(5x5x32x64)->(100x64x14x14)
6	   258.85	     1.00	   258.85	     2.72	  6744.22	    70.99	     0.00	     0.00	Conv2DBackpropFilter	GPU-0	(100x1x28x28)(int32 4x1)(100x32x28x28)->(5x5x1x32)
7	   255.69	     1.00	   255.69	     2.69	  6999.91	    73.68	     0.00	     0.00	ReluGrad	GPU-0	(100x32x28x28)(100x32x28x28)->(100x32x28x28)
8	   248.29	     1.00	   248.29	     2.61	  7248.20	    76.30	     0.00	     0.00	MatMul	GPU-0	(100x1024)(3136x1024)->(100x3136)
9	   241.99	     1.00	   241.99	     2.55	  7490.19	    78.84	     0.00	     0.00	MatMul	GPU-0	(100x3136)(3136x1024)->(100x1024)
10	   192.61	     1.00	   192.61	     2.03	  7682.80	    80.87	     0.00	     0.00	MatMul	GPU-0	(100x3136)(100x1024)->(3136x1024)
11	   165.93	     1.00	   165.93	     1.75	  7848.73	    82.62	     0.00	     0.00	MaxPoolGrad	GPU-0	(100x32x28x28)(100x32x14x14)(100x32x14x14)->(100x32x28x28)
12	   158.70	     1.00	   158.70	     1.67	  8007.43	    84.29	     0.00	     0.00	BiasAdd	GPU-0	(100x32x28x28)(32x1)->(100x32x28x28)
13	   144.40	     1.00	   144.40	     1.52	  8151.83	    85.81	     0.00	     0.00	ReluGrad	GPU-0	(100x64x14x14)(100x64x14x14)->(100x64x14x14)
14	   132.82	     1.00	   132.82	     1.40	  8284.65	    87.21	     0.00	     0.00	Relu	GPU-0	(100x32x28x28)->(100x32x28x28)
15	   122.62	     1.00	   122.62	     1.29	  8407.27	    88.50	     0.00	     0.00	MaxPoolGrad	GPU-0	(100x64x14x14)(100x64x7x7)(100x64x7x7)->(100x64x14x14)
16	   120.61	     1.00	   120.61	     1.27	  8527.88	    89.77	     0.00	     0.00	Conv2D	GPU-0	(100x1x28x28)(5x5x1x32)->(100x32x28x28)
17	   105.47	     1.00	   105.47	     1.11	  8633.35	    90.88	     0.00	     0.00	MaxPool	GPU-0	(100x32x28x28)->(100x32x14x14)
18	    80.43	     1.00	    80.43	     0.85	  8713.78	    91.72	     0.00	     0.00	BiasAdd	GPU-0	(100x64x14x14)(64x1)->(100x64x14x14)
19	    74.75	     1.00	    74.75	     0.79	  8788.53	    92.51	     0.00	     0.00	BiasAddGrad	GPU-0	(100x32x28x28)->(32x1)
20	    69.26	     1.00	    69.26	     0.73	  8857.79	    93.24	     0.00	     0.00	MaxPool	GPU-0	(100x64x14x14)->(100x64x7x7)
21	    67.03	     1.00	    67.03	     0.71	  8924.82	    93.94	     0.00	     0.00	Relu	GPU-0	(100x64x14x14)->(100x64x14x14)
22	    66.90	     1.00	    66.90	     0.70	  8991.72	    94.65	     1.00	     0.00	Snapshot	GPU-0	(int64 1x1)(int32 1x1)->(int64 1x1)
23	    43.54	     1.00	    43.54	     0.46	  9035.26	    95.11	     0.00	     0.00	BiasAddGrad	GPU-0	(100x64x14x14)->(64x1)
24	    14.55	     2.00	    29.10	     0.31	  9064.36	    95.41	     0.00	     0.00	Assign	GPU-0	(1x1)(1x1)->(1x1)
25	    25.42	     1.00	    25.42	     0.27	  9089.78	    95.68	     0.00	     0.00	MEMCPYHtoD	GPU-0	(Transfer)->(313600 bytes)
26	     1.03	    24.00	    24.67	     0.26	  9114.45	    95.94	     0.00	     0.00	VarHandleOp	GPU-0	(no input)->(tf_resource 1x1)
27	    24.13	     1.00	    24.13	     0.25	  9138.58	    96.19	     0.00	     0.00	SparseSoftmaxCrossEntropyWithLogits	GPU-0	(100x10)(100x784)(int32 100x1)->(100x1)(100x10)
28	    17.30	     1.00	    17.30	     0.18	  9155.88	    96.38	     0.00	     0.00	ResourceApplyAdam	GPU-0	(tf_resource 1x1)(tf_resource 1x1)(tf_resource 1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(5x5x32x64)->(no output info)
29	    16.26	     1.00	    16.26	     0.17	  9172.14	    96.55	     0.00	     0.00	MatMul	GPU-0	(100x1024)(1024x10)->(100x10)
30	    14.38	     1.00	    14.38	     0.15	  9186.52	    96.70	     0.00	     0.00	MatMul	GPU-0	(100x10)(1024x10)->(100x1024)
31	     1.46	     9.01	    13.16	     0.14	  9199.68	    96.84	     0.00	     0.00	Const	GPU-0	(no input)->(1x1)
32	    12.30	     1.00	    12.30	     0.13	  9211.98	    96.97	     0.00	     0.00	StridedSlice	GPU-0	(int32 2x1)(int32 1x1)(int32 1x1)(int32 1x1)->(int32 1x1)
33	    11.12	     1.00	    11.12	     0.12	  9223.10	    97.08	     0.00	     0.00	MatMul	GPU-0	(100x1024)(100x10)->(1024x10)
34	    10.02	     1.00	    10.02	     0.11	  9233.12	    97.19	     0.00	     0.00	ResourceApplyAdam	GPU-0	(tf_resource 1x1)(tf_resource 1x1)(tf_resource 1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1024x10)->(no output info)
35	     9.90	     1.00	     9.90	     0.10	  9243.02	    97.29	     0.00	     0.00	ResourceApplyAdam	GPU-0	(tf_resource 1x1)(tf_resource 1x1)(tf_resource 1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(10x1)->(no output info)
36	     9.18	     1.00	     9.18	     0.10	  9252.20	    97.39	     0.00	     0.00	Iterator	CPU-0	(no input)->(tf_resource 1x1)
37	     8.76	     1.00	     8.76	     0.09	  9260.96	    97.48	     0.00	     0.00	ResourceApplyAdam	GPU-0	(tf_resource 1x1)(tf_resource 1x1)(tf_resource 1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(5x5x1x32)->(no output info)
38	     8.62	     1.00	     8.62	     0.09	  9269.58	    97.57	     0.00	     0.00	ResourceApplyAdam	GPU-0	(tf_resource 1x1)(tf_resource 1x1)(tf_resource 1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(64x1)->(no output info)
39	     8.62	     1.00	     8.62	     0.09	  9278.20	    97.66	     0.00	     0.00	ResourceApplyAdam	GPU-0	(tf_resource 1x1)(tf_resource 1x1)(tf_resource 1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1024x1)->(no output info)
40	     8.54	     1.00	     8.54	     0.09	  9286.74	    97.75	     0.00	     0.00	ResourceApplyAdam	GPU-0	(tf_resource 1x1)(tf_resource 1x1)(tf_resource 1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(32x1)->(no output info)
41	     8.14	     1.00	     8.14	     0.09	  9294.88	    97.84	     0.00	     0.00	RandomUniform	GPU-0	(int32 2x1)->(100x1024)
42	     1.32	     6.00	     7.90	     0.08	  9302.78	    97.92	     0.00	     0.00	Const	GPU-0	(no input)->(int32 1x1)
43	     3.84	     2.02	     7.75	     0.08	  9310.53	    98.00	     0.00	     0.00	VariableV2	GPU-0	(no input)->(1x1)
44	     3.77	     2.00	     7.54	     0.08	  9318.07	    98.08	     0.00	     0.00	Mul	GPU-0	(100x1024)(100x1024)->(100x1024)
45	     7.46	     1.00	     7.46	     0.08	  9325.53	    98.16	     0.00	     0.00	BiasAddGrad	GPU-0	(100x10)->(10x1)
46	     7.02	     1.00	     7.02	     0.07	  9332.55	    98.24	     0.00	     0.00	Pack	GPU-0	(int32 1x1)(int32 1x1)(int32 1x1)(int32 1x1)->(int32 4x1)
47	     3.33	     2.00	     6.66	     0.07	  9339.21	    98.31	     0.00	     0.00	Mul	GPU-0	(100x1024)(1x1)->(100x1024)
48	     5.28	     1.00	     5.28	     0.06	  9344.49	    98.36	     0.00	     0.00	ReluGrad	GPU-0	(100x1024)(100x1024)->(100x1024)
