Op rank by total time	Time of 1 call, microseconds	Number of calls in 1 run	Total time in 1 run	% of total time	Cumulative time, microseconds	% of total cumulative time	(FL)OPs in RegisterStatistics	GFLOP/S achieved	Op name	Device	Input/output tensors
1	  3459.18	     1.00	  3459.18	    36.76	  3459.18	    36.76	     0.00	     0.00	IteratorGetNext	CPU-0	(tf_resource 1x1)->(100x784)(int32 100x1)
2	   830.02	     1.00	   830.02	     8.82	  4289.20	    45.58	     0.00	     0.00	ResourceApplyAdam	GPU-0	(tf_resource 1x1)(tf_resource 1x1)(tf_resource 1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(3136x1024)->(no output info)
3	   759.09	     1.00	   759.09	     8.07	  5048.29	    53.65	     0.00	     0.00	Conv2DBackpropFilter	GPU-0	(100x32x14x14)(int32 4x1)(100x64x14x14)->(5x5x32x64)
4	   746.86	     1.00	   746.86	     7.94	  5795.15	    61.59	     0.00	     0.00	Conv2DBackpropInput	GPU-0	(int32 4x1)(int32 4x1)(5x5x32x64)(100x64x14x14)->(100x32x14x14)
5	   590.97	     1.00	   590.97	     6.28	  6386.12	    67.87	     0.00	     0.00	Conv2D	GPU-0	(100x32x14x14)(5x5x32x64)->(100x64x14x14)
6	   259.86	     1.00	   259.86	     2.76	  6645.98	    70.63	     0.00	     0.00	Conv2DBackpropFilter	GPU-0	(100x1x28x28)(int32 4x1)(100x32x28x28)->(5x5x1x32)
7	   256.21	     1.00	   256.21	     2.72	  6902.19	    73.35	     0.00	     0.00	ReluGrad	GPU-0	(100x32x28x28)(100x32x28x28)->(100x32x28x28)
8	   245.38	     1.00	   245.38	     2.61	  7147.57	    75.96	     0.00	     0.00	MatMul	GPU-0	(100x1024)(3136x1024)->(100x3136)
9	   239.69	     1.00	   239.69	     2.55	  7387.26	    78.51	     0.00	     0.00	MatMul	GPU-0	(100x3136)(3136x1024)->(100x1024)
10	   191.40	     1.00	   191.40	     2.03	  7578.66	    80.54	     0.00	     0.00	MatMul	GPU-0	(100x3136)(100x1024)->(3136x1024)
11	   165.65	     1.00	   165.65	     1.76	  7744.31	    82.30	     0.00	     0.00	MaxPoolGrad	GPU-0	(100x32x28x28)(100x32x14x14)(100x32x14x14)->(100x32x28x28)
12	   158.05	     1.00	   158.05	     1.68	  7902.36	    83.98	     0.00	     0.00	BiasAdd	GPU-0	(100x32x28x28)(32x1)->(100x32x28x28)
13	   152.27	     1.00	   152.27	     1.62	  8054.63	    85.60	     0.00	     0.00	ReluGrad	GPU-0	(100x64x14x14)(100x64x14x14)->(100x64x14x14)
14	   132.72	     1.00	   132.72	     1.41	  8187.35	    87.01	     0.00	     0.00	Relu	GPU-0	(100x32x28x28)->(100x32x28x28)
15	   121.40	     1.00	   121.40	     1.29	  8308.75	    88.30	     0.00	     0.00	MaxPoolGrad	GPU-0	(100x64x14x14)(100x64x7x7)(100x64x7x7)->(100x64x14x14)
16	   114.88	     1.00	   114.88	     1.22	  8423.63	    89.52	     0.00	     0.00	Conv2D	GPU-0	(100x1x28x28)(5x5x1x32)->(100x32x28x28)
17	   105.01	     1.00	   105.01	     1.12	  8528.64	    90.64	     0.00	     0.00	MaxPool	GPU-0	(100x32x28x28)->(100x32x14x14)
18	    90.48	     1.00	    90.48	     0.96	  8619.12	    91.60	     0.00	     0.00	MaxPool	GPU-0	(100x64x14x14)->(100x64x7x7)
19	    80.25	     1.00	    80.25	     0.85	  8699.37	    92.45	     0.00	     0.00	BiasAdd	GPU-0	(100x64x14x14)(64x1)->(100x64x14x14)
20	    74.49	     1.00	    74.49	     0.79	  8773.86	    93.24	     0.00	     0.00	BiasAddGrad	GPU-0	(100x32x28x28)->(32x1)
21	    68.14	     1.00	    68.14	     0.72	  8842.00	    93.97	     1.00	     0.00	Snapshot	GPU-0	(int64 1x1)(int32 1x1)->(int64 1x1)
22	    66.89	     1.00	    66.89	     0.71	  8908.89	    94.68	     0.00	     0.00	Relu	GPU-0	(100x64x14x14)->(100x64x14x14)
23	    43.35	     1.00	    43.35	     0.46	  8952.24	    95.14	     0.00	     0.00	BiasAddGrad	GPU-0	(100x64x14x14)->(64x1)
24	    14.41	     2.00	    28.82	     0.31	  8981.06	    95.44	     0.00	     0.00	Assign	GPU-0	(1x1)(1x1)->(1x1)
25	    24.93	     1.00	    24.93	     0.26	  9005.99	    95.71	     0.00	     0.00	MEMCPYHtoD	GPU-0	(Transfer)->(313600 bytes)
26	    23.77	     1.00	    23.77	     0.25	  9029.76	    95.96	     0.00	     0.00	SparseSoftmaxCrossEntropyWithLogits	GPU-0	(100x10)(100x784)(int32 100x1)->(100x1)(100x10)
27	     0.96	    24.00	    23.01	     0.24	  9052.77	    96.21	     0.00	     0.00	VarHandleOp	GPU-0	(no input)->(tf_resource 1x1)
28	    17.15	     1.00	    17.15	     0.18	  9069.92	    96.39	     0.00	     0.00	ResourceApplyAdam	GPU-0	(tf_resource 1x1)(tf_resource 1x1)(tf_resource 1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(5x5x32x64)->(no output info)
29	    16.00	     1.00	    16.00	     0.17	  9085.92	    96.56	     0.00	     0.00	MatMul	GPU-0	(100x1024)(1024x10)->(100x10)
30	    14.19	     1.00	    14.19	     0.15	  9100.11	    96.71	     0.00	     0.00	MatMul	GPU-0	(100x10)(1024x10)->(100x1024)
