Op	System_1 time per call	System_2 time per call	Time ratio Sys1/Sys2 (one call)	System_1 total op time	System_2 total op time	Time ratio Sys1/Sys2 (all calls)	System_1 occurence	System_2 occurence	Occurence Ratio	System1 cumulative time	System1 % of total time 	System1 cumulative % of total time 	System2 cumulative time	System2 % of total time 	System2 cumulative % of total time 
IteratorGetNext@CPU-0@(tf_resource 1x1)->(100x784)(int32 100x1)	3547.45	3459.18	1.025517608219289	3547.45	3459.18	1.025517608219289	1.00	1.00	1.0	3547.45	0.37340792825414176	0.37340792825414176	3459.18	0.36761891199391233	0.36761891199391233
ResourceApplyAdam@GPU-0@(tf_resource 1x1)(tf_resource 1x1)(tf_resource 1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(3136x1024)->(no output info)	829.36	830.02	0.9992048384376281	829.36	830.02	0.9992048384376281	1.00	1.00	1.0	4376.8099999999995	0.08729921475337356	0.4607071430075153	4289.2	0.08820906958677696	0.45582798158068927
Conv2DBackpropFilter@GPU-0@(100x32x14x14)(int32 4x1)(100x64x14x14)->(5x5x32x64)	755.00	759.09	0.9946119695951732	755.00	759.09	0.9946119695951732	1.00	1.00	1.0	5131.8099999999995	0.07947201111555541	0.5401791541230707	5048.29	0.0806710954345998	0.5364990770152891
Conv2DBackpropInput@GPU-0@(int32 4x1)(int32 4x1)(5x5x32x64)(100x64x14x14)->(100x32x14x14)	754.40	746.86	1.0100956002463648	754.40	746.86	1.0100956002463648	1.00	1.00	1.0	5886.209999999999	0.07940885455043047	0.6195880086735012	5795.15	0.0793713714266888	0.6158704484419779
Conv2D@GPU-0@(100x32x14x14)(5x5x32x64)->(100x64x14x14)	599.16	590.97	1.0138585715010913	599.16	590.97	1.0138585715010913	1.00	1.00	1.0	6485.369999999999	0.06306814593376978	0.6826561546072709	6386.12	0.06280440694645621	0.6786748553884341
Conv2DBackpropFilter@GPU-0@(100x1x28x28)(int32 4x1)(100x32x28x28)->(5x5x1x32)	258.85	259.86	0.996113291772493	258.85	259.86	0.996113291772493	1.00	1.00	1.0	6744.219999999999	0.027246794804319893	0.7099029494115908	6645.98	0.027616212648875767	0.7062910680373099
ReluGrad@GPU-0@(100x32x28x28)(100x32x28x28)->(100x32x28x28)	255.69	256.21	0.9979704148940323	255.69	256.21	0.9979704148940323	1.00	1.00	1.0	6999.909999999999	0.026914170227995183	0.736817119639586	6902.19	0.027228314641608783	0.7335193826789187
MatMul@GPU-0@(100x1024)(3136x1024)->(100x3136)	248.29	245.38	1.0118591572255278	248.29	245.38	1.0118591572255278	1.00	1.00	1.0	7248.199999999999	0.026135239258120863	0.7629523588977069	7147.57	0.026077373431005677	0.7595967561099244
MatMul@GPU-0@(100x3136)(3136x1024)->(100x1024)	241.99	239.69	1.0095957278150944	241.99	239.69	1.0095957278150944	1.00	1.00	1.0	7490.189999999999	0.025472095324308948	0.7884244542220158	7387.259999999999	0.025472677633375785	0.7850694337433002
MatMul@GPU-0@(100x3136)(100x1024)->(3136x1024)	192.61	191.40	1.0063218390804598	192.61	191.40	1.0063218390804598	1.00	1.00	1.0	7682.799999999998	0.020274310014526	0.8086987642365417	7578.659999999999	0.020340733860520363	0.8054101676038206
MaxPoolGrad@GPU-0@(100x32x28x28)(100x32x14x14)(100x32x14x14)->(100x32x28x28)	165.93	165.65	1.0016903108964685	165.93	165.65	1.0016903108964685	1.00	1.00	1.0	7848.729999999999	0.017465948085303457	0.8261647123218452	7744.309999999999	0.017604193124321828	0.8230143607281424
BiasAdd@GPU-0@(100x32x28x28)(32x1)->(100x32x28x28)	158.70	158.05	1.0041126225877886	158.70	158.05	1.0041126225877886	1.00	1.00	1.0	8007.4299999999985	0.01670491147554787	0.842869623797393	7902.359999999999	0.01679651508179333	0.8398108758099357
ReluGrad@GPU-0@(100x64x14x14)(100x64x14x14)->(100x64x14x14)	144.40	152.27	0.948315492217771	144.40	152.27	0.948315492217771	1.00	1.00	1.0	8151.829999999998	0.015199680006736691	0.8580693038041297	8054.629999999999	0.016182254675765076	0.8559931304857008
Relu@GPU-0@(100x32x28x28)->(100x32x28x28)	132.82	132.72	1.0007534659433392	132.82	132.72	1.0007534659433392	1.00	1.00	1.0	8284.649999999998	0.013980758299825258	0.872050062103955	8187.349999999999	0.01410460918478716	0.870097739670488
MaxPoolGrad@GPU-0@(100x64x14x14)(100x64x7x7)(100x64x7x7)->(100x64x14x14)	122.62	121.40	1.0100494233937396	122.62	121.40	1.0100494233937396	1.00	1.00	1.0	8407.269999999999	0.012907096692701198	0.8849571587966562	8308.75	0.01290159399512629	0.8829993336656142
Conv2D@GPU-0@(100x1x28x28)(5x5x1x32)->(100x32x28x28)	120.61	114.88	1.0498781337047354	120.61	114.88	1.0498781337047354	1.00	1.00	1.0	8527.88	0.012695522199532632	0.8976526809961888	8423.63	0.012208691253378156	0.8952080249189924
MaxPool@GPU-0@(100x32x28x28)->(100x32x14x14)	105.47	105.01	1.004380535187125	105.47	105.01	1.004380535187125	1.00	1.00	1.0	8633.349999999999	0.011101871539546528	0.9087545525357353	8528.64	0.011159772532357592	0.90636779745135
BiasAdd@GPU-0@(100x64x14x14)(64x1)->(100x64x14x14)	80.43	80.25	1.0022429906542056	80.43	80.25	1.0022429906542056	1.00	1.00	1.0	8713.779999999999	0.008466137554998837	0.9172206900907341	8608.89	0.00852844248854106	0.914896239939891
BiasAddGrad@GPU-0@(100x32x28x28)->(32x1)	74.75	74.49	1.0034904013961605	74.75	74.49	1.0034904013961605	1.00	1.00	1.0	8788.529999999999	0.00786825540514936	0.9250889454958835	8683.38	0.007916307551045776	0.9228125474909368
MaxPool@GPU-0@(100x64x14x14)->(100x64x7x7)	69.26	90.48	0.765473032714412	69.26	90.48	0.765473032714412	1.00	1.00	1.0	8857.789999999999	0.007290372834256117	0.9323793183301397	8773.859999999999	0.00961561964315508	0.9324281671340918
Relu@GPU-0@(100x64x14x14)->(100x64x14x14)	67.03	66.89	1.0020929884885634	67.03	66.89	1.0020929884885634	1.00	1.00	1.0	8924.82	0.007055640933875072	0.9394349592640148	8840.749999999998	0.007108629508517278	0.9395367966426091
Snapshot@GPU-0@(int64 1x1)(int32 1x1)->(int64 1x1)	66.90	68.14	0.981802171998826	66.90	68.14	0.981802171998826	1.00	1.00	1.0	8991.72	0.007041957011431334	0.9464769162754461	8908.889999999998	0.007241471291827887	0.946778267934437
BiasAddGrad@GPU-0@(100x64x14x14)->(64x1)	43.54	43.35	1.0043829296424451	43.54	43.35	1.0043829296424451	1.00	1.00	1.0	9035.26	0.004583061409233487	0.9510599776846795	8952.239999999998	0.004606953045211901	0.9513852209796488
Assign@GPU-0@(1x1)(1x1)->(1x1)	14.55	14.41	1.0097154753643303	29.10	28.82	1.0097154753643303	2.00	2.00	1.0	9064.36	0.003063093408559818	0.9541230710932393	8981.059999999998	0.0030628001560093878	0.9544480211356582
MEMCPYHtoD@GPU-0@(Transfer)->(313600 bytes)	25.42	24.93	1.0196550340954673	25.42	24.93	1.0196550340954673	1.00	1.00	1.0	9089.78	0.002675733142460157	0.9567988042356995	9005.989999999998	0.0026493965263467744	0.957097417662005
VarHandleOp@GPU-0@(no input)->(tf_resource 1x1)	1.03	0.96	1.0729166666666667	24.67	23.01	1.072142546718818	24.00	24.00	1.0	9114.45	0.0025967874360539765	0.9593955916717535	9028.999999999998	0.00244535154718168	0.9595427692091867
SparseSoftmaxCrossEntropyWithLogits@GPU-0@(100x10)(100x784)(int32 100x1)->(100x1)(100x10)	24.13	23.77	1.0151451409339503	24.13	23.77	1.0151451409339503	1.00	1.00	1.0	9138.58	0.0025399465274415257	0.961935538199195	9052.769999999999	0.0025261193514345298	0.9620688885606212
ResourceApplyAdam@GPU-0@(tf_resource 1x1)(tf_resource 1x1)(tf_resource 1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(5x5x32x64)->(no output info)	17.30	17.15	1.0087463556851313	17.30	17.15	1.0087463556851313	1.00	1.00	1.0	9155.88	0.0018210142944359055	0.9637565524936309	9069.919999999998	0.0018225892670215473	0.9638914778276427
MatMul@GPU-0@(100x1024)(1024x10)->(100x10)	16.26	16.00	1.01625	16.26	16.00	1.01625	1.00	1.00	1.0	9172.14	0.0017115429148860015	0.9654680954085169	9085.919999999998	0.0017003748263757878	0.9655918526540185
MatMul@GPU-0@(100x10)(1024x10)->(100x1024)	14.38	14.19	1.0133897110641297	14.38	14.19	1.0133897110641297	1.00	1.00	1.0	9186.519999999999	0.0015136523441611747	0.966981747752678	9100.109999999999	0.0015080199241420268	0.9670998725781605
Const@GPU-0@(no input)->(1x1)	1.46	1.39	1.050359712230216	13.16	12.49	1.0536429143314652	9.01	9.01	1.0	9199.679999999998	0.001385233995073787	0.9683669817477518	9112.599999999999	0.0013273550988395994	0.9684272276770002
StridedSlice@GPU-0@(int32 2x1)(int32 1x1)(int32 1x1)(int32 1x1)->(int32 1x1)	12.30	12.21	1.0073710073710074	12.30	12.21	1.0073710073710074	1.00	1.00	1.0	9211.979999999998	0.0012947095850613663	0.9696616913328132	9124.809999999998	0.0012975985393780232	0.9697248262163782
MatMul@GPU-0@(100x1024)(100x10)->(1024x10)	11.12	10.58	1.051039697542533	11.12	10.58	1.051039697542533	1.00	1.00	1.0	9223.099999999999	0.001170501673648975	0.9708321930064622	9135.389999999998	0.0011243728539409898	0.9708491990703192
ResourceApplyAdam@GPU-0@(tf_resource 1x1)(tf_resource 1x1)(tf_resource 1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1024x10)->(no output info)	10.02	9.77	1.0255885363357216	10.02	9.77	1.0255885363357216	1.00	1.00	1.0	9233.119999999999	0.0010547146375865764	0.9718869076440487	9145.159999999998	0.0010382913783557155	0.971887490448675
ResourceApplyAdam@GPU-0@(tf_resource 1x1)(tf_resource 1x1)(tf_resource 1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(10x1)->(no output info)	9.90	9.98	0.9919839679358717	9.90	9.98	0.9919839679358717	1.00	1.00	1.0	9243.019999999999	0.0010420833245615875	0.9729289909686103	9155.139999999998	0.0010606087979518977	0.9729480992466268
Iterator@CPU-0@(no input)->(tf_resource 1x1)	9.18	9.54	0.9622641509433962	9.18	9.54	0.9622641509433962	1.00	1.00	1.0	9252.199999999999	0.0009662954464116538	0.973895286415022	9164.679999999998	0.0010138484902265635	0.9739619477368534
ResourceApplyAdam@GPU-0@(tf_resource 1x1)(tf_resource 1x1)(tf_resource 1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(5x5x1x32)->(no output info)	8.76	8.72	1.0045871559633026	8.76	8.72	1.0045871559633026	1.00	1.00	1.0	9260.96	0.0009220858508241926	0.9748173722658462	9173.399999999998	0.0009267042803748044	0.9748886520172282
ResourceApplyAdam@GPU-0@(tf_resource 1x1)(tf_resource 1x1)(tf_resource 1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1024x1)->(no output info)	8.62	8.19	1.0525030525030525	8.62	8.19	1.0525030525030525	1.00	1.00	1.0	9269.58	0.0009073493189617054	0.9757247215848079	9181.589999999998	0.0008703793642511063	0.9757590313814793
