Op rank by total time	Time of 1 call, microseconds	Number of calls in 1 run	Total time in 1 run	% of total time	Cumulative time, microseconds	% of total cumulative time	(FL)OP estimation	GFLOP/S achieved	Op name	Device	Input/output tensors
1	   5647.5	      1.0	   5647.5	     46.6	   5647.5	     46.6	        0	    0.000	IteratorGetNext	CPU-0	(tf_resource 1x1)->(100x784)(int32 100x1)
2	    827.3	      1.0	    827.3	      6.8	   6474.8	     53.4	        0	    0.000	ResourceApplyAdam	GPU-0	(tf_resource 1x1)(tf_resource 1x1)(tf_resource 1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(3136x1024)->(no output info)
3	    739.9	      1.0	    739.9	      6.1	   7214.7	     59.5	        0	    0.000	Conv2DBackpropInput	GPU-0	(int32 4x1)(int32 4x1)(5x5x32x64)(100x64x14x14)->(100x32x14x14)
4	    737.9	      1.0	    737.9	      6.1	   7952.6	     65.6	        0	    0.000	Conv2DBackpropFilter	GPU-0	(100x32x14x14)(int32 4x1)(100x64x14x14)->(5x5x32x64)
5	    584.9	      1.0	    584.9	      4.8	   8537.5	     70.5	        0	    0.000	Conv2D	GPU-0	(100x32x14x14)(5x5x32x64)->(100x64x14x14)
6	    275.3	      1.0	    275.3	      2.3	   8812.8	     72.7	        0	    0.000	ReluGrad	GPU-0	(100x32x28x28)(100x32x28x28)->(100x32x28x28)
7	    255.5	      1.0	    255.5	      2.1	   9068.3	     74.8	        0	    0.000	Conv2DBackpropFilter	GPU-0	(100x1x28x28)(int32 4x1)(100x32x28x28)->(5x5x1x32)
8	    242.2	      1.0	    242.2	      2.0	   9310.4	     76.8	        0	    0.000	MatMul	GPU-0	(100x1024)(3136x1024)->(100x3136)
9	    240.5	      1.0	    240.5	      2.0	   9550.9	     78.8	        0	    0.000	MatMul	GPU-0	(100x3136)(3136x1024)->(100x1024)
10	    189.4	      1.0	    189.4	      1.6	   9740.3	     80.4	        0	    0.000	MatMul	GPU-0	(100x3136)(100x1024)->(3136x1024)
11	    166.3	      1.0	    166.3	      1.4	   9906.6	     81.8	        0	    0.000	MaxPoolGrad	GPU-0	(100x32x28x28)(100x32x14x14)(100x32x14x14)->(100x32x28x28)
12	    157.1	      1.0	    157.1	      1.3	  10063.7	     83.1	        0	    0.000	BiasAdd	GPU-0	(100x32x28x28)(32x1)->(100x32x28x28)
13	    156.2	      1.0	    156.2	      1.3	  10219.9	     84.3	        0	    0.000	ReluGrad	GPU-0	(100x64x14x14)(100x64x14x14)->(100x64x14x14)
14	    132.8	      1.0	    132.8	      1.1	  10352.6	     85.4	        0	    0.000	Relu	GPU-0	(100x32x28x28)->(100x32x28x28)
15	    120.8	      1.0	    120.8	      1.0	  10473.5	     86.4	        0	    0.000	MaxPoolGrad	GPU-0	(100x64x14x14)(100x64x7x7)(100x64x7x7)->(100x64x14x14)
16	    114.6	      1.0	    114.6	      0.9	  10588.0	     87.4	        0	    0.000	Conv2D	GPU-0	(100x1x28x28)(5x5x1x32)->(100x32x28x28)
17	    104.2	      1.0	    104.2	      0.9	  10692.3	     88.2	        0	    0.000	MaxPool	GPU-0	(100x32x28x28)->(100x32x14x14)
18	    100.3	      1.0	    100.3	      0.8	  10792.6	     89.1	        1	    0.000	Snapshot	GPU-0	(int64 1x1)(int32 1x1)->(int64 1x1)
19	     97.9	      1.0	     97.9	      0.8	  10890.5	     89.9	        0	    0.000	NoOp	GPU-0	(no input)->(no output info)
20	      3.8	     24.0	     90.7	      0.7	  10981.2	     90.6	        0	    0.000	VarHandleOp	GPU-0	(no input)->(tf_resource 1x1)
21	     79.8	      1.0	     79.8	      0.7	  11061.0	     91.3	        0	    0.000	BiasAdd	GPU-0	(100x64x14x14)(64x1)->(100x64x14x14)
22	     74.9	      1.0	     74.9	      0.6	  11135.9	     91.9	        0	    0.000	MaxPool	GPU-0	(100x64x14x14)->(100x64x7x7)
23	     74.2	      1.0	     74.2	      0.6	  11210.1	     92.5	        0	    0.000	BiasAddGrad	GPU-0	(100x32x28x28)->(32x1)
24	     67.0	      1.0	     67.0	      0.6	  11277.1	     93.1	        0	    0.000	Relu	GPU-0	(100x64x14x14)->(100x64x14x14)
25	     29.8	      2.0	     59.6	      0.5	  11336.7	     93.6	        0	    0.000	Assign	GPU-0	(1x1)(1x1)->(1x1)
26	     43.3	      1.0	     43.3	      0.4	  11379.9	     93.9	        0	    0.000	BiasAddGrad	GPU-0	(100x64x14x14)->(64x1)
27	      4.6	      9.0	     41.3	      0.3	  11421.2	     94.3	        0	    0.000	Const	GPU-0	(no input)->(1x1)
28	     31.8	      1.0	     31.8	      0.3	  11453.0	     94.5	        0	    0.000	StridedSlice	GPU-0	(int32 2x1)(int32 1x1)(int32 1x1)(int32 1x1)->(int32 1x1)
29	      5.2	      6.0	     31.0	      0.3	  11484.0	     94.8	        0	    0.000	Const	GPU-0	(no input)->(int32 1x1)
30	     24.9	      1.0	     24.9	      0.2	  11508.9	     95.0	        0	    0.000	MEMCPYHtoD	GPU-0	(Transfer)->(313600 bytes)
31	     24.1	      1.0	     24.1	      0.2	  11533.0	     95.2	        0	    0.000	SparseSoftmaxCrossEntropyWithLogits	GPU-0	(100x10)(100x784)(int32 100x1)->(100x1)(100x10)
32	     22.2	      1.0	     22.2	      0.2	  11555.2	     95.4	        0	    0.000	Iterator	CPU-0	(no input)->(tf_resource 1x1)
