dense_1/bias	VarHandleOp	GPU-0	18	38	126	(no input)->(tf_resource 1x1)	0	51	0	dense_1/bias@GPU-0@(no input)->(tf_resource 1x1)
gradients/sequential/dropout/dropout/div_grad/Reshape	Reshape	GPU-0	18	70	231	(100x1024)(int32 2x1)->(100x1024)	0	51	0	gradients/sequential/dropout/dropout/div_grad/Reshape@GPU-0@(100x1024)(int32 2x1)->(100x1024)
_retval_global_step/add_0_0	_Retval	CPU-0	31	57	156	(int64 1x1)->(no output info)	0	51	0	_retval_global_step/add_0_0@CPU-0@(int64 1x1)->(no output info)
Adam/beta1	Const	GPU-0	9	91	177	(no input)->(1x1)	0	51	0	Adam/beta1@GPU-0@(no input)->(1x1)
sequential/dropout/dropout/keep_prob	Const	GPU-0	15	96	201	(no input)->(1x1)	0	51	0	sequential/dropout/dropout/keep_prob@GPU-0@(no input)->(1x1)
sequential/max_pooling2d/MaxPool	MaxPool	GPU-0	0	5329	5329	(100x32x28x28)->(100x32x14x14)	51	51	0	sequential/max_pooling2d/MaxPool@GPU-0@(100x32x28x28)->(100x32x14x14)
dense_1/kernel	VarHandleOp	GPU-0	16	80	163	(no input)->(tf_resource 1x1)	0	51	0	dense_1/kernel@GPU-0@(no input)->(tf_resource 1x1)
Adam/beta2	Const	GPU-0	16	99	205	(no input)->(1x1)	0	51	0	Adam/beta2@GPU-0@(no input)->(1x1)
Adam/value	Const	GPU-0	46	162	294	(no input)->(int64 1x1)	0	51	0	Adam/value@GPU-0@(no input)->(int64 1x1)
Adam/Assign/MEMCPYDtoD	MEMCPYDtoD	GPU-0	0	51	51	(Transfer)->(4 bytes)	0	0	51	Adam/Assign/MEMCPYDtoD@GPU-0@(Transfer)->(4 bytes)
Adam/learning_rate	Const	GPU-0	13	117	226	(no input)->(1x1)	0	51	0	Adam/learning_rate@GPU-0@(no input)->(1x1)
gradients/sequential/dropout/dropout/div_grad/Shape	Shape	GPU-0	19	173	306	(100x1024)->(int32 2x1)	0	51	0	gradients/sequential/dropout/dropout/div_grad/Shape@GPU-0@(100x1024)->(int32 2x1)
gradients/sequential/conv2d/Relu_grad/ReluGrad	ReluGrad	GPU-0	0	15250	15250	(100x32x28x28)(100x32x28x28)->(100x32x28x28)	51	51	0	gradients/sequential/conv2d/Relu_grad/ReluGrad@GPU-0@(100x32x28x28)(100x32x28x28)->(100x32x28x28)
gradients/sequential/flatten/Reshape_grad/Shape	Shape	GPU-0	25	196	326	(100x64x7x7)->(int32 4x1)	0	51	0	gradients/sequential/flatten/Reshape_grad/Shape@GPU-0@(100x64x7x7)->(int32 4x1)
_SOURCE	NoOp	GPU-0	238	319	4018	(no input)->(no output info)	0	51	0	_SOURCE@GPU-0@(no input)->(no output info)
dense/kernel/Adam	VarHandleOp	GPU-0	16	60	163	(no input)->(tf_resource 1x1)	0	51	0	dense/kernel/Adam@GPU-0@(no input)->(tf_resource 1x1)
global_step/add/MEMCPYDtoD	MEMCPYDtoD	GPU-0	0	51	51	(Transfer)->(8 bytes)	0	0	51	global_step/add/MEMCPYDtoD@GPU-0@(Transfer)->(8 bytes)
sequential/conv2d/Conv2D/ReadVariableOp	ReadVariableOp	GPU-0	18	271	419	(tf_resource 1x1)->(5x5x1x32)	0	51	0	sequential/conv2d/Conv2D/ReadVariableOp@GPU-0@(tf_resource 1x1)->(5x5x1x32)
sequential/conv2d/BiasAdd/ReadVariableOp	ReadVariableOp	GPU-0	15	141	268	(tf_resource 1x1)->(32x1)	0	51	0	sequential/conv2d/BiasAdd/ReadVariableOp@GPU-0@(tf_resource 1x1)->(32x1)
