Op rank by total time	Time of 1 call, microseconds	Number of calls in 1 run	Total time in 1 run	% of total time	Cumulative time, microseconds	% of total cumulative time	(FL)OPs in RegisterStatistics	GFLOP/S achieved	Op name	Device	Input/output tensors
1	 14095.26	     0.35	  4933.34	     3.69	  4933.34	     3.69	     0.00	     0.00	IteratorGetNext	CPU-0	(tf_resource 1x1)->(int32 128x19)(int32 128x19)(int32 128x19)(int32 128x1)(int32 128x1)
2	   115.91	    42.00	  4868.29	     3.64	  9801.63	     7.33	     0.00	     0.00	Mul	GPU-0	(128x128)(128x128)->(128x128)
3	   979.72	     4.00	  3918.86	     2.93	 13720.49	    10.26	     0.00	     0.00	TensorArrayV3	GPU-0	(int32 1x1)->(tf_resource 1x1)(1x1)
4	    68.06	    57.00	  3879.24	     2.90	 17599.73	    13.16	     0.00	     0.00	Shape	GPU-0	(128x128)->(int32 2x1)
5	  9203.63	     0.35	  3221.27	     2.41	 20821.00	    15.57	     0.00	     0.00	SparseSoftmaxCrossEntropyWithLogits	GPU-0	(2432x17191)(int32 2432x1)->(2432x1)(2432x17191)
6	    60.62	    52.00	  3152.41	     2.36	 23973.41	    17.93	     0.00	     0.00	StackPushV2	GPU-0	(tf_resource 1x1)(int32 2x1)->(int32 2x1)
7	    63.69	    44.00	  2802.57	     2.10	 26775.98	    20.03	     0.00	     0.00	StackPushV2	GPU-0	(tf_resource 1x1)(128x128)->(128x128)
8	    53.80	    52.00	  2797.36	     2.09	 29573.34	    22.12	     0.00	     0.00	StackPopV2	GPU-0	(tf_resource 1x1)->(int32 2x1)
9	 11279.14	     0.22	  2481.41	     1.86	 32054.75	    23.97	     0.00	     0.00	SparseSoftmaxCrossEntropyWithLogits	GPU-0	(3712x17191)(int32 3712x1)->(3712x1)(3712x17191)
10	    51.35	    44.00	  2259.56	     1.69	 34314.31	    25.66	     0.00	     0.00	StackPopV2	GPU-0	(tf_resource 1x1)->(128x128)
11	 10002.59	     0.22	  2200.57	     1.65	 36514.88	    27.31	     0.00	     0.00	IteratorGetNext	CPU-0	(tf_resource 1x1)->(int32 128x29)(int32 128x29)(int32 128x29)(int32 128x1)(int32 128x1)
12	    82.83	    21.00	  1739.50	     1.30	 38254.38	    28.61	     0.00	     0.00	BroadcastGradientArgs	GPU-0	(int32 2x1)(int32 2x1)->(int32 1x1)(int32 1x1)
13	   284.00	     6.00	  1703.97	     1.27	 39958.35	    29.88	     0.00	     0.00	MEMCPYHtoD	GPU-0	(Transfer)->(1024 bytes)
14	   340.70	     5.00	  1703.50	     1.27	 41661.85	    31.16	     0.00	     0.00	TensorArrayGradV3	GPU-0	(tf_resource 1x1)(1x1)->(tf_resource 1x1)(1x1)
15	   559.26	     3.00	  1677.78	     1.25	 43339.63	    32.41	     0.00	     0.00	MatMul	GPU-0	(128x256)(128x512)->(256x512)
16	   119.52	    14.00	  1673.31	     1.25	 45012.94	    33.66	     0.00	     0.00	Select	GPU-0	(boolean 128x1)(128x128)(128x128)->(128x128)
17	   331.21	     5.00	  1656.07	     1.24	 46669.01	    34.90	     0.00	     0.00	ConcatV2	GPU-0	(128x128)(128x128)(int32 1x1)->(128x256)
18	 13989.82	     0.11	  1538.88	     1.15	 48207.89	    36.05	     0.00	     0.00	IteratorGetNext	CPU-0	(tf_resource 1x1)->(int32 128x9)(int32 128x9)(int32 128x9)(int32 128x1)(int32 128x1)
19	   367.92	     4.00	  1471.66	     1.10	 49679.55	    37.15	     0.00	     0.00	ConcatV2	GPU-0	(128x128)(128x128)(128x128)(128x128)(int32 1x1)->(128x512)
20	   476.79	     3.00	  1430.37	     1.07	 51109.92	    38.22	     0.00	     0.00	MatMul	GPU-0	(128x512)(256x512)->(128x256)
21	    69.67	    19.00	  1323.76	     0.99	 52433.68	    39.21	     0.00	     0.00	Merge	GPU-0	(128x128)(128x128)->(128x128)(int32 1x1)
22	 13030.60	     0.10	  1303.06	     0.97	 53736.74	    40.19	     0.00	     0.00	IteratorGetNext	CPU-0	(tf_resource 1x1)->(int32 128x39)(int32 128x39)(int32 128x39)(int32 128x1)(int32 128x1)
23	    29.68	    42.00	  1246.73	     0.93	 54983.47	    41.12	     0.00	     0.00	Reshape	GPU-0	(128x128)(int32 2x1)->(128x128)
24	   152.79	     8.00	  1222.29	     0.91	 56205.76	    42.03	     0.00	     0.00	BroadcastGradientArgs	GPU-0	(int32 2x1)(int32 1x1)->(int32 1x1)(int32 2x1)
25	   101.64	    12.00	  1219.71	     0.91	 57425.47	    42.95	     0.00	     0.00	AddN	GPU-0	(128x128)(128x128)->(128x128)
26	  3310.69	     0.35	  1158.74	     0.87	 58584.21	    43.81	     0.00	     0.00	MatMul	GPU-0	(2432x17191)(128x17191)->(2432x128)
27	 11268.40	     0.10	  1126.84	     0.84	 59711.05	    44.66	     0.00	     0.00	SparseSoftmaxCrossEntropyWithLogits	GPU-0	(4992x17191)(int32 4992x1)->(4992x1)(4992x17191)
28	 22276.40	     0.05	  1113.82	     0.83	 60824.87	    45.49	     0.00	     0.00	SparseSoftmaxCrossEntropyWithLogits	GPU-0	(6272x17191)(int32 6272x1)->(6272x1)(6272x17191)
29	    92.44	    12.00	  1109.25	     0.83	 61934.12	    46.32	     0.00	     0.00	SigmoidGrad	GPU-0	(128x128)(128x128)->(128x128)
30	  2998.77	     0.35	  1049.57	     0.78	 62983.69	    47.10	     0.00	     0.00	MatMul	GPU-0	(2432x128)(128x17191)->(2432x17191)
31	   130.77	     8.00	  1046.14	     0.78	 64029.83	    47.89	     0.00	     0.00	Sigmoid	GPU-0	(128x128)->(128x128)
32	  1518.53	     0.68	  1032.60	     0.77	 65062.43	    48.66	     0.00	     0.00	Less	GPU-0	(int32 29x1)(int32 128x1)->(boolean 128x29)
33	   128.38	     8.00	  1027.00	     0.77	 66089.43	    49.43	     0.00	     0.00	Tanh	GPU-0	(128x128)->(128x128)
34	   342.10	     3.00	  1026.30	     0.77	 67115.73	    50.19	     0.00	     0.00	MatMul	GPU-0	(128x256)(256x512)->(128x512)
35	 11263.33	     0.09	  1013.70	     0.76	 68129.43	    50.95	     0.00	     0.00	IteratorGetNext	CPU-0	(tf_resource 1x1)->(int32 128x50)(int32 128x51)(int32 128x51)(int32 128x1)(int32 128x1)
36	  1397.92	     0.72	  1006.50	     0.75	 69135.93	    51.70	     0.00	     0.00	BatchMatMul	GPU-0	(128x1x128)(128x19x128)->(128x1x19)
37	   249.03	     4.00	   996.10	     0.74	 70132.03	    52.45	     0.00	     0.00	Split	GPU-0	(int32 1x1)(128x512)->(128x128)(128x128)(128x128)(128x128)
38	    10.65	    92.00	   980.23	     0.73	 71112.26	    53.18	     0.00	     0.00	Const	GPU-0	(no input)->(int32 1x1)
39	  1995.43	     0.46	   917.90	     0.69	 72030.16	    53.87	     0.00	     0.00	BatchMatMul	GPU-0	(128x1x128)(128x29x128)->(128x1x29)
40	   857.58	     1.07	   917.61	     0.69	 72947.77	    54.56	     0.00	     0.00	Less	GPU-0	(int32 19x1)(int32 128x1)->(boolean 128x19)
41	  2412.47	     0.38	   916.74	     0.69	 73864.51	    55.24	     0.00	     0.00	Less	GPU-0	(int32 39x1)(int32 128x1)->(boolean 128x39)
42	  4043.68	     0.22	   889.61	     0.67	 74754.12	    55.91	     0.00	     0.00	MatMul	GPU-0	(3712x17191)(128x17191)->(3712x128)
43	  9738.78	     0.09	   876.49	     0.66	 75630.61	    56.56	     0.00	     0.00	SparseSoftmaxCrossEntropyWithLogits	GPU-0	(6528x17191)(int32 6528x1)->(6528x1)(6528x17191)
44	   288.89	     3.00	   866.67	     0.65	 76497.28	    57.21	393216.00	     0.45	Add	GPU-0	(256x512)(256x512)->(256x512)
45	   142.26	     6.00	   853.56	     0.64	 77350.84	    57.85	     0.00	     0.00	ConcatOffset	GPU-0	(int32 1x1)(int32 2x1)(int32 2x1)(int32 2x1)->(int32 2x1)(int32 2x1)
46	  2431.06	     0.35	   850.87	     0.64	 78201.71	    58.48	     0.00	     0.00	MatMul	GPU-0	(2432x128)(2432x17191)->(128x17191)
47	 16990.00	     0.05	   849.50	     0.64	 79051.21	    59.12	     0.00	     0.00	IteratorGetNext	CPU-0	(tf_resource 1x1)->(int32 128x49)(int32 128x49)(int32 128x49)(int32 128x1)(int32 128x1)
48	  3708.32	     0.22	   815.83	     0.61	 79867.04	    59.73	     0.00	     0.00	MatMul	GPU-0	(3712x128)(128x17191)->(3712x17191)
49	    33.76	    24.00	   810.20	     0.61	 80677.24	    60.34	     0.00	     0.00	Const	GPU-0	(no input)->(1x1)
50	   153.63	     5.00	   768.17	     0.57	 81445.41	    60.91	     0.00	     0.00	ShapeN	GPU-0	(128x128)(128x128)->(int32 2x1)(int32 2x1)
51	    78.22	     9.00	   704.02	     0.53	 82149.43	    61.44	     0.00	     0.00	Merge	GPU-0	(1x1)(1x1)->(1x1)(int32 1x1)
52	    87.10	     8.00	   696.81	     0.52	 82846.24	    61.96	     0.00	     0.00	TanhGrad	GPU-0	(128x128)(128x128)->(128x128)
53	  3829.00	     0.18	   689.22	     0.52	 83535.46	    62.47	     0.00	     0.00	Less	GPU-0	(int32 50x1)(int32 128x1)->(boolean 128x50)
54	  1920.00	     0.35	   672.00	     0.50	 84207.46	    62.98	     0.00	     0.00	Mul	GPU-0	(2432x1)(2432x17191)->(2432x17191)
55	  3001.59	     0.22	   660.35	     0.49	 84867.81	    63.47	     0.00	     0.00	MatMul	GPU-0	(3712x128)(3712x17191)->(128x17191)
56	  2245.29	     0.28	   628.68	     0.47	 85496.49	    63.94	     0.00	     0.00	BatchMatMul	GPU-0	(128x1x128)(128x39x128)->(128x1x39)
57	   104.27	     6.00	   625.65	     0.47	 86122.14	    64.41	     0.00	     0.00	Merge	GPU-0	(int32 1x1)(int32 1x1)->(int32 1x1)(int32 1x1)
58	   603.18	     1.00	   603.18	     0.45	 86725.32	    64.86	     0.00	     0.00	MatMul	GPU-0	(128x384)(128x512)->(384x512)
59	    86.10	     7.00	   602.72	     0.45	 87328.04	    65.31	114688.00	     0.19	Mul	GPU-0	(128x128)(1x1)->(128x128)
60	    31.50	    19.00	   598.58	     0.45	 87926.62	    65.76	     0.00	     0.00	Sum	GPU-0	(128x128)(int32 1x1)(int32 1x1)->(128x128)
61	    29.51	    20.00	   590.19	     0.44	 88516.81	    66.20	     0.00	     0.00	Switch	GPU-0	(128x128)(int32 1x1)(boolean 1x1)->(128x128)
62	    71.36	     8.00	   570.91	     0.43	 89087.72	    66.63	     0.00	     0.00	StackPushV2	GPU-0	(tf_resource 1x1)(128x256)->(128x256)
63	   138.51	     4.00	   554.03	     0.41	 89641.75	    67.04	     0.00	     0.00	Sigmoid	GPU-0	(128x128)(128x128)(128x128)(128x128)->(128x128)
64	   136.99	     4.00	   547.94	     0.41	 90189.69	    67.45	     0.00	     0.00	BiasAddGrad	GPU-0	(128x512)->(512x1)
65	    45.43	    12.00	   545.21	     0.41	 90734.90	    67.86	     0.00	     0.00	ZerosLike	GPU-0	(128x128)->(128x128)
66	   134.68	     4.00	   538.73	     0.40	 91273.63	    68.26	     0.00	     0.00	BiasAdd	GPU-0	(128x512)(512x1)->(128x512)
67	    89.05	     6.00	   534.31	     0.40	 91807.94	    68.66	     0.00	     0.00	MEMCPYHtoD	GPU-0	(Transfer)->(128 bytes)
68	  2768.74	     0.19	   526.06	     0.39	 92334.00	    69.05	     0.00	     0.00	Less	GPU-0	(int32 49x1)(int32 128x1)->(boolean 128x49)
69	   172.33	     3.00	   516.99	     0.39	 92850.99	    69.44	     0.00	     0.00	RandomUniform	GPU-0	(int32 2x1)->(128x128)
70	    86.00	     6.00	   516.03	     0.39	 93367.02	    69.83	     6.00	     0.00	Add	GPU-0	(int32 1x1)(int32 1x1)->(int32 1x1)
71	  2325.77	     0.22	   511.67	     0.38	 93878.69	    70.21	     0.00	     0.00	Mul	GPU-0	(3712x1)(3712x17191)->(3712x17191)
72	  4630.00	     0.11	   509.30	     0.38	 94387.99	    70.59	     0.00	     0.00	SparseSoftmaxCrossEntropyWithLogits	GPU-0	(1152x17191)(int32 1152x1)->(1152x1)(1152x17191)
73	   168.29	     3.00	   504.86	     0.38	 94892.85	    70.97	     0.00	     0.00	Add	GPU-0	(1x1)(128x128)->(128x128)
74	   164.68	     3.00	   494.04	     0.37	 95386.89	    71.34	     0.00	     0.00	TensorArrayReadV3	GPU-0	(tf_resource 1x1)(int32 1x1)(1x1)->(128x128)
75	    96.61	     5.00	   483.04	     0.36	 95869.93	    71.70	     0.00	     0.00	Slice	GPU-0	(128x256)(int32 2x1)(int32 2x1)(int32 2x1)(int32 2x1)->(128x128)
76	   482.01	     1.00	   482.01	     0.36	 96351.94	    72.06	     0.00	     0.00	MatMul	GPU-0	(128x512)(384x512)->(128x384)
