Op	System_1 time per call	System_2 time per call	Time ratio Sys1/Sys2 (one call)	System_1 total op time	System_2 total op time	Time ratio Sys1/Sys2 (all calls)	System_1 occurence	System_2 occurence	Occurence Ratio	System1 cumulative time	System1 % of total time 	System1 cumulative % of total time 	System2 cumulative time	System2 % of total time 	System2 cumulative % of total time 
IteratorGetNext@CPU-0@(tf_resource 1x1)->(int32 128x19)(int32 128x19)(int32 128x19)(int32 128x1)(int32 128x1)	14550.69	14095.26	1.0323108619493362	5092.74	4933.34	1.032310767147612	0.35	0.35	1.0	5092.74	0.03876412768838538	0.03876412768838538	4933.34	0.03689506325276117	0.03689506325276117
Mul@GPU-0@(128x128)(128x128)->(128x128)	108.08	115.91	0.9324475886463636	4539.54	4868.29	0.9324711551694743	42.00	42.00	1.0	9632.279999999999	0.03455336581222151	0.07331749350060689	9801.630000000001	0.03640857258627719	0.07330363583903836
Shape@GPU-0@(128x128)->(int32 2x1)	65.99	68.06	0.9695856597120187	3761.21	3879.24	0.9695739371629495	57.00	57.00	1.0	13393.489999999998	0.028628994353301362	0.10194648785390825	13680.87	0.029011745627230485	0.10231538146626884
TensorArrayV3@GPU-0@(int32 1x1)->(tf_resource 1x1)(1x1)	814.76	979.72	0.8316253623484261	3259.06	3918.86	0.831634710094262	4.00	4.00	1.0	16652.55	0.024806806941667797	0.12675329479557604	17599.73	0.029308052471290372	0.1316234339375592
SparseSoftmaxCrossEntropyWithLogits@GPU-0@(2432x17191)(int32 2432x1)->(2432x1)(2432x17191)	9195.03	9203.63	0.9990655860785366	3218.26	3221.27	0.9990655859334984	0.35	0.35	1.0	19870.809999999998	0.024496251835833587	0.15124954663140963	20821.0	0.024090972931973466	0.15571440686953267
StackPushV2@GPU-0@(tf_resource 1x1)(int32 2x1)->(int32 2x1)	59.30	60.62	0.9782250082481029	3083.74	3152.41	0.9782166659793617	52.00	52.00	1.0	22954.549999999996	0.023472333383950786	0.17472188001536043	23973.41	0.023575988346361054	0.1792903952158937
StackPushV2@GPU-0@(tf_resource 1x1)(128x128)->(128x128)	65.48	63.69	1.0281048830271629	2881.30	2802.57	1.028092072633333	44.00	44.00	1.0	25835.849999999995	0.02193143202059104	0.19665331203595146	26775.98	0.02095963331541935	0.20025002853131307
IteratorGetNext@CPU-0@(tf_resource 1x1)->(int32 128x29)(int32 128x29)(int32 128x29)(int32 128x1)(int32 128x1)	12810.95	10002.59	1.2807632823098818	2818.41	2200.57	1.2807636203347312	0.22	0.22	1.0	28654.259999999995	0.021452735682210802	0.21810604771816228	28976.55	0.016457444518749705	0.21670747305006277
StackPopV2@GPU-0@(tf_resource 1x1)->(int32 2x1)	53.71	53.80	0.9983271375464685	2792.67	2797.36	0.9983234192238396	52.00	52.00	1.0	31446.929999999993	0.02125681194632422	0.2393628596644865	31773.91	0.02092066918978704	0.23762814223984982
SparseSoftmaxCrossEntropyWithLogits@GPU-0@(3712x17191)(int32 3712x1)->(3712x1)(3712x17191)	10949.05	11279.14	0.9707344708905111	2408.79	2481.41	0.9707343808560456	0.22	0.22	1.0	33855.719999999994	0.018334853759372327	0.25769771342385883	34255.32	0.01855776794342861	0.2561859101832784
StackPopV2@GPU-0@(tf_resource 1x1)->(128x128)	50.66	51.35	0.9865628042843232	2228.85	2259.56	0.9864088583618049	44.00	44.00	1.0	36084.56999999999	0.01696521440290644	0.27466292782676527	36514.88	0.01689861414850974	0.27308452433178815
ConcatV2@GPU-0@(128x128)(128x128)(128x128)(128x128)(int32 1x1)->(128x512)	451.70	367.92	1.2277125462056968	1806.80	1471.66	1.2277292309364933	4.00	4.00	1.0	37891.369999999995	0.013752719735815043	0.2884156475625803	37986.54	0.011006131502503073	0.2840906558342912
TensorArrayGradV3@GPU-0@(tf_resource 1x1)(1x1)->(tf_resource 1x1)(1x1)	356.63	340.70	1.046756677428823	1783.14	1703.50	1.046750807161726	5.00	5.00	1.0	39674.509999999995	0.013572628221010205	0.3019882757835905	39690.04	0.01273999769954608	0.2968306535338373
MatMul@GPU-0@(128x256)(128x512)->(256x512)	584.33	559.26	1.0448270929442478	1752.98	1677.78	1.0448211326872414	3.00	3.00	1.0	41427.49	0.013343061015324915	0.3153313367989154	41367.82	0.012547645048631888	0.3093782985824692
BroadcastGradientArgs@GPU-0@(int32 2x1)(int32 2x1)->(int32 1x1)(int32 1x1)	80.65	82.83	0.9736810334419898	1693.73	1739.50	0.9736878413337166	21.00	21.00	1.0	43121.22	0.012892071063837732	0.3282234078627531	43107.32	0.013009231581074497	0.32238753016354366
Select@GPU-0@(boolean 128x1)(128x128)(128x128)->(128x128)	119.54	119.52	1.0001673360107095	1673.61	1673.31	1.000179285368521	14.00	14.00	1.0	44794.83	0.01273892477145086	0.34096233263420395	44780.63	0.012514215175008775	0.33490174533855244
MEMCPYHtoD@GPU-0@(Transfer)->(1024 bytes)	273.51	284.00	0.9630633802816901	1641.08	1703.97	0.9630920732172514	6.00	6.00	1.0	46435.91	0.012491317967706084	0.35345365060191003	46484.6	0.012743512697443811	0.3476452580359963
IteratorGetNext@CPU-0@(tf_resource 1x1)->(int32 128x9)(int32 128x9)(int32 128x9)(int32 128x1)(int32 128x1)	14874.18	13989.82	1.0632145374279298	1636.16	1538.88	1.063214805572884	0.11	0.11	1.0	48072.07000000001	0.012453868675531958	0.365907519277442	48023.479999999996	0.011508850989068078	0.35915410902506434
MatMul@GPU-0@(128x512)(256x512)->(128x256)	500.64	476.79	1.050022022273957	1501.93	1430.37	1.050029013472039	3.00	3.00	1.0	49574.00000000001	0.011432157600626904	0.37733967687806885	49453.85	0.01069733519782784	0.3698514442228922
AddN@GPU-0@(128x128)(128x128)->(128x128)	114.99	101.64	1.1313459268004722	1379.91	1219.71	1.131342696214674	12.00	12.00	1.0	50953.91000000001	0.010503384708129587	0.3878430615861984	50673.56	0.00912186826775072	0.3789733124906429
Merge@GPU-0@(128x128)(128x128)->(128x128)(int32 1x1)	68.24	69.67	0.9794746662839098	1296.48	1323.76	0.9793920348099353	19.00	19.00	1.0	52250.390000000014	0.009868345186567129	0.39771140677276556	51997.32	0.009900028972557158	0.3888733414632001
SigmoidGrad@GPU-0@(128x128)(128x128)->(128x128)	105.44	92.44	1.1406317611423626	1265.34	1109.25	1.1407167004732928	12.00	12.00	1.0	53515.73000000001	0.009631318569026017	0.40734272534179156	53106.57	0.008295768974594359	0.39716911043779446
IteratorGetNext@CPU-0@(tf_resource 1x1)->(int32 128x39)(int32 128x39)(int32 128x39)(int32 128x1)(int32 128x1)	12509.80	13030.60	0.9600325387933019	1250.98	1303.06	0.960032538793302	0.10	0.10	1.0	54766.710000000014	0.009522015350403977	0.41686474069219553	54409.63	0.009745219490678317	0.40691432992847276
