_SOURCE	NoOp	CPU-0	149	187	3842439	(no input)->(no output info)	0	100	0	_SOURCE@CPU-0@(no input)->(no output info)
IteratorGetNext	IteratorGetNext	CPU-0	36	1043695	1044029	(tf_resource 1x1)->(int32 128x19)(int32 128x19 slot 1 slot )(int32 128x19 slot 2 slot )(int32 128x1 slot 3 slot )(int32 128x1 slot 4 slot )	0	35	0	IteratorGetNext@CPU-0@(tf_resource 1x1)->(int32 128x19)(int32 128x19 slot 1 slot )(int32 128x19 slot 2 slot )(int32 128x1 slot 3 slot )(int32 128x1 slot 4 slot )
IteratorGetNext	IteratorGetNext	CPU-0	21	595124	595328	(tf_resource 1x1)->(int32 128x29)(int32 128x29 slot 1 slot )(int32 128x29 slot 2 slot )(int32 128x1 slot 3 slot )(int32 128x1 slot 4 slot )	0	22	0	IteratorGetNext@CPU-0@(tf_resource 1x1)->(int32 128x29)(int32 128x29 slot 1 slot )(int32 128x29 slot 2 slot )(int32 128x1 slot 3 slot )(int32 128x1 slot 4 slot )
IteratorGetNext	IteratorGetNext	CPU-0	11	374695	374798	(tf_resource 1x1)->(int32 128x9)(int32 128x9 slot 1 slot )(int32 128x9 slot 2 slot )(int32 128x1 slot 3 slot )(int32 128x1 slot 4 slot )	0	11	0	IteratorGetNext@CPU-0@(tf_resource 1x1)->(int32 128x9)(int32 128x9 slot 1 slot )(int32 128x9 slot 2 slot )(int32 128x1 slot 3 slot )(int32 128x1 slot 4 slot )
dynamic_seq2seq/SparseSoftmaxCrossEntropyWithLogits/SparseSoftmaxCrossEntropyWithLogits	SparseSoftmaxCrossEntropyWithLogits	GPU-0	0	312666	312666	(2432x17191)(int32 2432x1)->(2432x1)(2432x17191 slot 1 slot )	35	35	0	dynamic_seq2seq/SparseSoftmaxCrossEntropyWithLogits/SparseSoftmaxCrossEntropyWithLogits@GPU-0@(2432x17191)(int32 2432x1)->(2432x1)(2432x17191 slot 1 slot )
IteratorGetNext	IteratorGetNext	CPU-0	9	294688	294781	(tf_resource 1x1)->(int32 128x39)(int32 128x39 slot 1 slot )(int32 128x39 slot 2 slot )(int32 128x1 slot 3 slot )(int32 128x1 slot 4 slot )	0	10	0	IteratorGetNext@CPU-0@(tf_resource 1x1)->(int32 128x39)(int32 128x39 slot 1 slot )(int32 128x39 slot 2 slot )(int32 128x1 slot 3 slot )(int32 128x1 slot 4 slot )
IteratorGetNext	IteratorGetNext	CPU-0	8	281273	281356	(tf_resource 1x1)->(int32 128x50)(int32 128x51 slot 1 slot )(int32 128x51 slot 2 slot )(int32 128x1 slot 3 slot )(int32 128x1 slot 4 slot )	0	9	0	IteratorGetNext@CPU-0@(tf_resource 1x1)->(int32 128x50)(int32 128x51 slot 1 slot )(int32 128x51 slot 2 slot )(int32 128x1 slot 3 slot )(int32 128x1 slot 4 slot )
_SOURCE	NoOp	GPU-0	485	560	257266	(no input)->(no output info)	0	100	0	_SOURCE@GPU-0@(no input)->(no output info)
dynamic_seq2seq/SparseSoftmaxCrossEntropyWithLogits/SparseSoftmaxCrossEntropyWithLogits	SparseSoftmaxCrossEntropyWithLogits	GPU-0	0	223795	223795	(4992x17191)(int32 4992x1)->(4992x1)(4992x17191 slot 1 slot )	10	10	0	dynamic_seq2seq/SparseSoftmaxCrossEntropyWithLogits/SparseSoftmaxCrossEntropyWithLogits@GPU-0@(4992x17191)(int32 4992x1)->(4992x1)(4992x17191 slot 1 slot )
dynamic_seq2seq/SparseSoftmaxCrossEntropyWithLogits/SparseSoftmaxCrossEntropyWithLogits	SparseSoftmaxCrossEntropyWithLogits	GPU-0	0	214367	214367	(3712x17191)(int32 3712x1)->(3712x1)(3712x17191 slot 1 slot )	22	22	0	dynamic_seq2seq/SparseSoftmaxCrossEntropyWithLogits/SparseSoftmaxCrossEntropyWithLogits@GPU-0@(3712x17191)(int32 3712x1)->(3712x1)(3712x17191 slot 1 slot )
IteratorGetNext	IteratorGetNext	CPU-0	6	180358	180406	(tf_resource 1x1)->(int32 128x49)(int32 128x49 slot 1 slot )(int32 128x49 slot 2 slot )(int32 128x1 slot 3 slot )(int32 128x1 slot 4 slot )	0	5	0	IteratorGetNext@CPU-0@(tf_resource 1x1)->(int32 128x49)(int32 128x49 slot 1 slot )(int32 128x49 slot 2 slot )(int32 128x1 slot 3 slot )(int32 128x1 slot 4 slot )
dynamic_seq2seq/decoder/decoder/while/BasicDecoderStep/decoder/attention/SequenceMask/Less	Less	GPU-0	3	146271	147832	(int32 50x1)(int32 128x1)->(boolean 128x50)	0	9	0	dynamic_seq2seq/decoder/decoder/while/BasicDecoderStep/decoder/attention/SequenceMask/Less@GPU-0@(int32 50x1)(int32 128x1)->(boolean 128x50)
