Op rank by total time	Time of 1 call, microseconds	Number of calls in 1 run	Total time in 1 run	% of total time	Cumulative time, microseconds	% of total cumulative time	(FL)OPs in RegisterStatistics	GFLOP/S achieved	Op name	Device	Input/output tensors
1	  1066.94	     1.00	  1066.94	    12.09	  1066.94	    12.09	     0.00	     0.00	SparseSoftmaxCrossEntropyWithLogits	GPU-0	(400x10000)(int32 400x1)->(400x1)(400x10000)
2	    20.26	    40.00	   810.34	     9.18	  1877.28	    21.27	512000000.00	   631.83	MatMul	GPU-0	(20x800)(400x800)->(20x400)
3	    18.42	    40.00	   736.82	     8.35	  2614.10	    29.61	512000000.00	   694.88	MatMul	GPU-0	(20x400)(20x800)->(400x800)
4	   675.25	     1.00	   675.25	     7.65	  3289.35	    37.26	1600000000.00	  2369.49	MatMul	GPU-0	(400x10000)(200x10000)->(400x200)
5	   609.34	     1.00	   609.34	     6.90	  3898.69	    44.16	1600000000.00	  2625.79	MatMul	GPU-0	(400x200)(200x10000)->(400x10000)
6	   579.76	     1.00	   579.76	     6.57	  4478.45	    50.73	1600000000.00	  2759.76	MatMul	GPU-0	(400x200)(400x10000)->(200x10000)
7	    23.67	    20.00	   473.39	     5.36	  4951.84	    56.09	     0.00	     0.00	LSTMBlockCell	GPU-0	(20x200)(20x200)(20x200)(400x800)(200x1)(200x1)(200x1)(800x1)->(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)
8	    23.21	    20.00	   464.27	     5.26	  5416.11	    61.35	     0.00	     0.00	LSTMBlockCell	GPU-0	(20x200)(20x200)(20x200)(400x800)(1|2|3x1)(1|2|3x1)(1|2|3x1)(800x1)->(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)
9	   211.00	     2.00	   422.01	     4.78	  5838.12	    66.13	12160000.00	    28.81	AddN	GPU-0	(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)->(400x800)
10	   241.64	     1.00	   241.64	     2.74	  6079.76	    68.87	4000000.00	    16.55	BiasAdd	GPU-0	(400x10000)(10000x1)->(400x10000)
