edge_2141_Train/Model/Variable/read/MEMCPYDtoH	MEMCPYDtoH	GPU-0	0	10	10	(Transfer)->(4 bytes)	0	0	10
Train/Model/gradients/Train/Model/RNN/RNN/multi_rnn_cell/cell_0/lstm_cell/LSTMBlockCell_13_grad/Slice_1	Slice	GPU-0	0	20	20	(20x400)(1)(1)->(20x200)	10	10	0
Train/Model/gradients/Train/Model/RNN/RNN/multi_rnn_cell/cell_0/lstm_cell/LSTMBlockCell_18_grad/concat	ConcatV2	GPU-0	0	32	32	(20x200)(20x200)(1)->(20x400)	10	10	0
Train/Model/gradients/Train/Model/RNN/RNN/multi_rnn_cell/cell_0/lstm_cell/LSTMBlockCell_2_grad/Slice	Slice	GPU-0	0	20	20	(20x400)(1)(1)->(20x200)	10	10	0
Train/Model/gradients/Train/Model/RNN/RNN/multi_rnn_cell/cell_1/lstm_cell/LSTMBlockCell_9_grad/LSTMBlockCellGrad	LSTMBlockCellGrad	GPU-0	0	97	97	(20x200)(20x200)(20x200)(400x800)(1|2|3x1)(1|2|3x1)(1|2|3x1)(800x1)(20x200)(20x200 slot 1 slot )(20x200 slot 2 slot )(20x200 slot 3 slot )(20x200 slot 4 slot )(20x200 slot 5 slot )(20x200 slot 6 slot )(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)(20x800 slot 1 slot )(200x1 slot 2 slot )(200x1 slot 3 slot )(200x1 slot 4 slot )(20x200)->(20x200)(20x800 slot 1 slot )(200x1 slot 2 slot )(200x1 slot 3 slot )(200x1 slot 4 slot )	10	10	0
Model/RNN/multi_rnn_cell/cell_1/lstm_cell/kernel/read	Identity	GPU-0	0	8	58	(400x800)->(400x800)	0	10	0
Train/Model/clip_by_global_norm/mul/x	Const	GPU-0	0	13	23	(no input)->(1x1)	0	10	0
Train/TrainInput/add_1	Add	GPU-0	0	30	152	(1)(1|2|3x1)->(int32 1x1)	0	10	0
Train/Model/gradients/Train/Model/RNN/RNN/multi_rnn_cell/cell_0/lstm_cell/LSTMBlockCell_4_grad/MatMul_1	MatMul	GPU-0	0	166	166	(20x400)(20x800)->(400x800)	10	10	0
edge_551_Train/Model/gradients/Train/Model/sequence_loss/Sum_grad/Shape/MEMCPYHtoD	MEMCPYHtoD	GPU-0	0	10	10	(Transfer)->(8 bytes)	0	0	10
Train/Model/gradients/Train/Model/RNN/RNN/multi_rnn_cell/cell_1/lstm_cell/LSTMBlockCell_19_grad/BiasAddGrad	BiasAddGrad	GPU-0	0	35	35	(20x800)->(800x1)	10	10	0
Train/Model/RNN/RNN/multi_rnn_cell/cell_1/lstm_cell/LSTMBlockCell_3	LSTMBlockCell	GPU-0	0	203	203	(20x200)(20x200)(20x200)(400x800)(1|2|3x1)(1|2|3x1)(1|2|3x1)(800x1)->(20x200)(20x200 slot 1 slot )(20x200 slot 2 slot )(20x200 slot 3 slot )(20x200 slot 4 slot )(20x200 slot 5 slot )(20x200 slot 6 slot )	10	10	0
Train/Model/clip_by_global_norm/Train/Model/clip_by_global_norm/_5	Identity	GPU-0	0	7	25	(200x10000)->(200x10000)	0	10	0
Train/Model/gradients/Train/Model/RNN/RNN/multi_rnn_cell/cell_0/lstm_cell/LSTMBlockCell_17_grad/LSTMBlockCellGrad	LSTMBlockCellGrad	GPU-0	0	107	107	(20x200)(20x200)(20x200)(400x800)(200x1)(200x1)(200x1)(800x1)(20x200)(20x200 slot 1 slot )(20x200 slot 2 slot )(20x200 slot 3 slot )(20x200 slot 4 slot )(20x200 slot 5 slot )(20x200 slot 6 slot )(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)(20x800 slot 1 slot )(200x1 slot 2 slot )(200x1 slot 3 slot )(200x1 slot 4 slot )(20x200)->(20x200)(20x800 slot 1 slot )(200x1 slot 2 slot )(200x1 slot 3 slot )(200x1 slot 4 slot )	10	10	0
Train/Model/RNN/strided_slice_7/stack_1	Const	GPU-0	0	10	29	(no input)->(int32 3x1)	0	10	0
Train/Model/clip_by_global_norm/Minimum	Minimum	GPU-0	0	18	18	(1x1)(1x1)->(1x1)	10	10	0
Train/Model/GradientDescent/value	Const	GPU-0	0	23	38	(no input)->(int64 1x1)	0	10	0
Train/Model/gradients/Train/Model/RNN/RNN/multi_rnn_cell/cell_0/lstm_cell/LSTMBlockCell_13_grad/LSTMBlockCellGrad	LSTMBlockCellGrad	GPU-0	0	102	102	(20x200)(20x200)(20x200)(400x800)(200x1)(200x1)(200x1)(800x1)(20x200)(20x200 slot 1 slot )(20x200 slot 2 slot )(20x200 slot 3 slot )(20x200 slot 4 slot )(20x200 slot 5 slot )(20x200 slot 6 slot )(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)(20x800 slot 1 slot )(200x1 slot 2 slot )(200x1 slot 3 slot )(200x1 slot 4 slot )(20x200)->(20x200)(20x800 slot 1 slot )(200x1 slot 2 slot )(200x1 slot 3 slot )(200x1 slot 4 slot )	10	10	0
Train/Model/gradients/Train/Model/sequence_loss/mul_grad/Mul	Mul	GPU-0	0	19	19	(400x1)(400x10000)->(400x1)	10	10	0
Train/Model/gradients/Train/Model/RNN/RNN/multi_rnn_cell/cell_1/lstm_cell/LSTMBlockCell_4_grad/MatMul_1	MatMul	GPU-0	0	164	164	(20x400)(20x800)->(400x800)	10	10	0
edge_2623_Train/Model/RNN/RNN/multi_rnn_cell/cell_1/lstm_cell/LSTMBlockCell_19/MEMCPYDtoH	MEMCPYDtoH	GPU-0	0	10	10	(Transfer)->(16000 bytes)	0	0	10
Train/Model/gradients/Train/Model/RNN/RNN/multi_rnn_cell/cell_1/lstm_cell/LSTMBlockCell_3_grad/LSTMBlockCellGrad	LSTMBlockCellGrad	GPU-0	0	92	92	(20x200)(20x200)(20x200)(400x800)(1|2|3x1)(1|2|3x1)(1|2|3x1)(800x1)(20x200)(20x200 slot 1 slot )(20x200 slot 2 slot )(20x200 slot 3 slot )(20x200 slot 4 slot )(20x200 slot 5 slot )(20x200 slot 6 slot )(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)(20x800 slot 1 slot )(200x1 slot 2 slot )(200x1 slot 3 slot )(200x1 slot 4 slot )(20x200)->(20x200)(20x800 slot 1 slot )(200x1 slot 2 slot )(200x1 slot 3 slot )(200x1 slot 4 slot )	10	10	0
Train/Model/gradients/Train/Model/RNN/RNN/multi_rnn_cell/cell_0/lstm_cell/LSTMBlockCell_7_grad/concat	ConcatV2	GPU-0	0	34	34	(20x200)(20x200)(1)->(20x400)	10	10	0
Train/Model/gradients/Train/Model/RNN/RNN/multi_rnn_cell/cell_0/lstm_cell/LSTMBlockCell_14_grad/MatMul	MatMul	GPU-0	0	191	191	(20x800)(400x800)->(20x400)	10	10	0
Train/Model/gradients/Train/Model/RNN/RNN/multi_rnn_cell/cell_0/lstm_cell/LSTMBlockCell_18_grad/MatMul_1	MatMul	GPU-0	0	163	163	(20x400)(20x800)->(400x800)	10	10	0
Train/Model/gradients/Train/Model/RNN/strided_slice_6_grad/StridedSliceGrad	StridedSliceGrad	GPU-0	0	48	48	(1|2|3x1)(1|2|3x1)(int32 3x1)(1|2|3x1)(20x200)->(20x20x200)	10	10	0
Train/Model/sequence_loss/Reshape/shape/_8__cf__8	Const	GPU-0	0	8	26	(no input)->(int32 2x1)	0	10	0
Train/Model/gradients/Train/Model/RNN/RNN/multi_rnn_cell/cell_0/lstm_cell/LSTMBlockCell_1_grad/MatMul	MatMul	GPU-0	0	192	192	(20x800)(400x800)->(20x400)	10	10	0
Train/Model/gradients/AddN_20	AddN	GPU-0	0	20	20	(20x200)(20x200)->(20x200)	10	10	0
Train/Model/gradients/Train/Model/RNN/RNN/multi_rnn_cell/cell_1/lstm_cell/LSTMBlockCell_8_grad/Slice_1	Slice	GPU-0	0	18	18	(20x400)(1)(1)->(20x200)	10	10	0
Train/Model/gradients/AddN_34	AddN	GPU-0	0	20	20	(20x200)(20x200)->(20x200)	10	10	0
Train/Model/gradients/Train/Model/sequence_loss/SparseSoftmaxCrossEntropyWithLogits/SparseSoftmaxCrossEntropyWithLogits_grad/ExpandDims	ExpandDims	GPU-0	0	42	70	(400x1)(int32 1x1)->(400x1)	0	10	0
Train/Model/gradients/Train/Model/RNN/RNN/multi_rnn_cell/cell_0/lstm_cell/LSTMBlockCell_15_grad/MatMul	MatMul	GPU-0	0	190	190	(20x800)(400x800)->(20x400)	10	10	0
Train/Model/gradients/Train/Model/RNN/RNN/multi_rnn_cell/cell_0/lstm_cell/LSTMBlockCell_grad/BiasAddGrad	BiasAddGrad	GPU-0	0	34	34	(20x800)->(800x1)	10	10	0
Train/Model/gradients/Train/Model/RNN/RNN/multi_rnn_cell/cell_0/lstm_cell/LSTMBlockCell_3_grad/Slice	Slice	GPU-0	0	20	20	(20x400)(1)(1)->(20x200)	10	10	0
Train/Model/clip_by_global_norm/truediv_1/_0__cf__0	Const	GPU-0	0	14	26	(no input)->(1x1)	0	10	0
Train/Model/gradients/Train/Model/RNN/RNN/multi_rnn_cell/cell_1/lstm_cell/LSTMBlockCell_3_grad/MatMul_1	MatMul	GPU-0	0	166	166	(20x400)(20x800)->(400x800)	10	10	0
Train/Model/gradients/Train/Model/RNN/RNN/multi_rnn_cell/cell_0/lstm_cell/LSTMBlockCell_9_grad/MatMul	MatMul	GPU-0	0	191	191	(20x800)(400x800)->(20x400)	10	10	0
Train/Model/gradients/Train/Model/RNN/RNN/multi_rnn_cell/cell_0/lstm_cell/LSTMBlockCell_3_grad/MatMul_1	MatMul	GPU-0	0	168	168	(20x400)(20x800)->(400x800)	10	10	0
Train/Model/gradients/Train/Model/sequence_loss/SparseSoftmaxCrossEntropyWithLogits/SparseSoftmaxCrossEntropyWithLogits_grad/PreventGradient	PreventGradient	GPU-0	0	14	36	(400x10000)->(400x10000)	0	10	0
Train/Model/gradients/Train/Model/RNN/RNN/multi_rnn_cell/cell_1/lstm_cell/LSTMBlockCell_12_grad/concat	ConcatV2	GPU-0	0	30	30	(20x200)(20x200)(1)->(20x400)	10	10	0
Train/Model/RNN/strided_slice_9/stack_1	Const	GPU-0	0	10	32	(no input)->(int32 3x1)	0	10	0
Train/Model/GradientDescent/update_Model/RNN/multi_rnn_cell/cell_1/lstm_cell/bias/ApplyGradientDescent	ApplyGradientDescent	GPU-0	0	24	24	(800x1)(1x1)(800x1)->(800x1)	10	10	0
Train/Model/global_norm/stack/MEMCPYDtoD	MEMCPYDtoD	GPU-0	0	70	70	(Transfer)->(4 bytes)	0	0	10
_retval_Train/Model/Sum_0_4	_Retval	CPU-0	0	10	29	(1x1)->(no output info)	0	10	0
Train/Model/gradients/Train/Model/RNN/RNN/multi_rnn_cell/cell_0/lstm_cell/LSTMBlockCell_18_grad/Slice_1	Slice	GPU-0	0	18	18	(20x400)(1)(1)->(20x200)	10	10	0
Train/Model/gradients/Train/Model/RNN/RNN/multi_rnn_cell/cell_0/lstm_cell/LSTMBlockCell_grad/MatMul_1	MatMul	GPU-0	0	161	161	(20x400)(20x800)->(400x800)	10	10	0
Train/Model/gradients/AddN	AddN	GPU-0	0	21	21	(20x200)(20x200)->(20x200)	10	10	0
Train/Model/gradients/Train/Model/RNN/RNN/multi_rnn_cell/cell_0/lstm_cell/LSTMBlockCell_18_grad/Slice	Slice	GPU-0	0	22	22	(20x400)(1)(1)->(20x200)	10	10	0
Train/Model/gradients/Train/Model/RNN/RNN/multi_rnn_cell/cell_1/lstm_cell/LSTMBlockCell_8_grad/Slice	Slice	GPU-0	0	18	18	(20x400)(1)(1)->(20x200)	10	10	0
Train/Model/GradientDescent	AssignAdd	GPU-0	0	17	17	(int64 1x1)(int64 1x1)->(int64 1x1)	10	10	0
edge_2619_Train/Model/RNN/RNN/multi_rnn_cell/cell_0/lstm_cell/LSTMBlockCell_19/MEMCPYDtoH	MEMCPYDtoH	GPU-0	0	10	10	(Transfer)->(16000 bytes)	0	0	10
Train/TrainInput/Reshape/_12__cf__12	Const	GPU-0	0	7	28	(no input)->(int32 20x46479)	0	10	0
Train/Model/gradients/Train/Model/RNN/strided_slice_3_grad/StridedSliceGrad	StridedSliceGrad	GPU-0	0	45	45	(1|2|3x1)(1|2|3x1)(int32 3x1)(1|2|3x1)(20x200)->(20x20x200)	10	10	0
Train/Model/gradients/AddN_15	AddN	GPU-0	0	23	23	(20x200)(20x200)->(20x200)	10	10	0
Train/Model/gradients/Train/Model/RNN/strided_slice_1_grad/StridedSliceGrad	StridedSliceGrad	GPU-0	0	46	46	(1|2|3x1)(1|2|3x1)(int32 3x1)(1|2|3x1)(20x200)->(20x20x200)	10	10	0
Train/Model/RNN/RNN/multi_rnn_cell/cell_0/lstm_cell/LSTMBlockCell_3	LSTMBlockCell	GPU-0	0	216	216	(20x200)(20x200)(20x200)(400x800)(200x1)(200x1)(200x1)(800x1)->(20x200)(20x200 slot 1 slot )(20x200 slot 2 slot )(20x200 slot 3 slot )(20x200 slot 4 slot )(20x200 slot 5 slot )(20x200 slot 6 slot )	10	10	0
Train/Model/gradients/Train/Model/RNN/strided_slice_17_grad/StridedSliceGrad	StridedSliceGrad	GPU-0	0	46	46	(1|2|3x1)(1|2|3x1)(int32 3x1)(1|2|3x1)(20x200)->(20x20x200)	10	10	0
Train/Model/gradients/Train/Model/RNN/RNN/multi_rnn_cell/cell_1/lstm_cell/LSTMBlockCell_14_grad/MatMul	MatMul	GPU-0	0	193	193	(20x800)(400x800)->(20x400)	10	10	0
Train/Model/gradients/Train/Model/RNN/RNN/multi_rnn_cell/cell_1/lstm_cell/LSTMBlockCell_13_grad/Slice	Slice	GPU-0	0	18	18	(20x400)(1)(1)->(20x200)	10	10	0
Train/Model/gradients/Train/Model/RNN/RNN/multi_rnn_cell/cell_1/lstm_cell/LSTMBlockCell_2_grad/Slice	Slice	GPU-0	0	19	19	(20x400)(1)(1)->(20x200)	10	10	0
Train/Model/gradients/Train/Model/RNN/RNN/multi_rnn_cell/cell_1/lstm_cell/LSTMBlockCell_12_grad/MatMul_1	MatMul	GPU-0	0	161	161	(20x400)(20x800)->(400x800)	10	10	0
Train/Model/gradients/Train/Model/RNN/RNN/multi_rnn_cell/cell_0/lstm_cell/LSTMBlockCell_12_grad/BiasAddGrad	BiasAddGrad	GPU-0	0	31	31	(20x800)->(800x1)	10	10	0
Train/Model/gradients/Train/Model/RNN/strided_slice_10_grad/StridedSliceGrad	StridedSliceGrad	GPU-0	0	46	46	(1|2|3x1)(1|2|3x1)(int32 3x1)(1|2|3x1)(20x200)->(20x20x200)	10	10	0
Model/softmax_b/read	Identity	GPU-0	0	8	25	(10000x1)->(10000x1)	0	10	0
Train/Model/RNN/RNN/multi_rnn_cell/cell_1/lstm_cell/LSTMBlockCell_18	LSTMBlockCell	GPU-0	0	203	203	(20x200)(20x200)(20x200)(400x800)(1|2|3x1)(1|2|3x1)(1|2|3x1)(800x1)->(20x200)(20x200 slot 1 slot )(20x200 slot 2 slot )(20x200 slot 3 slot )(20x200 slot 4 slot )(20x200 slot 5 slot )(20x200 slot 6 slot )	10	10	0
Train/Model/Sum	Sum	GPU-0	0	24	24	(20x1)(1)->(1x1)	10	10	0
Train/Model/RNN/RNN/multi_rnn_cell/cell_0/lstm_cell/LSTMBlockCell_15	LSTMBlockCell	GPU-0	0	218	218	(20x200)(20x200)(20x200)(400x800)(200x1)(200x1)(200x1)(800x1)->(20x200)(20x200 slot 1 slot )(20x200 slot 2 slot )(20x200 slot 3 slot )(20x200 slot 4 slot )(20x200 slot 5 slot )(20x200 slot 6 slot )	10	10	0
Train/Model/gradients/Train/Model/RNN/RNN/multi_rnn_cell/cell_0/lstm_cell/LSTMBlockCell_8_grad/Slice_1	Slice	GPU-0	0	18	18	(20x400)(1)(1)->(20x200)	10	10	0
Train/Model/gradients/Train/Model/RNN/RNN/multi_rnn_cell/cell_0/lstm_cell/LSTMBlockCell_1_grad/Slice_1	Slice	GPU-0	0	17	17	(20x400)(1)(1)->(20x200)	10	10	0
Train/Model/gradients/AddN_24	AddN	GPU-0	0	23	23	(20x200)(20x200)->(20x200)	10	10	0
Train/Model/gradients/Train/Model/RNN/RNN/multi_rnn_cell/cell_0/lstm_cell/LSTMBlockCell_1_grad/BiasAddGrad	BiasAddGrad	GPU-0	0	33	33	(20x800)->(800x1)	10	10	0
Train/Model/GradientDescent/update/NoOp	NoOp	GPU-0	0	10	23	(no input)->(no output info)	0	10	0
Train/Model/RNN/strided_slice_14/stack_1	Const	GPU-0	0	9	25	(no input)->(int32 3x1)	0	10	0
Train/Model/gradients/Train/Model/RNN/RNN/multi_rnn_cell/cell_0/lstm_cell/LSTMBlockCell_19_grad/MatMul_1	MatMul	GPU-0	0	326	326	(20x400)(20x800)->(400x800)	10	10	0
