Op	System_1 time per call	System_2 time per call	Time ratio Sys1/Sys2 (one call)	System_1 total op time	System_2 total op time	Time ratio Sys1/Sys2 (all calls)	System_1 occurence	System_2 occurence	Occurence Ratio	System1 cumulative time	System1 % of total time 	System1 cumulative % of total time 	System2 cumulative time	System2 % of total time 	System2 cumulative % of total time 
SparseSoftmaxCrossEntropyWithLogits@GPU-0@(400x10000)(int32 400x1)->(400x1)(400x10000)	1065.44	1066.94	0.998594110259246	1065.44	1066.94	0.998594110259246	1.00	1.00	1.0	1065.44	0.12073316524547438	0.12073316524547438	1066.94	0.12085835781976025	0.12085835781976025
MatMul@GPU-0@(20x800)(400x800)->(20x400)	20.62	20.26	1.0177690029615005	824.77	810.34	1.0178073401288348	40.00	40.00	1.0	1890.21	0.09346100456103572	0.2141941698065101	1877.2800000000002	0.09179181741772219	0.21265017523748242
MatMul@GPU-0@(20x400)(20x800)->(400x800)	19.43	18.42	1.054831704668838	777.01	736.82	1.054545207784805	40.00	40.00	1.0	2667.2200000000003	0.08804895322813677	0.30224312303464684	2614.1000000000004	0.08346378916223568	0.2961139643997181
MatMul@GPU-0@(400x10000)(200x10000)->(400x200)	676.36	675.25	1.0016438356164383	676.36	675.25	1.0016438356164383	1.00	1.00	1.0	3343.5800000000004	0.07664353097821468	0.37888665401286153	3289.3500000000004	0.07648940532531642	0.3726033697250345
MatMul@GPU-0@(400x200)(200x10000)->(400x10000)	607.24	609.34	0.9965536482095382	607.24	609.34	0.9965536482095382	1.00	1.00	1.0	3950.8200000000006	0.06881101447633077	0.4476976684891923	3898.6900000000005	0.0690234050217376	0.4416267747467721
MatMul@GPU-0@(400x200)(400x10000)->(200x10000)	580.90	579.76	1.0019663308955429	580.90	579.76	1.0019663308955429	1.00	1.00	1.0	4531.72	0.06582622737188022	0.5135238958610725	4478.450000000001	0.0656727103019703	0.5072994850487424
LSTMBlockCell@GPU-0@(20x200)(20x200)(20x200)(400x800)(200x1)(200x1)(200x1)(800x1)->(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)	23.44	23.67	0.9902830587241234	468.84	473.39	0.9903884746192357	20.00	20.00	1.0	5000.56	0.05312785064732712	0.5666517465083997	4951.840000000001	0.0536235758414684	0.5609230608902108
LSTMBlockCell@GPU-0@(20x200)(20x200)(20x200)(400x800)(1|2|3x1)(1|2|3x1)(1|2|3x1)(800x1)->(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)	23.03	23.21	0.992244722102542	460.56	464.27	0.9920089603032718	20.00	20.00	1.0	5461.120000000001	0.05218958044137228	0.6188413269497719	5416.110000000001	0.052590501607381934	0.6135135624975927
AddN@GPU-0@(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)->(400x800)	210.93	211.00	0.9996682464454977	421.86	422.01	0.999644558185825	2.00	2.00	1.0	5882.9800000000005	0.047804187087452904	0.6666455140372248	5838.120000000001	0.047803471220047064	0.6613170337176397
BiasAdd@GPU-0@(400x10000)(10000x1)->(400x10000)	241.81	241.64	1.000703525906307	241.81	241.64	1.000703525906307	1.00	1.00	1.0	6124.790000000001	0.02740134281424403	0.6940468568514688	6079.760000000001	0.027371936175948845	0.6886889698935885
