Node	Time
1065.44	GPU-0	SparseSoftmaxCrossEntropyWithLogits	|	(400x10000)(int32 400x1)->(400x1)(400x10000)	 
676.36	GPU-0	MatMul	2.4 TFLOPS	(400x10000)(200x10000)->(400x200)	 
607.24	GPU-0	MatMul	2.6 TFLOPS	(400x200)(200x10000)->(400x10000)	 
580.9	GPU-0	MatMul	2.8 TFLOPS	(400x200)(400x10000)->(200x10000)	 
241.81	GPU-0	BiasAdd	0.0 TFLOPS	(400x10000)(10000x1)->(400x10000)	 
215.03	GPU-0	Mul	0.0 TFLOPS	(400x1)(400x10000)->(400x10000)	 
211.01	GPU-0	AddN	0.0 TFLOPS	(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)->(400x800)	 
210.85	GPU-0	AddN	0.0 TFLOPS	(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)->(400x800)	 
154.19	GPU-0	ApplyGradientDescent	|	(200x10000)(1x1)(200x10000)->(200x10000)	 
105.82	GPU-0	Mul	0.0 TFLOPS	(200x10000)(1x1)->(200x10000)	 
104.89	GPU-0	BiasAddGrad	0.0 TFLOPS	(400x10000)->(10000x1)	 
74.82	CPU-0	GatherV2	|	(10000x200)(int32 20x20)(int32 1x1)->(20x20x200)	 
62.16	GPU-0	Pack	|	(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)->(7x1)	 
58.89	GPU-0	L2Loss	0.1 TFLOPS	(200x10000)->(1x1)	 
58.39	CPU-0	ScatterSub	|	(10000x200)(int32 400x1)(400x200)->(10000x200)	 
56.37	GPU-0	AddN	0.0 TFLOPS	(20x20x200)(20x20x200)(20x20x200)(20x20x200)(20x20x200)(20x20x200)(20x20x200)(20x20x200)(20x20x200)(20x20x200)(20x20x200)(20x20x200)(20x20x200)(20x20x200)(20x20x200)(20x20x200)(20x20x200)(20x20x200)(20x20x200)(20x20x200)->(20x20x200)	 
39.92	GPU-0	MEMCPYDtoH	|	(Transfer)->(320000 bytes)	 
28.06	GPU-0	ApplyGradientDescent	|	(400x800)(1x1)(400x800)->(400x800)	 
27.63	CPU-0	QueueDequeueV2	|	(tf_resource 1x1)->(int32 1x1)	 
26.63	GPU-0	LSTMBlockCell	|	(20x200)(20x200)(20x200)(400x800)(200x1)(200x1)(200x1)(800x1)->(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)	 
26.1	GPU-0	ApplyGradientDescent	|	(400x800)(1x1)(400x800)->(400x800)	 
26.05	GPU-0	MEMCPYHtoD	|	(Transfer)->(320000 bytes)	 
25.33	CPU-0	Mul	0.0 TFLOPS	(400x200)(1x1)->(400x200)	 
24.19	GPU-0	LSTMBlockCell	|	(20x200)(20x200)(20x200)(400x800)(1|2|3x1)(1|2|3x1)(1|2|3x1)(800x1)->(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)	 
