Train/Model/gradients/Train/Model/RNN/RNN/multi_rnn_cell/cell_0/lstm_cell/LSTMBlockCell_15_grad/BiasAddGrad	BiasAddGrad	{'/device:GPU:0/stream:13': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 4, 4], '/job:localhost/replica:0/task:0/device:GPU:0': [['(20x800)'], ['(800x1)'], 1, 16, 20], '/device:GPU:0/stream:all': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 4, 4]}
Train/Model/gradients/Train/Model/RNN/RNN/multi_rnn_cell/cell_0/lstm_cell/LSTMBlockCell_10_grad/BiasAddGrad	BiasAddGrad	{'/device:GPU:0/stream:13': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 4, 4], '/job:localhost/replica:0/task:0/device:GPU:0': [['(20x800)'], ['(800x1)'], 0, 17, 20], '/device:GPU:0/stream:all': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 4, 4]}
Train/Model/gradients/Train/Model/RNN/RNN/multi_rnn_cell/cell_1/lstm_cell/LSTMBlockCell_6_grad/Slice_1	Slice	{'/device:GPU:0/stream:13': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 3, 3], '/job:localhost/replica:0/task:0/device:GPU:0': [['(20x400)', '(', '1', ')', '(', '1', ')'], ['(20x200)'], 1, 9, 13], '/device:GPU:0/stream:all': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 3, 3]}
Train/Model/GradientDescent/update/NoOp_1/_113	Identity	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(no output info)'], ['(1x1)'], 1, 2, 6]}
Train/Model/gradients/Train/Model/xw_plus_b/MatMul_grad/MatMul	MatMul	{'/device:GPU:0/stream:13': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 726, 726], '/job:localhost/replica:0/task:0/device:GPU:0': [['(400x10000)', '(200x10000)'], ['(400x200)'], 1, 14, 17], '/device:GPU:0/stream:all': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 726, 726]}
Train/TrainInput/StridedSlice_1/begin	Pack	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(int32 2x1)', '(int32 1x1)'], ['(int32 2x1)'], 1, 3, 6]}
Train/Model/gradients/Train/Model/RNN/RNN/multi_rnn_cell/cell_0/lstm_cell/LSTMBlockCell_6_grad/MatMul_1	MatMul	{'/device:GPU:0/stream:13': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 20, 20], '/job:localhost/replica:0/task:0/device:GPU:0': [['(20x400)', '(20x800)'], ['(400x800)'], 0, 12, 14], '/device:GPU:0/stream:all': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 20, 20]}
Train/Model/RNN/RNN/multi_rnn_cell/cell_1/lstm_cell/LSTMBlockCell_3	LSTMBlockCell	{'/device:GPU:0/stream:13': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 25, 25], '/job:localhost/replica:0/task:0/device:GPU:0': [['(20x200)', '(20x200)', '(20x200)', '(400x800)', '(', '1', '|', '2', '|', '3', 'x', '1', ')', '(', '1', '|', '2', '|', '3', 'x', '1', ')', '(', '1', '|', '2', '|', '3', 'x', '1', ')', '(800x1)'], ['(20x200)', '(20x200 slot 1 slot )', '(20x200 slot 2 slot )', '(20x200 slot 3 slot )', '(20x200 slot 4 slot )', '(20x200 slot 5 slot )', '(20x200 slot 6 slot )'], 1, 30, 37], '/device:GPU:0/stream:all': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 25, 25]}
Model/RNN/multi_rnn_cell/cell_0/lstm_cell/bias/read	Identity	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(800x1)'], ['(800x1)'], 0, 1, 3]}
Train/Model/gradients/Train/Model/RNN/RNN/multi_rnn_cell/cell_1/lstm_cell/LSTMBlockCell_2_grad/Slice	Slice	{'/device:GPU:0/stream:13': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 2, 2], '/job:localhost/replica:0/task:0/device:GPU:0': [['(20x400)', '(', '1', ')', '(', '1', ')'], ['(20x200)'], 1, 10, 13], '/device:GPU:0/stream:all': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 2, 2]}
Train/Model/RNN/strided_slice_9	StridedSlice	{'/device:GPU:0/stream:13': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 2, 2], '/job:localhost/replica:0/task:0/device:GPU:0': [['(20x20x200)', '(', '1', '|', '2', '|', '3', 'x', '1', ')', '(int32 3x1)', '(', '1', '|', '2', '|', '3', 'x', '1', ')'], ['(20x200)'], 1, 52, 58], '/device:GPU:0/stream:all': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 2, 2]}
