Train/Model/gradients/Train/Model/RNN/RNN/multi_rnn_cell/cell_0/lstm_cell/LSTMBlockCell_14_grad/LSTMBlockCellGrad	LSTMBlockCellGrad	GPU-0	0	549	549	(20x200)(20x200)(20x200)(400x800)(200x1)(200x1)(200x1)(800x1)(20x200)(20x200 slot 1 slot )(20x200 slot 2 slot )(20x200 slot 3 slot )(20x200 slot 4 slot )(20x200 slot 5 slot )(20x200 slot 6 slot )(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)(20x800 slot 1 slot )(200x1 slot 2 slot )(200x1 slot 3 slot )(200x1 slot 4 slot )(20x200)->(20x200)(20x800 slot 1 slot )(200x1 slot 2 slot )(200x1 slot 3 slot )(200x1 slot 4 slot )	51	51	0	Train/Model/gradients/Train/Model/RNN/RNN/multi_rnn_cell/cell_0/lstm_cell/LSTMBlockCell_14_grad/LSTMBlockCellGrad@GPU-0@(20x200)(20x200)(20x200)(400x800)(200x1)(200x1)(200x1)(800x1)(20x200)(20x200 slot 1 slot )(20x200 slot 2 slot )(20x200 slot 3 slot )(20x200 slot 4 slot )(20x200 slot 5 slot )(20x200 slot 6 slot )(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)(20x800 slot 1 slot )(200x1 slot 2 slot )(200x1 slot 3 slot )(200x1 slot 4 slot )(20x200)->(20x200)(20x800 slot 1 slot )(200x1 slot 2 slot )(200x1 slot 3 slot )(200x1 slot 4 slot )
Train/Model/gradients/Train/Model/RNN/RNN/multi_rnn_cell/cell_0/lstm_cell/LSTMBlockCell_13_grad/MatMul	MatMul	GPU-0	0	1008	1008	(20x800)(400x800)->(20x400)	51	51	0	Train/Model/gradients/Train/Model/RNN/RNN/multi_rnn_cell/cell_0/lstm_cell/LSTMBlockCell_13_grad/MatMul@GPU-0@(20x800)(400x800)->(20x400)
Train/Model/gradients/Train/Model/RNN/RNN/multi_rnn_cell/cell_1/lstm_cell/LSTMBlockCell_14_grad/MatMul_1	MatMul	GPU-0	0	952	952	(20x400)(20x800)->(400x800)	51	51	0	Train/Model/gradients/Train/Model/RNN/RNN/multi_rnn_cell/cell_1/lstm_cell/LSTMBlockCell_14_grad/MatMul_1@GPU-0@(20x400)(20x800)->(400x800)
Train/Model/gradients/Train/Model/sequence_loss/truediv_grad/Reshape/_7__cf__7	Const	GPU-0	16	79	140	(no input)->(20x1)	0	51	0	Train/Model/gradients/Train/Model/sequence_loss/truediv_grad/Reshape/_7__cf__7@GPU-0@(no input)->(20x1)
Train/Model/gradients/Train/Model/RNN/RNN/multi_rnn_cell/cell_0/lstm_cell/LSTMBlockCell_10_grad/concat	ConcatV2	GPU-0	0	164	164	(20x200)(20x200)(1)->(20x400)	51	51	0	Train/Model/gradients/Train/Model/RNN/RNN/multi_rnn_cell/cell_0/lstm_cell/LSTMBlockCell_10_grad/concat@GPU-0@(20x200)(20x200)(1)->(20x400)
Train/Model/gradients/Train/Model/RNN/RNN/multi_rnn_cell/cell_1/lstm_cell/LSTMBlockCell_6_grad/Slice_1	Slice	GPU-0	0	103	103	(20x400)(1)(1)->(20x200)	51	51	0	Train/Model/gradients/Train/Model/RNN/RNN/multi_rnn_cell/cell_1/lstm_cell/LSTMBlockCell_6_grad/Slice_1@GPU-0@(20x400)(1)(1)->(20x200)
_arg_Train/Model/MultiRNNCellZeroState/LSTMBlockCellZeroState/zeros_1_0_1	_Arg	CPU-0	8	46	144	(no input)->(20x200)	0	51	0	_arg_Train/Model/MultiRNNCellZeroState/LSTMBlockCellZeroState/zeros_1_0_1@CPU-0@(no input)->(20x200)
Train/Model/gradients/Train/Model/RNN/RNN/multi_rnn_cell/cell_0/lstm_cell/LSTMBlockCell_6_grad/Slice	Slice	GPU-0	0	117	117	(20x400)(1)(1)->(20x200)	51	51	0	Train/Model/gradients/Train/Model/RNN/RNN/multi_rnn_cell/cell_0/lstm_cell/LSTMBlockCell_6_grad/Slice@GPU-0@(20x400)(1)(1)->(20x200)
Train/Model/RNN/RNN/multi_rnn_cell/cell_0/lstm_cell/LSTMBlockCell_2	LSTMBlockCell	GPU-0	0	1115	1115	(20x200)(20x200)(20x200)(400x800)(200x1)(200x1)(200x1)(800x1)->(20x200)(20x200 slot 1 slot )(20x200 slot 2 slot )(20x200 slot 3 slot )(20x200 slot 4 slot )(20x200 slot 5 slot )(20x200 slot 6 slot )	51	51	0	Train/Model/RNN/RNN/multi_rnn_cell/cell_0/lstm_cell/LSTMBlockCell_2@GPU-0@(20x200)(20x200)(20x200)(400x800)(200x1)(200x1)(200x1)(800x1)->(20x200)(20x200 slot 1 slot )(20x200 slot 2 slot )(20x200 slot 3 slot )(20x200 slot 4 slot )(20x200 slot 5 slot )(20x200 slot 6 slot )
Train/Model/GradientDescent/update/NoOp_1/_113	Identity	GPU-0	92	176	392	(no output info)->(1x1)	0	51	0	Train/Model/GradientDescent/update/NoOp_1/_113@GPU-0@(no output info)->(1x1)
