Train/Model/sequence_loss/SparseSoftmaxCrossEntropyWithLogits/SparseSoftmaxCrossEntropyWithLogits	SparseSoftmaxCrossEntropyWithLogits	GPU-0	0	109882	109882	(400x10000)(int32 400x1)->(400x1)(400x10000 slot 1 slot )	100	100	0	Train/Model/sequence_loss/SparseSoftmaxCrossEntropyWithLogits/SparseSoftmaxCrossEntropyWithLogits@GPU-0@(400x10000)(int32 400x1)->(400x1)(400x10000 slot 1 slot )
Train/Model/gradients/Train/Model/xw_plus_b/MatMul_grad/MatMul	MatMul	GPU-0	0	73926	73926	(400x10000)(200x10000)->(400x200)	100	100	0	Train/Model/gradients/Train/Model/xw_plus_b/MatMul_grad/MatMul@GPU-0@(400x10000)(200x10000)->(400x200)
Train/Model/xw_plus_b/MatMul	MatMul	GPU-0	0	67035	67035	(400x200)(200x10000)->(400x10000)	100	100	0	Train/Model/xw_plus_b/MatMul@GPU-0@(400x200)(200x10000)->(400x10000)
Train/Model/gradients/Train/Model/xw_plus_b/MatMul_grad/MatMul_1	MatMul	GPU-0	0	63994	63994	(400x200)(400x10000)->(200x10000)	100	100	0	Train/Model/gradients/Train/Model/xw_plus_b/MatMul_grad/MatMul_1@GPU-0@(400x200)(400x10000)->(200x10000)
Train/Model/xw_plus_b	BiasAdd	GPU-0	0	24920	24920	(400x10000)(10000x1)->(400x10000)	100	100	0	Train/Model/xw_plus_b@GPU-0@(400x10000)(10000x1)->(400x10000)
Train/Model/gradients/Train/Model/sequence_loss/SparseSoftmaxCrossEntropyWithLogits/SparseSoftmaxCrossEntropyWithLogits_grad/mul	Mul	GPU-0	0	22760	22760	(400x1)(400x10000)->(400x10000)	100	100	0	Train/Model/gradients/Train/Model/sequence_loss/SparseSoftmaxCrossEntropyWithLogits/SparseSoftmaxCrossEntropyWithLogits_grad/mul@GPU-0@(400x1)(400x10000)->(400x10000)
_SOURCE	NoOp	GPU-0	519	649	21753	(no input)->(no output info)	0	100	0	_SOURCE@GPU-0@(no input)->(no output info)
Train/Model/gradients/AddN_40	AddN	GPU-0	0	21153	21153	(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)->(400x800)	100	100	0	Train/Model/gradients/AddN_40@GPU-0@(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)->(400x800)
Train/Model/gradients/AddN_38	AddN	GPU-0	0	21125	21125	(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)->(400x800)	100	100	0	Train/Model/gradients/AddN_38@GPU-0@(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)->(400x800)
_SOURCE	NoOp	CPU-0	96	106	18065	(no input)->(no output info)	0	100	0	_SOURCE@CPU-0@(no input)->(no output info)
Train/Model/GradientDescent/update_Model/softmax_w/ApplyGradientDescent	ApplyGradientDescent	GPU-0	0	15448	15448	(200x10000)(1x1)(200x10000)->(200x10000)	100	100	0	Train/Model/GradientDescent/update_Model/softmax_w/ApplyGradientDescent@GPU-0@(200x10000)(1x1)(200x10000)->(200x10000)
Train/Model/clip_by_global_norm/mul_6	Mul	GPU-0	0	10615	10615	(200x10000)(1x1)->(200x10000)	100	100	0	Train/Model/clip_by_global_norm/mul_6@GPU-0@(200x10000)(1x1)->(200x10000)
