Op rank by total time	Time of 1 call, microseconds	Number of calls in 1 run	Total time in 1 run	% of total time	Cumulative time, microseconds	% of total cumulative time	(FL)OPs in RegisterStatistics	GFLOP/S achieved	Op name	Device	Input/output tensors
1	  4181.50	     3.00	 12544.51	     1.78	 12544.51	     1.78	     0.00	     0.00	FusedBatchNormGrad	GPU-0	(64x256x56x56)(64x256x56x56)(256x1)(256x1)(256x1)->(64x256x56x56)(256x1)(256x1)(1x1)(1x1)
2	  2474.33	     5.00	 12371.66	     1.76	 24916.17	     3.54	     0.00	     0.00	Conv2DBackpropFilter	GPU-0	(64x1024x14x14)(int32 4x1)(64x256x14x14)(256x1)(256x1)(1x1)(1x1)->(1x1x1024x256)
3	  1567.03	     7.00	 10969.20	     1.56	 35885.37	     5.09	     0.00	     0.00	FusedBatchNormGrad	GPU-0	(64x64x56x56)(64x64x56x56)(64x1)(64x1)(64x1)->(64x64x56x56)(64x1)(64x1)(1x1)(1x1)
4	  2718.43	     4.00	 10873.72	     1.54	 46759.09	     6.64	26306674688.00	  2419.29	Conv2D	GPU-0	(64x64x56x56)(1x1x64x256)->(64x256x56x56)
5	  2133.07	     5.00	 10665.33	     1.51	 57424.42	     8.15	     0.00	     0.00	Conv2DBackpropFilter	GPU-0	(64x256x14x14)(int32 4x1)(64x256x14x14)(256x1)(256x1)(1x1)(1x1)->(3x3x256x256)
6	  1935.08	     5.00	  9675.42	     1.37	 67099.84	     9.53	     0.00	     0.00	Conv2DBackpropFilter	GPU-0	(64x256x14x14)(int32 4x1)(64x1024x14x14)->(1x1x256x1024)
7	  3204.17	     3.00	  9612.52	     1.36	 76712.36	    10.89	     0.00	     0.00	Conv2DBackpropFilter	GPU-0	(64x64x56x56)(int32 4x1)(64x64x56x56)(64x1)(64x1)(1x1)(1x1)->(3x3x64x64)
8	  1893.95	     5.00	  9469.76	     1.34	 86182.12	    12.24	     0.00	     0.00	Conv2DBackpropInput	GPU-0	(int32 4x1)(1x1x1024x256)(64x256x14x14)(256x1)(256x1)(1x1)(1x1)->(64x1024x14x14)
9	  3102.70	     3.00	  9308.10	     1.32	 95490.22	    13.56	     0.00	     0.00	Conv2DBackpropFilter	GPU-0	(64x64x56x56)(int32 4x1)(64x256x56x56)->(1x1x64x256)
10	  2278.87	     4.00	  9115.47	     1.29	104605.69	    14.85	     0.00	     0.00	FusedBatchNormGrad	GPU-0	(64x512x28x28)(64x512x28x28)(512x1)(512x1)(512x1)->(64x512x28x28)(512x1)(512x1)(1x1)(1x1)
11	  1797.19	     5.00	  8985.96	     1.28	113591.65	    16.13	     0.00	     0.00	Conv2DBackpropInput	GPU-0	(int32 4x1)(3x3x256x256)(64x256x14x14)(256x1)(256x1)(1x1)(1x1)->(64x256x14x14)
12	  2971.30	     3.00	  8913.91	     1.27	122505.56	    17.39	44392513536.00	  4980.14	Conv2D	GPU-0	(64x64x56x56)(3x3x64x64)->(64x64x56x56)
13	  2955.60	     3.00	  8866.80	     1.26	131372.36	    18.65	     0.00	     0.00	Conv2DBackpropFilter	GPU-0	(64x128x28x28)(int32 4x1)(64x512x28x28)->(1x1x128x512)
14	  2570.07	     3.00	  7710.22	     1.09	139082.58	    19.75	154140672.00	    19.99	Add	GPU-0	(64x256x56x56)(64x256x56x56)->(64x256x56x56)
15	  2561.14	     3.00	  7683.43	     1.09	146766.01	    20.84	     0.00	     0.00	FusedBatchNorm	GPU-0	(64x256x56x56)(256x1)(256x1)(1x1)(1x1)->(64x256x56x56)(256x1)(256x1)(256x1)(256x1)
16	  1501.74	     5.00	  7508.68	     1.07	154274.69	    21.90	     0.00	     0.00	Conv2DBackpropInput	GPU-0	(int32 4x1)(1x1x256x1024)(64x1024x14x14)->(64x256x14x14)
17	   682.49	    11.00	  7507.39	     1.07	161782.08	    22.97	     0.00	     0.00	FusedBatchNormGrad	GPU-0	(64x256x14x14)(64x256x14x14)(256x1)(256x1)(256x1)->(64x256x14x14)(256x1)(256x1)(1x1)(1x1)
18	  1249.93	     6.00	  7499.56	     1.06	169281.64	    24.03	39460012032.00	  5261.64	Conv2D	GPU-0	(64x256x14x14)(1x1x256x1024)->(64x1024x14x14)
19	  3589.14	     2.00	  7178.29	     1.02	176459.93	    25.05	     0.00	     0.00	Conv2DBackpropFilter	GPU-0	(64x256x56x56)(int32 4x1)(64x64x56x56)(64x1)(64x1)(1x1)(1x1)->(1x1x256x64)
20	  1408.60	     5.00	  7042.99	     1.00	183502.92	    26.05	73987522560.00	 10505.13	Conv2D	GPU-0	(64x256x14x14)(3x3x256x256)->(64x256x14x14)
21	  2341.97	     3.00	  7025.90	     1.00	190528.82	    27.05	     0.00	     0.00	ReluGrad	GPU-0	(64x256x56x56)(64x256x56x56)->(64x256x56x56)
22	  2206.70	     3.00	  6620.10	     0.94	197148.92	    27.99	     0.00	     0.00	Conv2DBackpropFilter	GPU-0	(64x512x28x28)(int32 4x1)(64x128x28x28)(128x1)(128x1)(1x1)(1x1)->(1x1x512x128)
23	  1609.48	     4.00	  6437.92	     0.91	203586.84	    28.90	26306674688.00	  4086.21	Conv2D	GPU-0	(64x128x28x28)(1x1x128x512)->(64x512x28x28)
24	   913.39	     7.00	  6393.75	     0.91	209980.59	    29.81	     0.00	     0.00	FusedBatchNorm	GPU-0	(64x64x56x56)(64x1)(64x1)(1x1)(1x1)->(64x64x56x56)(64x1)(64x1)(64x1)(64x1)
25	  6044.64	     1.00	  6044.64	     0.86	216025.23	    30.67	     0.00	     0.00	Conv2DBackpropFilter	GPU-0	(64x1024x14x14)(int32 4x1)(64x2048x7x7)->(1x1x1024x2048)
26	  5944.74	     1.00	  5944.74	     0.84	221969.97	    31.51	     0.00	     0.00	Conv2DBackpropInput	GPU-0	(int32 4x1)(3x3x256x256)(64x256x14x14)(256x1)(256x1)(1x1)(1x1)->(64x256x30x30)
27	  2948.26	     2.00	  5896.52	     0.84	227866.49	    32.35	     0.00	     0.00	Conv2DBackpropFilter	GPU-0	(64x512x7x7)(int32 4x1)(64x512x7x7)(512x1)(512x1)(1x1)(1x1)->(3x3x512x512)
