Op rank by total time	Time of 1 call, microseconds	Number of calls in 1 run	Total time in 1 run	% of total time	Cumulative time, microseconds	% of total cumulative time	(FL)OPs in RegisterStatistics	GFLOP/S achieved	Op name	Device	Input/output tensors
1	  3919.66	     3.00	 11758.98	     1.68	 11758.98	     1.68	     0.00	     0.00	Conv2DBackpropFilter	GPU-0	(64x64x56x56)(int32 4x1)(64x256x56x56)->(1x1x64x256)
2	  3825.96	     3.00	 11477.87	     1.64	 23236.85	     3.33	     0.00	     0.00	FusedBatchNormGrad	GPU-0	(64x256x56x56)(64x256x56x56)(256x1)(256x1)(256x1)->(64x256x56x56)(256x1)(256x1)(1x1)(1x1)
3	  2867.91	     4.00	 11471.64	     1.64	 34708.49	     4.97	26306674688.00	  2293.19	Conv2D	GPU-0	(64x64x56x56)(1x1x64x256)->(64x256x56x56)
4	  1475.28	     7.00	 10326.97	     1.48	 45035.46	     6.45	     0.00	     0.00	FusedBatchNormGrad	GPU-0	(64x64x56x56)(64x64x56x56)(64x1)(64x1)(64x1)->(64x64x56x56)(64x1)(64x1)(1x1)(1x1)
5	  2019.29	     5.00	 10096.46	     1.45	 55131.92	     7.89	     0.00	     0.00	Conv2DBackpropFilter	GPU-0	(64x256x14x14)(int32 4x1)(64x1024x14x14)->(1x1x256x1024)
6	  3312.81	     3.00	  9938.44	     1.42	 65070.36	     9.32	     0.00	     0.00	Conv2DBackpropFilter	GPU-0	(64x64x56x56)(int32 4x1)(64x64x56x56)(64x1)(64x1)(1x1)(1x1)->(3x3x64x64)
7	  1913.46	     5.00	  9567.28	     1.37	 74637.64	    10.69	     0.00	     0.00	Conv2DBackpropFilter	GPU-0	(64x1024x14x14)(int32 4x1)(64x256x14x14)(256x1)(256x1)(1x1)(1x1)->(1x1x1024x256)
8	  1869.64	     5.00	  9348.20	     1.34	 83985.84	    12.02	     0.00	     0.00	Conv2DBackpropFilter	GPU-0	(64x256x14x14)(int32 4x1)(64x256x14x14)(256x1)(256x1)(1x1)(1x1)->(3x3x256x256)
9	  2257.16	     4.00	  9028.64	     1.29	 93014.48	    13.32	     0.00	     0.00	FusedBatchNormGrad	GPU-0	(64x512x28x28)(64x512x28x28)(512x1)(512x1)(512x1)->(64x512x28x28)(512x1)(512x1)(1x1)(1x1)
10	  1745.31	     5.00	  8726.56	     1.25	101741.04	    14.57	     0.00	     0.00	Conv2DBackpropInput	GPU-0	(int32 4x1)(1x1x1024x256)(64x256x14x14)(256x1)(256x1)(1x1)(1x1)->(64x1024x14x14)
11	  1724.35	     5.00	  8621.75	     1.23	110362.79	    15.80	     0.00	     0.00	Conv2DBackpropInput	GPU-0	(int32 4x1)(1x1x256x1024)(64x1024x14x14)->(64x256x14x14)
12	  2751.36	     3.00	  8254.09	     1.18	118616.88	    16.98	     0.00	     0.00	FusedBatchNorm	GPU-0	(64x256x56x56)(256x1)(256x1)(1x1)(1x1)->(64x256x56x56)(256x1)(256x1)(256x1)(256x1)
13	  1630.34	     5.00	  8151.72	     1.17	126768.60	    18.15	     0.00	     0.00	Conv2DBackpropInput	GPU-0	(int32 4x1)(3x3x256x256)(64x256x14x14)(256x1)(256x1)(1x1)(1x1)->(64x256x14x14)
14	  1626.33	     5.00	  8131.65	     1.16	134900.25	    19.31	73987522560.00	  9098.71	Conv2D	GPU-0	(64x256x14x14)(3x3x256x256)->(64x256x14x14)
