PiecewiseConstant/case/Cast	Cast	GPU-0	0	19	19	(boolean 4x1)->(int32 4x1)	10	10	0
global_step/Initializer/zeros	Const	GPU-0	0	22	36	(no input)->(int64 1x1)	0	10	0
resnet_model/batch_normalization_23/AssignMovingAvg_1/mul	Mul	GPU-0	0	17	17	(64x1)(1x1)->(64x1)	10	10	0
gradients/resnet_model/batch_normalization_5/FusedBatchNorm_grad/FusedBatchNormGrad	FusedBatchNormGrad	GPU-0	0	2881	2881	(128x16x32x32)(128x16x32x32)(16x1)(16x1)(16x1)->(128x16x32x32)(16x1 slot 1 slot )(16x1 slot 2 slot )(1x1 slot 3 slot )(1x1 slot 4 slot )	10	10	0
PiecewiseConstant/Const_3	Const	GPU-0	0	20	34	(no input)->(1x1)	0	10	0
resnet_model/batch_normalization_20/moving_mean/read	Identity	GPU-0	0	12	31	(32x1)->(32x1)	0	10	0
resnet_model/batch_normalization_11/AssignMovingAvg/mul	Mul	GPU-0	0	20	20	(32x1)(1x1)->(32x1)	10	10	0
resnet_model/conv2d_3/kernel/read	Identity	GPU-0	0	7	31	(3x3x16x16)->(3x3x16x16)	0	10	0
L2Loss_66	L2Loss	GPU-0	0	49	49	(3x3x32x64)->(1x1)	10	10	0
resnet_model/batch_normalization_30/AssignMovingAvg/mul	Mul	GPU-0	0	20	20	(64x1)(1x1)->(64x1)	10	10	0
gradients/L2Loss_55_grad/mul	Mul	GPU-0	0	16	16	(32x1)(1x1)->(32x1)	10	10	0
ConstantFolding/gradients/sparse_softmax_cross_entropy_loss/div_grad/BroadcastGradientArgs-folded-1	Const	GPU-0	0	10	23	(no input)->(int32 1x1)	0	10	0
gradients/resnet_model/conv2d_16/Conv2D_grad/Conv2DBackpropInput	Conv2DBackpropInput	GPU-0	0	1507	1507	(int32 4x1)(int32 4x1 slot 1 slot )(3x3x32x32)(128x32x16x16)->(128x32x16x16)	10	10	0
resnet_model/batch_normalization_14/AssignMovingAvg_1/mul	Mul	GPU-0	0	16	16	(32x1)(1x1)->(32x1)	10	10	0
resnet_model/batch_normalization_25/beta/read	Identity	GPU-0	0	10	25	(64x1)->(64x1)	0	10	0
resnet_model/batch_normalization_30/gamma/Momentum	VariableV2	GPU-0	0	24	37	(no input)->(64x1)	0	10	0
ConstantFolding/gradients/resnet_model/conv2d_24/Conv2D_grad/ShapeN-matshapes-1	Const	GPU-0	0	10	27	(no input)->(int32 4x1)	0	10	0
resnet_model/batch_normalization_17/moving_variance/read	Identity	GPU-0	0	11	29	(32x1)->(32x1)	0	10	0
resnet_model/conv2d_20/kernel/Momentum	VariableV2	GPU-0	0	21	38	(no input)->(3x3x32x32)	0	10	0
ConstantFolding/gradients/resnet_model/conv2d_8/Conv2D_grad/ShapeN-matshapes-1	Const	GPU-0	0	10	27	(no input)->(int32 4x1)	0	10	0
_SOURCE	NoOp	GPU-0	0	59	5322	(no input)->(no output info)	0	10	0
resnet_model/batch_normalization_28/AssignMovingAvg/sub_1	Sub	GPU-0	0	22	22	(64x1)(64x1)->(64x1)	10	10	0
resnet_model/batch_normalization_11/beta/Momentum	VariableV2	GPU-0	0	21	32	(no input)->(32x1)	0	10	0
gradients/resnet_model/conv2d_15/Conv2D_grad/Conv2DBackpropFilter	Conv2DBackpropFilter	GPU-0	0	3346	3346	(128x32x16x16)(int32 4x1)(128x32x16x16)(32x1 slot 1 slot )(32x1 slot 2 slot )(1x1 slot 3 slot )(1x1 slot 4 slot )->(3x3x32x32)	10	10	0
resnet_model/batch_normalization_15/AssignMovingAvg_1	AssignSub	GPU-0	0	18	18	(32x1)(32x1)->(32x1)	10	10	0
resnet_model/batch_normalization_17/AssignMovingAvg/sub_1	Sub	GPU-0	0	22	22	(32x1)(32x1)->(32x1)	10	10	0
resnet_model/batch_normalization_24/moving_variance	VariableV2	GPU-0	0	33	47	(no input)->(64x1)	0	10	0
gradients/L2Loss_6_grad/mul	Mul	GPU-0	0	13	13	(16x1)(1x1)->(16x1)	10	10	0
