Op	System_1 time per call	System_2 time per call	Time ratio Sys1/Sys2 (one call)	System_1 total op time	System_2 total op time	Time ratio Sys1/Sys2 (all calls)	System_1 occurence	System_2 occurence	Occurence Ratio	System1 cumulative time	System1 % of total time 	System1 cumulative % of total time 	System2 cumulative time	System2 % of total time 	System2 cumulative % of total time 
FusedBatchNormGrad@GPU-0@(64x256x56x56)(64x256x56x56)(256x1)(256x1)(256x1)->(64x256x56x56)(256x1)(256x1)(1x1)(1x1)	4181.50	3825.96	1.0929283108030403	12544.51	11477.87	1.0929301342496474	3.00	3.00	1.0	12544.51	0.017809147899428692	0.017809147899428692	11477.87	0.016432786956783584	0.016432786956783584
Conv2DBackpropFilter@GPU-0@(64x1024x14x14)(int32 4x1)(64x256x14x14)(256x1)(256x1)(1x1)(1x1)->(1x1x1024x256)	2474.33	1913.46	1.2931182256226939	12371.66	9567.28	1.2931219740615931	5.00	5.00	1.0	24916.17	0.01756375679093452	0.03537290469036321	21045.15	0.01369740849093921	0.030130195447722795
FusedBatchNormGrad@GPU-0@(64x64x56x56)(64x64x56x56)(64x1)(64x1)(64x1)->(64x64x56x56)(64x1)(64x1)(1x1)(1x1)	1567.03	1475.28	1.0621915839705005	10969.20	10326.97	1.0621895870715226	7.00	7.00	1.0	35885.369999999995	0.01557271708009426	0.050945621770457465	31372.120000000003	0.014785051400573046	0.04491524684829584
Conv2D@GPU-0@(64x64x56x56)(1x1x64x256)->(64x256x56x56)	2718.43	2867.91	0.9478784201735758	10873.72	11471.64	0.9478784201735758	4.00	4.00	1.0	46759.09	0.01543716635380543	0.06638278812426289	42843.76	0.01642386750894694	0.06133911435724278
Conv2DBackpropFilter@GPU-0@(64x256x14x14)(int32 4x1)(64x256x14x14)(256x1)(256x1)(1x1)(1x1)->(3x3x256x256)	2133.07	1869.64	1.140898782653345	10665.33	9348.20	1.1408966432040393	5.00	5.00	1.0	57424.42	0.015141319937264494	0.08152410806152738	52191.96000000001	0.013383753172792888	0.07472286753003567
Conv2DBackpropFilter@GPU-0@(64x256x14x14)(int32 4x1)(64x1024x14x14)->(1x1x256x1024)	1935.08	2019.29	0.9582972232814504	9675.42	10096.46	0.9582982550319618	5.00	5.00	1.0	67099.84	0.013735967827287823	0.0952600758888152	62288.420000000006	0.01445503183061728	0.08917789936065294
Conv2DBackpropFilter@GPU-0@(64x64x56x56)(int32 4x1)(64x64x56x56)(64x1)(64x1)(1x1)(1x1)->(3x3x64x64)	3204.17	3312.81	0.9672060878830963	9612.52	9938.44	0.9672061208801381	3.00	3.00	1.0	76712.36	0.013646670166169607	0.10890674605498481	72226.86	0.014228795691428483	0.10340669505208143
Conv2DBackpropInput@GPU-0@(int32 4x1)(1x1x1024x256)(64x256x14x14)(256x1)(256x1)(1x1)(1x1)->(64x1024x14x14)	1893.95	1745.31	1.085165386091869	9469.76	8726.56	1.0851652884985608	5.00	5.00	1.0	86182.12	0.013443997127994147	0.12235074318297895	80953.42	0.012493755491706155	0.11590045054378759
Conv2DBackpropFilter@GPU-0@(64x64x56x56)(int32 4x1)(64x256x56x56)->(1x1x64x256)	3102.70	3919.66	0.7915737589484803	9308.10	11758.98	0.7915737589484803	3.00	3.00	1.0	95490.22	0.013214492201183802	0.13556523538416276	92712.4	0.01683525019616697	0.13273570073995455
FusedBatchNormGrad@GPU-0@(64x512x28x28)(64x512x28x28)(512x1)(512x1)(512x1)->(64x512x28x28)(512x1)(512x1)(1x1)(1x1)	2278.87	2257.16	1.0096182813801415	9115.47	9028.64	1.0096171737936168	4.00	4.00	1.0	104605.69	0.012941019888605075	0.14850625527276784	101741.04	0.01292624133480293	0.1456619420747575
Conv2DBackpropInput@GPU-0@(int32 4x1)(3x3x256x256)(64x256x14x14)(256x1)(256x1)(1x1)(1x1)->(64x256x14x14)	1797.19	1630.34	1.1023406160678142	8985.96	8151.72	1.1023391382432173	5.00	5.00	1.0	113591.65	0.01275715756600698	0.16126341283877482	109892.76	0.011670761046374621	0.15733270312113212
Conv2D@GPU-0@(64x64x56x56)(3x3x64x64)->(64x64x56x56)	2971.30	2659.58	1.1172064762105296	8913.91	7978.73	1.117209129773786	3.00	3.00	1.0	122505.56	0.012654869863565529	0.17391828270234036	117871.48999999999	0.011423092461902588	0.16875579558303472
Conv2DBackpropFilter@GPU-0@(64x128x28x28)(int32 4x1)(64x512x28x28)->(1x1x128x512)	2955.60	1864.57	1.585137592045351	8866.80	5593.71	1.5851375920453508	3.00	3.00	1.0	131372.36	0.012587988896708945	0.1865062715990493	123465.2	0.008008475852055294	0.17676427143509002
Add@GPU-0@(64x256x56x56)(64x256x56x56)->(64x256x56x56)	2570.07	2559.24	1.0042317250433723	7710.22	7677.72	1.0042330275133764	3.00	3.00	1.0	139082.58	0.010946019279918713	0.197452290878968	131142.91999999998	0.010992138530392525	0.18775640996548254
FusedBatchNorm@GPU-0@(64x256x56x56)(256x1)(256x1)(1x1)(1x1)->(64x256x56x56)(256x1)(256x1)(256x1)(256x1)	2561.14	2751.36	0.9308632821586414	7683.43	8254.09	0.9308633659191988	3.00	3.00	1.0	146766.00999999998	0.01090798614253625	0.20836027702150425	139397.00999999998	0.01181732346612375	0.19957373343160628
Conv2DBackpropInput@GPU-0@(int32 4x1)(1x1x256x1024)(64x1024x14x14)->(64x256x14x14)	1501.74	1724.35	0.8709020790442776	7508.68	8621.75	0.8708997593296025	5.00	5.00	1.0	154274.68999999997	0.010659897648412114	0.21902017466991636	148018.75999999998	0.012343699740862099	0.2119174331724684
FusedBatchNormGrad@GPU-0@(64x256x14x14)(64x256x14x14)(256x1)(256x1)(256x1)->(64x256x14x14)(256x1)(256x1)(1x1)(1x1)	682.49	680.21	1.0033519060290204	7507.39	7482.35	1.0033465421959677	11.00	11.00	1.0	161782.08	0.010658066265537034	0.2296782409354534	155501.11	0.010712428654976023	0.2226298618274444
Conv2D@GPU-0@(64x256x14x14)(1x1x256x1024)->(64x1024x14x14)	1249.93	1320.99	0.9462070114081106	7499.56	7925.96	0.9462021004395682	6.00	6.00	1.0	169281.63999999998	0.010646950197388295	0.24032519113284168	163427.06999999998	0.011347542018509392	0.2339774038459538
Conv2DBackpropFilter@GPU-0@(64x256x56x56)(int32 4x1)(64x64x56x56)(64x1)(64x1)(1x1)(1x1)->(1x1x256x64)	3589.14	3853.26	0.9314554429236541	7178.29	7706.53	0.9314555318671309	2.00	2.00	1.0	176459.93	0.01019085068089467	0.2505160418137363	171133.59999999998	0.011033385607787976	0.24501078945374177
Conv2D@GPU-0@(64x256x14x14)(3x3x256x256)->(64x256x14x14)	1408.60	1626.33	0.8661218817829099	7042.99	8131.65	0.8661206520201927	5.00	5.00	1.0	183502.91999999998	0.009998768430508427	0.2605148102442448	179265.24999999997	0.011642026966425757	0.2566528164201675
ReluGrad@GPU-0@(64x256x56x56)(64x256x56x56)->(64x256x56x56)	2341.97	2249.33	1.04118559748903	7025.90	6748.00	1.0411825726141077	3.00	3.00	1.0	190528.81999999998	0.009974506156605244	0.27048931640085	186013.24999999997	0.009661064847778867	0.26631388126794636
Conv2DBackpropFilter@GPU-0@(64x512x28x28)(int32 4x1)(64x128x28x28)(128x1)(128x1)(1x1)(1x1)->(1x1x512x128)	2206.70	1809.08	1.2197912751232671	6620.10	5427.23	1.2197935226625738	3.00	3.00	1.0	197148.91999999998	0.009398401373111256	0.27988771777396126	191440.47999999998	0.007770127589479978	0.27408400885742634
Conv2D@GPU-0@(64x128x28x28)(1x1x128x512)->(64x512x28x28)	1609.48	1309.89	1.2287138614692836	6437.92	5239.57	1.2287115164030638	4.00	4.00	1.0	203586.84	0.009139764681497322	0.28902748245545856	196680.05	0.007501456067646223	0.2815854649250726
FusedBatchNorm@GPU-0@(64x64x56x56)(64x1)(64x1)(1x1)(1x1)->(64x64x56x56)(64x1)(64x1)(64x1)(64x1)	913.39	983.30	0.9289026746669379	6393.75	6883.13	0.928901531715949	7.00	7.00	1.0	209980.59	0.009077057563983942	0.29810454001944253	203563.18	0.009854529532556631	0.2914399944576292
Conv2DBackpropFilter@GPU-0@(64x1024x14x14)(int32 4x1)(64x2048x7x7)->(1x1x1024x2048)	6044.64	6322.68	0.9560249767503654	6044.64	6322.68	0.9560249767503654	1.00	1.00	1.0	216025.23	0.008581434249628137	0.3066859742690707	209885.86	0.009052137150526746	0.3004921316081559
Conv2DBackpropInput@GPU-0@(int32 4x1)(3x3x256x256)(64x256x14x14)(256x1)(256x1)(1x1)(1x1)->(64x256x30x30)	5944.74	5799.94	1.0249657755080226	5944.74	5799.94	1.0249657755080226	1.00	1.00	1.0	221969.97	0.008439608552558028	0.3151255828216287	215685.8	0.008303733914230373	0.3087958655223863
