Node	Time
6044.64	GPU-0	Conv2DBackpropFilter	|	(64x1024x14x14)(int32 4x1)(64x2048x7x7)->(1x1x1024x2048)	 
5944.74	GPU-0	Conv2DBackpropInput	|	(int32 4x1)(3x3x256x256)(64x256x14x14)(256x1)(256x1)(1x1)(1x1)->(64x256x30x30)	 
5813.64	GPU-0	Conv2DBackpropInput	|	(int32 4x1)(3x3x512x512)(64x512x7x7)(512x1)(512x1)(1x1)(1x1)->(64x512x16x16)	 
5781.77	GPU-0	Conv2DBackpropInput	|	(int32 4x1)(3x3x128x128)(64x128x28x28)(128x1)(128x1)(1x1)(1x1)->(64x128x58x58)	 
5343.62	GPU-0	Conv2DBackpropFilter	|	(64x3x230x230)(int32 4x1)(64x64x112x112)->(7x7x3x64)	 
4917.73	GPU-0	Conv2DBackpropFilter	|	(64x512x28x28)(int32 4x1)(64x1024x14x14)->(1x1x512x1024)	 
4817.65	GPU-0	Conv2DBackpropInput	|	(int32 4x1)(1x1x1024x2048)(64x2048x7x7)->(64x1024x14x14)	 
4727.35	GPU-0	Conv2DBackpropFilter	|	(64x128x28x28)(int32 4x1)(64x512x28x28)->(1x1x128x512)	 
4655.68	GPU-0	Conv2D	3.2 TFLOPS	(64x3x230x230)(7x7x3x64)->(64x64x112x112)	 
4650.5	GPU-0	Conv2DBackpropInput	|	(int32 4x1)(1x1x256x512)(64x512x28x28)->(64x256x56x56)	 
4479.45	GPU-0	FusedBatchNormGrad	|	(64x256x56x56)(64x256x56x56)(256x1)(256x1)(256x1)->(64x256x56x56)(256x1)(256x1)(1x1)(1x1)	 
4352.52	GPU-0	FusedBatchNormGrad	|	(64x256x56x56)(64x256x56x56)(256x1)(256x1)(256x1)->(64x256x56x56)(256x1)(256x1)(1x1)(1x1)	 
4348.84	GPU-0	Conv2DBackpropInput	|	(int32 4x1)(1x1x512x1024)(64x1024x14x14)->(64x512x28x28)	 
4289.91	GPU-0	Conv2DBackpropFilter	|	(64x512x16x16)(int32 4x1)(64x512x7x7)(512x1)(512x1)(1x1)(1x1)->(3x3x512x512)	 
4128.49	GPU-0	Conv2DBackpropFilter	|	(64x256x56x56)(int32 4x1)(64x128x56x56)(128x1)(128x1)(1x1)(1x1)->(1x1x256x128)	 
4104.99	GPU-0	Conv2DBackpropFilter	|	(64x512x28x28)(int32 4x1)(64x256x28x28)(256x1)(256x1)(1x1)(1x1)->(1x1x512x256)	 
4046.58	GPU-0	Conv2DBackpropFilter	|	(64x1024x14x14)(int32 4x1)(64x512x14x14)(512x1)(512x1)(1x1)(1x1)->(1x1x1024x512)	 
3993.08	GPU-0	Conv2D	3.7 TFLOPS	(64x128x58x58)(3x3x128x128)->(64x128x28x28)	 
3764.8	GPU-0	Conv2D	3.5 TFLOPS	(64x256x56x56)(1x1x256x512)->(64x512x28x28)	 
3712.54	GPU-0	FusedBatchNormGrad	|	(64x256x56x56)(64x256x56x56)(256x1)(256x1)(256x1)->(64x256x56x56)(256x1)(256x1)(1x1)(1x1)	 
