resnet_model/batch_normalization_17/gamma/read@GPU-0@(128x1)->(128x1)	resnet_model/batch_normalization_17/gamma/read	Identity	GPU-0	0	1	2	(128x1)->(128x1)	0	1	0
resnet_model/dense/BiasAdd@GPU-0@(64x1001)(1001x1)->(64x1001)	resnet_model/dense/BiasAdd	BiasAdd	GPU-0	0	4	4	(64x1001)(1001x1)->(64x1001)	1	1	0
gradients/resnet_model/dense/MatMul_grad/MatMul_1@GPU-0@(64x2048)(64x1001)->(2048x1001)	gradients/resnet_model/dense/MatMul_grad/MatMul_1	MatMul	GPU-0	0	99	99	(64x2048)(64x1001)->(2048x1001)	1	1	0
resnet_model/conv2d_42/kernel/Momentum@GPU-0@(no input)->(1x1x256x1024)	resnet_model/conv2d_42/kernel/Momentum	VariableV2	GPU-0	0	2	3	(no input)->(1x1x256x1024)	0	1	0
resnet_model/conv2d_11/kernel/Momentum@GPU-0@(no input)->(1x1x256x512)	resnet_model/conv2d_11/kernel/Momentum	VariableV2	GPU-0	1	3	5	(no input)->(1x1x256x512)	0	1	0
resnet_model/batch_normalization_44/moving_variance/read@GPU-0@(512x1)->(512x1)	resnet_model/batch_normalization_44/moving_variance/read	Identity	GPU-0	0	1	2	(512x1)->(512x1)	0	1	0
gradients/resnet_model/batch_normalization_35/FusedBatchNorm_grad/FusedBatchNormGrad@GPU-0@(64x256x14x14)(64x256x14x14)(256x1)(256x1)(256x1)->(64x256x14x14)(256x1 slot 1 slot )(256x1 slot 2 slot )(1x1 slot 3 slot )(1x1 slot 4 slot )	gradients/resnet_model/batch_normalization_35/FusedBatchNorm_grad/FusedBatchNormGrad	FusedBatchNormGrad	GPU-0	0	294	294	(64x256x14x14)(64x256x14x14)(256x1)(256x1)(256x1)->(64x256x14x14)(256x1 slot 1 slot )(256x1 slot 2 slot )(1x1 slot 3 slot )(1x1 slot 4 slot )	1	1	0
resnet_model/batch_normalization_46/gamma/read@GPU-0@(512x1)->(512x1)	resnet_model/batch_normalization_46/gamma/read	Identity	GPU-0	0	1	2	(512x1)->(512x1)	0	1	0
L2Loss_47@GPU-0@(1x1x2048x512)->(1x1)	L2Loss_47	L2Loss	GPU-0	0	35	35	(1x1x2048x512)->(1x1)	1	1	0
resnet_model/batch_normalization_7/gamma/read@GPU-0@(64x1)->(64x1)	resnet_model/batch_normalization_7/gamma/read	Identity	GPU-0	1	0	2	(64x1)->(64x1)	0	1	0
