resnet_model/batch_normalization_17/gamma/read	Identity	GPU-0	30	41	127	(128x1)->(128x1)	0	51	0	resnet_model/batch_normalization_17/gamma/read@GPU-0@(128x1)->(128x1)
resnet_model/dense/BiasAdd	BiasAdd	GPU-0	0	202	202	(64x1001)(1001x1)->(64x1001)	51	51	0	resnet_model/dense/BiasAdd@GPU-0@(64x1001)(1001x1)->(64x1001)
gradients/resnet_model/dense/MatMul_grad/MatMul_1	MatMul	GPU-0	0	4960	4960	(64x2048)(64x1001)->(2048x1001)	51	51	0	gradients/resnet_model/dense/MatMul_grad/MatMul_1@GPU-0@(64x2048)(64x1001)->(2048x1001)
L2Loss_53	L2Loss	GPU-0	0	2970	2970	(2048x1001)->(1x1)	51	51	0	L2Loss_53@GPU-0@(2048x1001)->(1x1)
resnet_model/conv2d_42/kernel/Momentum	VariableV2	GPU-0	12	117	200	(no input)->(1x1x256x1024)	0	51	0	resnet_model/conv2d_42/kernel/Momentum@GPU-0@(no input)->(1x1x256x1024)
resnet_model/dense/kernel/read	Identity	GPU-0	20	67	167	(2048x1001)->(2048x1001)	0	51	0	resnet_model/dense/kernel/read@GPU-0@(2048x1001)->(2048x1001)
resnet_model/batch_normalization_44/moving_variance/read	Identity	GPU-0	15	51	108	(512x1)->(512x1)	0	51	0	resnet_model/batch_normalization_44/moving_variance/read@GPU-0@(512x1)->(512x1)
resnet_model/conv2d_18/Conv2D	Conv2D	GPU-0	0	96061	96061	(64x512x28x28)(1x1x512x128)->(64x128x28x28)	51	51	0	resnet_model/conv2d_18/Conv2D@GPU-0@(64x512x28x28)(1x1x512x128)->(64x128x28x28)
resnet_model/batch_normalization_46/gamma/read	Identity	GPU-0	21	46	126	(512x1)->(512x1)	0	51	0	resnet_model/batch_normalization_46/gamma/read@GPU-0@(512x1)->(512x1)
L2Loss_47	L2Loss	GPU-0	0	1677	1677	(1x1x2048x512)->(1x1)	51	51	0	L2Loss_47@GPU-0@(1x1x2048x512)->(1x1)
resnet_model/batch_normalization_7/gamma/read	Identity	GPU-0	16	45	127	(64x1)->(64x1)	0	51	0	resnet_model/batch_normalization_7/gamma/read@GPU-0@(64x1)->(64x1)
resnet_model/batch_normalization_24/gamma	VariableV2	GPU-0	14	102	168	(no input)->(1024x1)	0	51	0	resnet_model/batch_normalization_24/gamma@GPU-0@(no input)->(1024x1)
L2Loss_4	L2Loss	GPU-0	0	236	236	(1x1x64x256)->(1x1)	51	51	0	L2Loss_4@GPU-0@(1x1x64x256)->(1x1)
resnet_model/batch_normalization/beta/read	Identity	GPU-0	23	39	110	(64x1)->(64x1)	0	51	0	resnet_model/batch_normalization/beta/read@GPU-0@(64x1)->(64x1)
