AddN, (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), GPU, 0
AddN:AddN, (no input), (no output), GPU, 0
Cast_100, (int64 1), (int32 1), GPU, 0
Cast_100:Cast, (no input), (no output), GPU, 0
ConstantFolding/gradients/sparse_softmax_cross_entropy_loss/div_grad/BroadcastGradientArgs-folded-1, (1), (int32 1), GPU, 0
ConstantFoldingCtrl/PiecewiseConstant/case/Assert/AssertGuard/Switch_1, (boolean 1), (boolean 1), GPU, 0
Iterator, (1), (tf_resource 1), CPU, 0
IteratorGetNext, (tf_resource 1), (128x32x32x3), (int32 128x1), CPU, 0
L2Loss, (3x3x3x16), (1), GPU, 0
L2Loss:L2Loss, (no input), (no output), GPU, 0
L2Loss_1, (16x1), (1), GPU, 0
L2Loss_10, (3x3x16x16), (1), GPU, 0
L2Loss_10:L2Loss, (no input), (no output), GPU, 0
L2Loss_11, (16x1), (1), GPU, 0
L2Loss_11:L2Loss, (no input), (no output), GPU, 0
L2Loss_12, (16x1), (1), GPU, 0
L2Loss_12:L2Loss, (no input), (no output), GPU, 0
L2Loss_13, (3x3x16x16), (1), GPU, 0
L2Loss_13:L2Loss, (no input), (no output), GPU, 0
L2Loss_14, (16x1), (1), GPU, 0
L2Loss_14:L2Loss, (no input), (no output), GPU, 0
L2Loss_15, (16x1), (1), GPU, 0
L2Loss_15:L2Loss, (no input), (no output), GPU, 0
L2Loss_16, (3x3x16x16), (1), GPU, 0
L2Loss_16:L2Loss, (no input), (no output), GPU, 0
L2Loss_17, (16x1), (1), GPU, 0
L2Loss_17:L2Loss, (no input), (no output), GPU, 0
L2Loss_18, (16x1), (1), GPU, 0
L2Loss_18:L2Loss, (no input), (no output), GPU, 0
L2Loss_19, (3x3x16x16), (1), GPU, 0
L2Loss_19:L2Loss, (no input), (no output), GPU, 0
L2Loss_1:L2Loss, (no input), (no output), GPU, 0
L2Loss_2, (16x1), (1), GPU, 0
L2Loss_20, (16x1), (1), GPU, 0
L2Loss_20:L2Loss, (no input), (no output), GPU, 0
L2Loss_21, (16x1), (1), GPU, 0
L2Loss_21:L2Loss, (no input), (no output), GPU, 0
L2Loss_22, (3x3x16x16), (1), GPU, 0
L2Loss_22:L2Loss, (no input), (no output), GPU, 0
L2Loss_23, (16x1), (1), GPU, 0
L2Loss_23:L2Loss, (no input), (no output), GPU, 0
L2Loss_24, (16x1), (1), GPU, 0
L2Loss_24:L2Loss, (no input), (no output), GPU, 0
L2Loss_25, (3x3x16x16), (1), GPU, 0
L2Loss_25:L2Loss, (no input), (no output), GPU, 0
L2Loss_26, (16x1), (1), GPU, 0
L2Loss_26:L2Loss, (no input), (no output), GPU, 0
L2Loss_27, (16x1), (1), GPU, 0
L2Loss_27:L2Loss, (no input), (no output), GPU, 0
L2Loss_28, (3x3x16x16), (1), GPU, 0
L2Loss_28:L2Loss, (no input), (no output), GPU, 0
L2Loss_29, (16x1), (1), GPU, 0
L2Loss_29:L2Loss, (no input), (no output), GPU, 0
L2Loss_2:L2Loss, (no input), (no output), GPU, 0
L2Loss_3, (1x1x16x16), (1), GPU, 0
L2Loss_30, (16x1), (1), GPU, 0
L2Loss_30:L2Loss, (no input), (no output), GPU, 0
L2Loss_31, (3x3x16x16), (1), GPU, 0
L2Loss_31:L2Loss, (no input), (no output), GPU, 0
L2Loss_32, (16x1), (1), GPU, 0
L2Loss_32:L2Loss, (no input), (no output), GPU, 0
L2Loss_33, (16x1), (1), GPU, 0
L2Loss_33:L2Loss, (no input), (no output), GPU, 0
L2Loss_34, (1x1x16x32), (1), GPU, 0
L2Loss_34:L2Loss, (no input), (no output), GPU, 0
L2Loss_35, (3x3x16x32), (1), GPU, 0
L2Loss_35:L2Loss, (no input), (no output), GPU, 0
L2Loss_36, (32x1), (1), GPU, 0
L2Loss_36:L2Loss, (no input), (no output), GPU, 0
L2Loss_37, (32x1), (1), GPU, 0
L2Loss_37:L2Loss, (no input), (no output), GPU, 0
L2Loss_38, (3x3x32x32), (1), GPU, 0
L2Loss_38:L2Loss, (no input), (no output), GPU, 0
L2Loss_39, (32x1), (1), GPU, 0
L2Loss_39:L2Loss, (no input), (no output), GPU, 0
L2Loss_3:L2Loss, (no input), (no output), GPU, 0
L2Loss_4, (3x3x16x16), (1), GPU, 0
L2Loss_40, (32x1), (1), GPU, 0
L2Loss_40:L2Loss, (no input), (no output), GPU, 0
L2Loss_41, (3x3x32x32), (1), GPU, 0
L2Loss_41:L2Loss, (no input), (no output), GPU, 0
L2Loss_42, (32x1), (1), GPU, 0
L2Loss_42:L2Loss, (no input), (no output), GPU, 0
L2Loss_43, (32x1), (1), GPU, 0
L2Loss_43:L2Loss, (no input), (no output), GPU, 0
L2Loss_44, (3x3x32x32), (1), GPU, 0
