Op rank by total time	Time of 1 call, microseconds	Number of calls in 1 run	Total time in 1 run	% of total time	Cumulative time, microseconds	% of total cumulative time	Op name	Device	Input/output tensor dimensions
1	   1148.1	10	  11480.9	     14.2	  11480.9	     14.2	SparseSoftmaxCrossEntropyWithLogits	GPU-0	(4000x10000)((int32) 4000x1)->(4000x1)(4000x10000)
2	   3435.3	2	   6870.7	      8.5	  18351.6	     22.7	MatMul	GPU-0	(4000x10000)(200x10000)->(4000x200)
3	   3093.7	2	   6187.4	      7.6	  24539.0	     30.3	MatMul	GPU-0	(4000x200)(4000x10000)->(200x10000)
4	   2766.1	2	   5532.2	      6.8	  30071.2	     37.2	MatMul	GPU-0	(4000x200)(200x10000)->(4000x10000)
5	     64.2	80	   5134.2	      6.3	  35205.4	     43.5	MatMul	GPU-0	(200x800)(400x800)->(200x400)
6	      7.1	712	   5064.0	      6.3	  40269.4	     49.8	Mul	GPU-0	(200x200)(200x200)->(200x200)
7	     55.2	80	   4419.0	      5.5	  44688.4	     55.2	MatMul	GPU-0	(200x400)(400x800)->(200x800)
8	     86.7	40	   3469.1	      4.3	  48157.5	     59.5	strided_slice	GPU-0	(200x20x200)((int32) 3x1)((int32) 3x1)((int32) 3x1)->(200x200)
9	     42.4	80	   3390.5	      4.2	  51548.0	     63.7	MatMul	GPU-0	(200x400)(200x800)->(400x800)
10	   1347.0	2	   2694.1	      3.3	  54242.1	     67.0	BiasAddGrad	GPU-0	(4000x10000)->(10000x1)
11	   2580.7	1	   2580.7	      3.2	  56822.8	     70.2	BiasAdd	GPU-0	(no input)->(no output)
12	   1234.8	2	   2469.6	      3.1	  59292.4	     73.3	mul	GPU-0	(1|2|3x1)(4000x10000)->(4000x10000)
13	      6.8	240	   1623.1	      2.0	  60915.5	     75.3	SigmoidGrad	GPU-0	(200x200)(200x200)->(200x200)
14	     16.9	80	   1350.0	      1.7	  62265.5	     77.0	split	GPU-0	(1x1)(200x800)->(200x200)(200x200)(200x200)(200x200)
15	      7.9	156	   1238.9	      1.5	  63504.4	     78.5	Slice	GPU-0	(200x400)(2x1)(1|2|3x1)->(200x200)
16	     30.8	40	   1230.1	      1.5	  64734.5	     80.0	concat	GPU-0	(200x200)(200x200)(200x200)(200x200)(1x1)->(200x800)
17	     14.1	80	   1128.4	      1.4	  65862.9	     81.4	BiasAddGrad	GPU-0	(200x800)->(800x1)
18	      6.7	160	   1078.3	      1.3	  66941.2	     82.7	TanhGrad	GPU-0	(200x200)(200x200)->(200x200)
19	      6.4	160	   1020.4	      1.3	  67961.6	     84.0	Sigmoid	GPU-0	(200x200)(200x200)(200x200)(200x200)->(200x200)
20	     15.8	60	    948.4	      1.2	  68910.0	     85.2	StridedSliceGrad	GPU-0	(1x3)((int32) 3x1)((int32) 3x1)((int32) 3x1)(200x200)->(200x20x200)
21	      3.6	241	    856.9	      1.1	  69766.9	     86.2	ConcatV2	GPU-0	(no input)->(no output)
22	     10.6	80	    850.5	      1.1	  70617.4	     87.3	BiasAdd	GPU-0	(200x800)(800x1)->(200x800)
23	      7.2	114	    825.7	      1.0	  71443.1	     88.3	AddN	GPU-0	(200x200)(200x200)->(200x200)
24	     18.9	40	    756.4	      0.9	  72199.5	     89.2	concat	GPU-0	(200x200)(200x200)(1x1)->(200x400)
25	    346.8	2	    693.6	      0.9	  72893.1	     90.1	MEMCPYDtoH	GPU-0	(no input)->transfer 3200000 bytes
26	      6.8	80	    545.2	      0.7	  73438.3	     90.8	Tanh	GPU-0	(200x200)(200x200)(200x200)(200x200)->(200x200)
27	    136.1	4	    544.4	      0.7	  73982.7	     91.5	AddN	GPU-0	(200x20x200)(200x20x200)(200x20x200)(200x20x200)(200x20x200)(200x20x200)(200x20x200)(200x20x200)(200x20x200)(200x20x200)(200x20x200)(200x20x200)(200x20x200)(200x20x200)(200x20x200)(200x20x200)(200x20x200)(200x20x200)(200x20x200)(200x20x200)->(200x20x200)
