Op rank by total time	Time of 1 call, microseconds	Number of calls in 1 run	Total time in 1 run	% of total time	Cumulative time, microseconds	% of total cumulative time	Op name	Device	Input/output tensor dimensions
1	   1338.1	10	  13381.0	     15.2	  13381.0	     15.2	SparseSoftmaxCrossEntropyWithLogits	GPU-0	(4000x10000)(4000x1)->(4000x1)
2	   5258.2	2	  10516.5	     11.9	  23897.5	     27.1	MatMul	GPU-0	(4000x200)(200x10000)->(4000x10000)
3	   3373.7	2	   6747.4	      7.7	  30644.9	     34.8	MatMul	GPU-0	(4000x10000)(200x10000)->(4000x200)
4	   2976.6	2	   5953.1	      6.8	  36598.0	     41.5	MatMul	GPU-0	(4000x200)(4000x10000)->(200x10000)
5	      7.2	716	   5132.1	      5.8	  41730.1	     47.3	Mul	GPU-0	(200x200)(200x200)->(200x200)
6	     63.9	80	   5112.7	      5.8	  46842.8	     53.1	MatMul	GPU-0	(200x800)(400x800)->(200x400)
7	     54.9	80	   4388.4	      5.0	  51231.2	     58.1	MatMul	GPU-0	(200x400)(400x800)->(200x800)
8	     42.3	80	   3380.5	      3.8	  54611.7	     61.9	MatMul	GPU-0	(200x400)(200x800)->(400x800)
9	     83.8	40	   3351.2	      3.8	  57962.9	     65.7	strided_slice	GPU-0	(200x20x200)(3x1)(3x1)(3x1)->(200x200)
10	   1584.0	2	   3168.0	      3.6	  61130.9	     69.3	BiasAddGrad	GPU-0	(4000x10000)->(10000x1)
11	   2777.0	1	   2777.0	      3.1	  63907.9	     72.5	BiasAdd	GPU-0	(4000x10000)(10000x1)->(4000x10000)
12	   1145.2	2	   2290.5	      2.6	  66198.4	     75.1	mul	GPU-0	(4000x1)(4000x10000)->(4000x10000)
13	      6.7	240	   1618.4	      1.8	  67816.8	     76.9	Sigmoid	GPU-0	(200x200)->(200x200)
14	      6.7	240	   1596.6	      1.8	  69413.4	     78.7	SigmoidGrad	GPU-0	(200x200)(200x200)->(200x200)
15	     17.3	80	   1384.4	      1.6	  70797.8	     80.3	split	GPU-0	(1x1)(200x800)->(200x200)
16	      8.6	152	   1313.1	      1.5	  72110.9	     81.8	AddN	GPU-0	(200x200)(200x200)->(200x200)
17	      8.0	156	   1242.3	      1.4	  73353.2	     83.2	Slice	GPU-0	(200x400)(2x1)(2x1)->(200x200)
18	     30.1	40	   1205.2	      1.4	  74558.4	     84.6	concat	GPU-0	(200x200)(200x200)(200x200)(200x200)(1x1)->(200x800)
19	      6.9	160	   1098.9	      1.2	  75657.3	     85.8	Tanh	GPU-0	(200x200)->(200x200)
20	     13.4	80	   1075.4	      1.2	  76732.7	     87.0	BiasAddGrad	GPU-0	(200x800)->(800x1)
21	      6.5	160	   1047.7	      1.2	  77780.4	     88.2	TanhGrad	GPU-0	(200x200)(200x200)->(200x200)
