Op rank by total time	Time of 1 call, microseconds	Number of calls in 1 run	Total time in 1 run	% of total time	Cumulative time, microseconds	% of total cumulative time	Op name	Device	Input/output tensor dimensions
1	      7.8	3492	  27109.9	     10.2	  27109.9	     10.2	Mul	GPU-0	(128x128)(128x128)->(128x128)
2	   1715.7	10	  17157.1	      6.5	  44267.0	     16.7	SparseSoftmaxCrossEntropyWithLogits	GPU-0	(3712x17191)((int32) 3712x1)->(3712x1)(3712x17191)
3	     10.8	1047	  11287.3	      4.3	  55554.3	     21.0	Select	GPU-0	((type 10) 128x1)(128x128)(128x128)->(128x128)
4	     24.0	349	   8359.9	      3.2	  63914.2	     24.1	MatMul	GPU-0	(128x256)(128x512)->(256x512)
5	   8084.7	1	   8084.7	      3.1	  71998.9	     27.2	IteratorGetNext	CPU-0	((type 20) 1x1)->((int32) 128x29)((int32) 128x29)((int32) 128x29)((int32) 128x1)((int32) 128x1)
6	      7.1	1047	   7408.4	      2.8	  79407.3	     30.0	SigmoidGrad	GPU-0	(128x128)(128x128)->(128x128)
7	      7.4	989	   7293.3	      2.8	  86700.6	     32.7	AddN	GPU-0	(128x128)(128x128)->(128x128)
8	     20.4	349	   7123.4	      2.7	  93824.0	     35.4	MatMul	GPU-0	(128x256)(256x512)->(128x512)
9	     19.6	349	   6828.7	      2.6	 100652.7	     38.0	MatMul	GPU-0	(128x512)(256x512)->(128x256)
10	     39.2	174	   6822.8	      2.6	 107475.5	     40.6	concat	GPU-0	(128x128)(128x128)(128x128)(128x128)(1x1)->(128x512)
11	     38.7	174	   6730.5	      2.5	 114206.0	     43.1	concat	GPU-0	(128x128)(128x128)(1x1)->(128x256)
12	   3291.7	2	   6583.4	      2.5	 120789.4	     45.6	MatMul	GPU-0	(3712x17191)(128x17191)->(3712x128)
13	   3041.5	2	   6083.0	      2.3	 126872.4	     47.9	MatMul	GPU-0	(3712x128)(128x17191)->(3712x17191)
14	      7.8	698	   5415.1	      2.0	 132287.5	     49.9	Slice	GPU-0	(128x256)(2x1)((int32) 2x1)((int32) 2x1)->(128x128)
15	      7.3	698	   5118.5	      1.9	 137406.0	     51.9	TanhGrad	GPU-0	(128x128)(128x128)->(128x128)
16	     14.5	349	   5044.0	      1.9	 142450.0	     53.8	split	GPU-0	(1x1)(128x512)->(128x128)(128x128)(128x128)(128x128)
17	   2513.9	2	   5027.8	      1.9	 147477.8	     55.7	MatMul	GPU-0	(3712x128)(3712x17191)->(128x17191)
18	      7.0	698	   4883.2	      1.8	 152361.0	     57.5	Sigmoid	GPU-0	(128x128)(128x128)(128x128)(128x128)->(128x128)
19	     13.6	349	   4738.4	      1.8	 157099.4	     59.3	BiasAddGrad	GPU-0	(128x512)->(512x1)
20	      2.2	2095	   4563.1	      1.7	 161662.5	     61.0	Shape	GPU-0	(128x128)->((int32) 2x1)
21	      2.0	2095	   4153.0	      1.6	 165815.5	     62.6	StackPushV2	GPU-0	((type 20) 1x1)(1|2|3x1)((int32) 1x1)->((int32) 2x1)
22	     11.3	349	   3959.8	      1.5	 169775.3	     64.1	Add	GPU-0	(256x512)(256x512)->(256x512)
23	      2.0	1920	   3764.2	      1.4	 173539.5	     65.5	StackPushV2	GPU-0	((type 20) 1x1)(128x128)((int32) 1x1)->(128x128)
24	   1875.7	2	   3751.3	      1.4	 177290.8	     66.9	mul	GPU-0	(1|2|3x1)(3712x1)(3712x17191)->(3712x17191)
25	     10.7	349	   3723.1	      1.4	 181013.9	     68.3	RandomUniform	GPU-0	(1|2|3x1)->(128x128)
26	      1.8	2095	   3666.4	      1.4	 184680.3	     69.7	StackPopV2	GPU-0	((type 20) 1x1)((int32) 1x1)->((int32) 2x1)
27	      8.9	365	   3258.0	      1.2	 187938.3	     70.9	zeros_like	GPU-0	(128x128)->(128x128)
28	      1.7	1920	   3212.2	      1.2	 191150.5	     72.1	StackPopV2	GPU-0	((type 20) 1x1)((int32) 1x1)->(128x128)
29	      8.7	349	   3031.8	      1.1	 194182.3	     73.3	add	GPU-0	(1x1)(128x128)->(128x128)
30	      8.6	349	   3007.3	      1.1	 197189.6	     74.4	mul	GPU-0	(128x128)(128x128)->(128x128)
31	     17.0	174	   2949.4	      1.1	 200139.0	     75.5	div	GPU-0	(128x128)(1x1)->(128x128)
32	      8.4	349	   2941.0	      1.1	 203080.0	     76.6	BiasAdd	GPU-0	(128x512)(512x1)->(128x512)
33	      7.6	349	   2652.8	      1.0	 205732.8	     77.6	Add	GPU-0	(128x128)(128x128)->(128x128)
34	      7.6	349	   2636.5	      1.0	 208369.3	     78.6	Add	GPU-0	(128x128)(128x128)(128x128)(128x128)(1x1)->(128x128)
35	      7.4	349	   2592.9	      1.0	 210962.2	     79.6	Tanh	GPU-0	(128x128)->(128x128)
36	      7.4	349	   2590.3	      1.0	 213552.5	     80.6	Floor	GPU-0	(128x128)->(128x128)
37	      2.5	1047	   2580.4	      1.0	 216132.9	     81.6	ConcatV2	GPU-0	(no input)->(no output)
38	      1.3	1920	   2411.7	      0.9	 218544.6	     82.5	Sum	GPU-0	(128x128)(1x1)->(128x128)
39	      6.9	349	   2408.1	      0.9	 220952.7	     83.4	Sigmoid	GPU-0	(128x128)->(128x128)
40	      6.7	349	   2351.2	      0.9	 223303.9	     84.3	Add	GPU-0	(512x1)(512x1)->(512x1)
41	     13.5	174	   2345.5	      0.9	 225649.4	     85.2	RealDiv	GPU-0	(128x128)(1x1)->(128x128)
42	      6.5	349	   2285.0	      0.9	 227934.4	     86.0	Tanh	GPU-0	(128x128)(128x128)(128x128)(128x128)->(128x128)
43	      1.1	1920	   2061.5	      0.8	 229995.9	     86.8	Reshape	GPU-0	(128x128)((int32) 2x1)->(128x128)
44	      1.7	873	   1447.5	      0.5	 231443.4	     87.3	BroadcastGradientArgs	GPU-0	((int32) 2x1)((int32) 2x1)->((int32) 1x1)((int32) 1x1)
45	      2.8	349	    977.1	      0.4	 232420.5	     87.7	BroadcastGradientArgs	GPU-0	((int32) 2x1)(1|2|3x1)->((int32) 1x1)((int32) 2x1)
46	      2.6	349	    913.4	      0.3	 233333.9	     88.0	Mul	GPU-0	(no input)->(no output)
47	      2.3	391	    912.7	      0.3	 234246.6	     88.4	b_switch	GPU-0	(128x128)(128x128)->(128x128)((int32) 1x1)
48	    854.5	1	    854.5	      0.3	 235101.1	     88.7	TensorArrayScatterV3	CPU-0	((type 20) 1x1)(1x1)(1x1)(29x128x128)((type 20) 1x1)(1x1)->(1x1)
49	     13.5	60	    809.9	      0.3	 235911.0	     89.0	All	GPU-0	((type 10) 128x1)(1x1)->((type 10) 1x1)
50	      1.0	782	    759.9	      0.3	 236670.9	     89.3	Switch	GPU-0	(128x128)((int32) 1x1)((type 10) 1x1)->(128x128)
51	     12.4	60	    741.1	      0.3	 237412.0	     89.6	LogicalAnd	GPU-0	((type 10) 1x1)((type 10) 1x1)->((type 10) 1x1)
52	     12.2	60	    730.8	      0.3	 238142.8	     89.9	All	GPU-0	((type 10) 128x1)((int32) 1x1)(1x1)->((type 10) 1x1)
53	     12.5	58	    724.0	      0.3	 238866.8	     90.1	LogicalOr	GPU-0	((type 10) 128x1)((type 10) 128x1)->((type 10) 128x1)
54	      4.8	148	    704.3	      0.3	 239571.1	     90.4	f_acc	GPU-0	(1x1)->((type 20) 1x1)
55	     11.6	58	    674.6	      0.3	 240245.7	     90.7	Add	GPU-0	(1x1)(1x1)((int32) 1x1)->(1x1)
56	      0.9	727	    669.4	      0.3	 240915.1	     90.9	NextIteration	GPU-0	(128x128)->(128x128)
57	      5.2	123	    635.3	      0.2	 241550.4	     91.2	Const	GPU-0	(1x1 Const)->((int32) 1x1)
58	      2.2	270	    584.4	      0.2	 242134.8	     91.4	Merge	GPU-0	(128x128)(128x128)->(128x128)((int32) 1x1)
59	      9.1	60	    545.4	      0.2	 242680.2	     91.6	LogicalNot	GPU-0	((type 10) 1x1)->((type 10) 1x1)
60	      2.6	210	    539.0	      0.2	 243219.2	     91.8	Merge	GPU-0	((int32) 1x1)((int32) 1x1)->((int32) 1x1)((int32) 1x1)
61	    509.3	1	    509.3	      0.2	 243728.5	     92.0	TensorArrayGatherV3	CPU-0	((type 20) 1x1)(1x1)(1x1)(1x1)->(29x128x128)
62	      2.8	180	    502.9	      0.2	 244231.4	     92.2	b_acc	GPU-0	(256x512)(256x512)->(256x512)((int32) 1x1)
63	      2.9	174	    497.1	      0.2	 244728.5	     92.3	ShapeN	GPU-0	(128x128)(128x128)->((int32) 2x1)((int32) 2x1)
64	     16.2	30	    487.3	      0.2	 245215.8	     92.5	TensorArrayScatterV3	GPU-0	((type 20) 1x1)(1x1)(1x1)(29x128x128)((type 20) 1x1)(1x1)->(1x1)
65	      2.7	174	    477.6	      0.2	 245693.4	     92.7	ConcatOffset	GPU-0	(1x1)((int32) 2x1)((int32) 2x1)((int32) 2x1)((int32) 2x1)->((int32) 2x1)((int32) 2x1)
66	      2.6	174	    456.1	      0.2	 246149.5	     92.9	Shape	GPU-0	(128x128)(128x128)(128x128)(128x128)->((int32) 2x1)
67	     11.8	36	    425.9	      0.2	 246575.4	     93.0	L2Loss	GPU-0	(256x512)->(1x1)
68	      6.8	60	    405.2	      0.2	 246980.6	     93.2	MEMCPYHtoD	GPU-0	(no input)->transfer 65536 bytes
69	      6.3	58	    364.4	      0.1	 247345.0	     93.3	Add	GPU-0	(1x1)(1x1)->(1x1)
70	      2.1	174	    361.5	      0.1	 247706.5	     93.5	StackPushV2	GPU-0	((type 20) 1x1)(128x256)((int32) 1x1)->(128x256)
71	      1.2	296	    348.9	      0.1	 248055.4	     93.6	Enter	GPU-0	((type 20) 1x1)->((type 20) 1x1)
72	     11.8	29	    342.8	      0.1	 248398.2	     93.7	TensorArrayGradV3	GPU-0	((type 20) 1x1)(1x1)->((type 20) 1x1)(1x1)
73	      2.1	150	    317.0	      0.1	 248715.2	     93.9	Merge	GPU-0	((int32) 1x1)(128x128)->(128x128)((int32) 1x1)
74	      1.7	180	    314.5	      0.1	 249029.7	     94.0	b_acc	GPU-0	(512x1)(512x1)->(512x1)((int32) 1x1)
75	     10.4	30	    312.7	      0.1	 249342.4	     94.1	TensorArrayGradV3	CPU-0	((type 20) 1x1)(1x1)(1x1)->((type 20) 1x1)(1x1)
76	      5.1	60	    308.8	      0.1	 249651.2	     94.2	MEMCPYDtoH	GPU-0	(no input)->transfer 65536 bytes
77	     10.1	30	    302.7	      0.1	 249953.9	     94.3	TensorArrayScatterV3	GPU-0	((type 20) 1x1)(1x1)(1x1)(29x128x128)(1x1)->(1x1)
78	      1.7	174	    302.6	      0.1	 250256.5	     94.4	StackPopV2	GPU-0	((type 20) 1x1)((int32) 1x1)->(128x256)
79	    150.9	2	    301.8	      0.1	 250558.3	     94.5	MEMCPYHtoD	GPU-0	(no input)->transfer 1900544 bytes
80	    289.0	1	    289.0	      0.1	 250847.3	     94.7	ScatterSub	CPU-0	(17191x128)((int32) 3712x1)(3712x128)->(17191x128)
81	     91.2	3	    273.6	      0.1	 251120.9	     94.8	TensorArrayGatherV3	GPU-0	((type 20) 1x1)(1x1)(1x1)(1x1)->(29x128x128)
82	      4.3	58	    249.8	      0.1	 251370.7	     94.9	GreaterEqual	GPU-0	((int32) 1x1)((int32) 128x1)->((type 10) 128x1)
83	    123.6	2	    247.2	      0.1	 251617.9	     94.9	stack	GPU-0	(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)->(15x1)
84	      1.0	244	    246.4	      0.1	 251864.3	     95.0	MEMCPYDtoH	GPU-0	(no input)->transfer 1 bytes
85	      0.7	349	    244.9	      0.1	 252109.2	     95.1	Shape	GPU-0	((int32) 1x1)->((int32) 1x1)
86	      8.4	29	    242.3	      0.1	 252351.5	     95.2	TensorArrayGradV3	GPU-0	((type 20) 1x1)(1x1)((int32) 1x1)->((type 20) 1x1)(1x1)
87	      1.0	234	    235.0	      0.1	 252586.5	     95.3	MEMCPYHtoD	GPU-0	(no input)->transfer 128 bytes
88	    115.2	2	    230.3	      0.1	 252816.8	     95.4	L2Loss	CPU-0	(3712x128)->(1x1)
89	     37.2	6	    223.5	      0.1	 253040.3	     95.5	b_acc	GPU-0	(1x1 Const)->(256x512)
90	    217.3	1	    217.3	      0.1	 253257.6	     95.6	embedding_lookup	CPU-0	(17191x128)((int32) 29x128)((int32) 1x1)->(29x128x128)
91	      1.2	174	    214.4	      0.1	 253472.0	     95.6	NextIteration	GPU-0	(256x512)->(256x512)
92	      0.8	261	    211.2	      0.1	 253683.2	     95.7	Const	GPU-0	((int32) 1x1)->((int32) 1x1)
93	      2.4	87	    210.9	      0.1	 253894.1	     95.8	add	GPU-0	((int32) 1x1)(1x1)->((int32) 1x1)
94	      1.0	210	    206.3	      0.1	 254100.4	     95.9	Switch	GPU-0	((int32) 1x1)((int32) 1x1)((type 10) 1x1)->((int32) 1x1)
95	     33.4	6	    200.3	      0.1	 254300.7	     96.0	L2Loss	GPU-0	(128x17191)->(1x1)
96	    199.6	1	    199.6	      0.1	 254500.3	     96.0	mul	CPU-0	(3712x128)(1x1)->(3712x128)
97	      3.2	60	    189.4	      0.1	 254689.7	     96.1	GreaterEqual	GPU-0	((int32) 1x1)((int32) 1x1)((int32) 1x1)->((type 10) 1x1)
98	      1.1	174	    186.2	      0.1	 254875.9	     96.2	random_uniform	GPU-0	(128x128)->(128x128)
99	      7.6	24	    181.9	      0.1	 255057.8	     96.2	L2Loss	GPU-0	(512x1)->(1x1)
100	     89.7	2	    179.3	      0.1	 255237.1	     96.3	ApplyGradientDescent	GPU-0	(128x17191)(1x1)((int32) 1x1)(128x17191)->(128x17191)
101	      1.0	180	    174.4	      0.1	 255411.5	     96.4	Switch	GPU-0	(256x512)((int32) 1x1)((type 10) 1x1)->(256x512)
102	      1.0	174	    174.1	      0.1	 255585.6	     96.4	NextIteration	GPU-0	(512x1)->(512x1)
103	      2.7	60	    161.8	      0.1	 255747.4	     96.5	Less	GPU-0	((int32) 1x1)((int32) 1x1)((int32) 1x1)->((type 10) 1x1)
104	      5.4	29	    155.5	      0.1	 255902.9	     96.6	TensorArrayWriteV3	GPU-0	((type 20) 1x1)((int32) 1x1)(128x128)(1x1)->(1x1)
105	      2.6	60	    153.8	      0.1	 256056.7	     96.6	b_acc	GPU-0	(1x1)(1x1)->(1x1)((int32) 1x1)
106	      1.8	87	    152.4	      0.1	 256209.1	     96.7	Const	GPU-0	((int32) 1x1)->(1x1)
107	     12.7	12	    152.3	      0.1	 256361.4	     96.7	ApplyGradientDescent	GPU-0	(256x512)(1x1)((int32) 1x1)(256x512)->(256x512)
108	      5.2	29	    152.2	      0.1	 256513.6	     96.8	TensorArrayWriteV3	GPU-0	((type 20) 1x1)(1x1)((int32) 1x1)(128x128)(1x1)->(1x1)
109	      0.8	180	    150.4	      0.1	 256664.0	     96.9	Switch	GPU-0	(512x1)((int32) 1x1)((type 10) 1x1)->(512x1)
110	      4.9	29	    142.7	      0.1	 256806.7	     96.9	TensorArrayReadV3	CPU-0	((type 20) 1x1)((int32) 1x1)(1x1)->(128x128)
111	    141.7	1	    141.7	      0.1	 256948.4	     97.0	Less	GPU-0	((int32) 29x1)(1|2|3x1)->((type 10) 128x29)
112	     11.7	12	    140.1	      0.1	 257088.5	     97.0	mul	GPU-0	(256x512)(1x1)->(256x512)
113	      2.4	58	    139.7	      0.1	 257228.2	     97.1	Add	GPU-0	((int32) 1x1)((int32) 1x1)->((int32) 1x1)
114	      4.8	29	    139.5	      0.1	 257367.7	     97.1	TensorArrayReadV3	GPU-0	((type 20) 1x1)((int32) 1x1)(1x1)->(128x128)
115	    137.9	1	    137.9	      0.1	 257505.6	     97.2	mul	CPU-0	(3712x128)(1x1)((int32) 1x1)->(3712x128)
116	      4.7	29	    137.4	      0.1	 257643.0	     97.2	TensorArrayReadV3	GPU-0	((type 20) 1x1)(1x1)((int32) 1x1)(1x1)->(128x128)
117	     65.2	2	    130.5	      0.0	 257773.5	     97.3	mul	GPU-0	(128x17191)(1x1)->(128x17191)
118	      1.1	116	    128.8	      0.0	 257902.3	     97.3	mul	GPU-0	(128x128)->(128x128)
119	      4.4	29	    126.5	      0.0	 258028.8	     97.4	TensorArrayWriteV3	CPU-0	((type 20) 1x1)(1x1)((int32) 1x1)(128x128)(1x1)->(1x1)
120	      1.0	121	    122.6	      0.0	 258151.4	     97.4	Switch	GPU-0	(1x1)((int32) 1x1)((type 10) 1x1)->(1x1)
121	      1.0	122	    122.6	      0.0	 258274.0	     97.5	MEMCPYHtoD	GPU-0	(no input)->transfer 1 bytes
122	      2.0	58	    114.7	      0.0	 258388.7	     97.5	StackPushV2	GPU-0	((type 20) 1x1)((int32) 1x1)((int32) 1x1)->((int32) 1x1)
123	     19.1	6	    114.4	      0.0	 258503.1	     97.5	L2Loss	GPU-0	(3712x128)->(1x1)
124	      1.0	116	    112.1	      0.0	 258615.2	     97.6	NextIteration	GPU-0	(1x1)->(1x1)
125	      1.9	58	    110.5	      0.0	 258725.7	     97.6	StackPopV2	GPU-0	((type 20) 1x1)((int32) 1x1)->((int32) 1x1)
126	      1.9	58	    109.5	      0.0	 258835.2	     97.7	Sub	GPU-0	((int32) 1x1)((int32) 1x1)->((int32) 1x1)
127	    108.5	1	    108.5	      0.0	 258943.7	     97.7	TensorArray	GPU-0	((int32) 1x1)->((type 20) 1x1)(1x1)
128	      1.8	58	    107.2	      0.0	 259050.9	     97.8	div_recip	GPU-0	((int32) 1x1)->(1x1)
129	    105.6	1	    105.6	      0.0	 259156.5	     97.8	ListDiff-folded-0	CPU-0	(1x1 Const)->((int32) 2x1)
130	      1.2	87	    102.6	      0.0	 259259.1	     97.8	NextIteration	GPU-0	((int32) 1x1)->((int32) 1x1)
131	      3.5	29	    101.2	      0.0	 259360.3	     97.9	add	CPU-0	((int32) 1x1)((int32) 1x1)->((int32) 1x1)
132	     49.9	2	     99.8	      0.0	 259460.1	     97.9	x	GPU-0	(1x1 Const)->(1x1)
133	      8.2	12	     99.0	      0.0	 259559.1	     97.9	mul	GPU-0	(512x1)(1x1)->(512x1)
134	      8.1	12	     97.1	      0.0	 259656.2	     98.0	ApplyGradientDescent	GPU-0	(512x1)(1x1)((int32) 1x1)(512x1)->(512x1)
135	      3.3	29	     96.4	      0.0	 259752.6	     98.0	cond_grad	GPU-0	(1x1)(1x1)->(1x1)((int32) 1x1)
136	     95.6	1	     95.6	      0.0	 259848.2	     98.1	b_sync	GPU-0	(1x1 Const)->(1x1)
137	      1.6	58	     95.5	      0.0	 259943.7	     98.1	RealDiv_recip	GPU-0	((int32) 1x1)->(1x1)
138	     46.3	2	     92.6	      0.0	 260036.3	     98.1	ToFloat	GPU-0	((int32) 1x1)->(1x1)
139	      3.1	30	     91.6	      0.0	 260127.9	     98.2	Merge	GPU-0	((type 10) 128x1)((type 10) 128x1)->((type 10) 128x1)((int32) 1x1)
140	      3.3	28	     91.5	      0.0	 260219.4	     98.2	StackPushV2	CPU-0	((type 20) 1x1)((int32) 1x1)(1x1)->((int32) 1x1)
141	     91.0	1	     91.0	      0.0	 260310.4	     98.2	embedding_encoder	GPU-0	(1x1 Const)->(7709x128)
142	     22.3	4	     89.1	      0.0	 260399.5	     98.3	tags	CPU-0	(1x1 Const)->((type 7) 1x1)
143	      1.5	60	     88.5	      0.0	 260488.0	     98.3	LoopCond	GPU-0	((type 10) 1x1)->((type 10) 1x1)
144	      1.5	58	     88.1	      0.0	 260576.1	     98.3	mul	GPU-0	(128x128)((int32) 1x1)->(128x128)
145	     14.1	6	     84.8	      0.0	 260660.9	     98.4	transpose	GPU-0	((int32) 128x29)((int32) 128x29)((int32) 128x29)((int32) 128x1)((int32) 128x1)((int32) 2x1)->((int32) 29x128)
146	      1.5	58	     84.6	      0.0	 260745.5	     98.4	keep_prob	GPU-0	((int32) 1x1)->(1x1)
147	      3.0	28	     83.4	      0.0	 260828.9	     98.4	Shape	CPU-0	(128x128)->((int32) 2x1)
148	      1.4	60	     82.1	      0.0	 260911.0	     98.5	Switch	GPU-0	(1x1)((type 10) 1x1)->(1x1)
149	      2.6	30	     77.6	      0.0	 260988.6	     98.5	GreaterEqual	GPU-0	(1x1)(1x1)->(1x1)((int32) 1x1)
150	      1.0	72	     74.2	      0.0	 261062.8	     98.5	MEMCPYDtoH	GPU-0	(no input)->transfer 4 bytes
151	      0.8	87	     73.7	      0.0	 261136.5	     98.5	Switch	CPU-0	((type 20) 1x1)((type 10) 1x1)(1x1)((int32) 1x1)->((type 20) 1x1)
152	     36.5	2	     73.1	      0.0	 261209.6	     98.6	ScatterSub	GPU-0	(7709x128)((int32) 3712x1)(3712x128)->(7709x128)
153	      1.0	68	     70.6	      0.0	 261280.2	     98.6	MEMCPYHtoD	GPU-0	(no input)->transfer 4 bytes
154	      2.3	30	     68.2	      0.0	 261348.4	     98.6	y	CPU-0	(1x1)(1x1)->(1x1)((int32) 1x1)
155	      2.3	28	     65.5	      0.0	 261413.9	     98.6	StackPopV2	CPU-0	((type 20) 1x1)->((int32) 2x1)
156	      2.2	29	     64.7	      0.0	 261478.6	     98.7	NextIteration	GPU-0	((int32) 1x1)(128x128)((type 10) 128x1)(128x128)(128x128)(128x128)(128x128)(128x128)((int32) 2x1)((int32) 2x1)(128x128)(128x128)((int32) 2x1)((int32) 2x1)((int32) 2x1)((int32) 2x1)(128x128)((int32) 2x1)((int32) 2x1)(128x128)(128x128)((int32) 2x1)(128x256)(128x128)((int32) 2x1)((int32) 2x1)(128x128)(128x128)((int32) 2x1)(128x128)((int32) 2x1)((int32) 2x1)(128x128)(128x128)((int32) 2x1)((int32) 2x1)((int32) 2x1)((int32) 2x1)(128x128)((int32) 2x1)((int32) 2x1)(128x128)(128x128)((int32) 2x1)(128x256)(128x128)((int32) 2x1)((int32) 2x1)(128x128)(128x128)((int32) 2x1)(128x128)((int32) 2x1)((int32) 2x1)(128x128)(128x128)((int32) 2x1)((int32) 2x1)((int32) 2x1)((int32) 2x1)(128x128)((int32) 2x1)((int32) 2x1)(128x128)(128x128)((int32) 2x1)(128x256)(128x128)((int32) 2x1)((int32) 2x1)(128x128)(128x128)((int32) 2x1)(128x128)((int32) 1x1)->((int32) 1x1)
157	      1.1	58	     64.7	      0.0	 261543.3	     98.7	y	GPU-0	((int32) 1x1)->((int32) 1x1)
158	      2.1	30	     63.4	      0.0	 261606.7	     98.7	b_switch	GPU-0	(1x1)(1x1)->(1x1)((int32) 1x1)
159	      2.2	29	     63.3	      0.0	 261670.0	     98.7	StackPushV2	GPU-0	((type 20) 1x1)((type 10) 1x1)((int32) 1x1)->((type 10) 1x1)
