Op rank by total time	Time of 1 call, microseconds	Number of calls in 1 run	Total time in 1 run	% of total time	Cumulative time, microseconds	% of total cumulative time	Op name	Device	Input/output tensor dimensions
1	      7.8	3142	  24432.4	      9.0	  24432.4	      9.0	Mul	GPU-0	(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)->(128x128)
2	   1720.2	10	  17202.1	      6.3	  41634.5	     15.4	SparseSoftmaxCrossEntropyWithLogits	GPU-0	(3712x17191)((int32) 3712x1)->(3712x1)
3	  11388.7	1	  11388.7	      4.2	  53023.2	     19.6	IteratorGetNext	CPU-0	(1x1)->((int32) 128x29)
4	     24.6	349	   8582.0	      3.2	  61605.2	     22.7	MatMul	GPU-0	(128x256)(128x256)(128x256)(128x256)(128x256)(128x256)(128x256)(128x256)(128x256)(128x256)(128x256)(128x256)(128x256)(128x256)(128x256)(128x256)(128x256)(128x256)(128x256)(128x256)(128x256)(128x256)(128x256)(128x256)(128x256)(128x256)(128x256)(128x256)(128x256)(128x512)(128x512)(128x512)(128x512)(128x512)(128x512)(128x512)(128x512)(128x512)(128x512)(128x512)(128x512)(128x512)(128x512)(128x512)(128x512)(128x512)(128x512)(128x512)(128x512)(128x512)(128x512)(128x512)(128x512)(128x512)(128x512)(128x512)(128x512)(128x512)->(256x512)
5	      7.3	1047	   7602.2	      2.8	  69207.4	     25.5	SigmoidGrad	GPU-0	(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)->(128x128)
6	     20.6	349	   7173.3	      2.6	  76380.7	     28.2	MatMul	GPU-0	(128x256)(128x256)(128x256)(128x256)(128x256)(128x256)(128x256)(128x256)(128x256)(128x256)(128x256)(128x256)(128x256)(128x256)(128x256)(128x256)(128x256)(128x256)(128x256)(128x256)(128x256)(128x256)(128x256)(128x256)(128x256)(128x256)(128x256)(128x256)(128x256)(256x512)->(128x512)
7	     40.1	174	   6970.8	      2.6	  83351.5	     30.7	concat	GPU-0	(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(?x128)(1x1)->(128x256)
8	     39.5	174	   6876.0	      2.5	  90227.5	     33.3	concat	GPU-0	(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(128x128)(1x1)->(128x512)
9	     19.6	349	   6827.5	      2.5	  97055.0	     35.8	MatMul	GPU-0	(128x512)(128x512)(128x512)(128x512)(128x512)(128x512)(128x512)(128x512)(128x512)(128x512)(128x512)(128x512)(128x512)(128x512)(128x512)(128x512)(128x512)(128x512)(128x512)(128x512)(128x512)(128x512)(128x512)(128x512)(128x512)(128x512)(128x512)(128x512)(128x512)(256x512)->(128x256)
10	   3396.8	2	   6793.5	      2.5	 103848.5	     38.3	MatMul	GPU-0	(3712x17191)(128x17191)->(3712x128)
