Op rank by total time	Time of 1 call, microseconds	Number of calls in 1 run	Total time in 1 run	% of total time	Cumulative time, microseconds	% of total cumulative time	Op name	Device	Input/output tensors
1	      9.5	188	   1788.8	     10.0	   1788.8	     10.0	BatchNormWithGlobalNormalization	GPU-0	(no input)->(no output)
2	    191.4	9	   1722.4	      9.6	   3511.2	     19.6	AvgPool	GPU-0	(no input)->(no output)
3	     47.8	20	    955.5	      5.3	   4466.7	     24.9	Conv2D	GPU-0	(1x17x17x192)(7x1x192x192)->(1x17x17x192)
4	     94.4	10	    943.8	      5.3	   5410.5	     30.2	Conv2D	GPU-0	(1x8x8x448)(3x3x448x384)->(1x8x8x384)
5	     44.5	20	    889.3	      5.0	   6299.8	     35.1	Conv2D	GPU-0	(1x8x8x384)(1x3x384x384)->(1x8x8x384)
6	     42.9	20	    858.1	      4.8	   7157.9	     39.9	Conv2D	GPU-0	(1x8x8x384)(3x1x384x384)->(1x8x8x384)
7	     42.4	20	    848.7	      4.7	   8006.6	     44.7	Conv2D	GPU-0	(1x17x17x192)(1x7x192x192)->(1x17x17x192)
8	     37.7	20	    754.6	      4.2	   8761.2	     48.9	Conv2D	GPU-0	(1x17x17x160)(7x1x160x160)->(1x17x17x160)
9	     36.7	20	    734.2	      4.1	   9495.4	     53.0	Conv2D	GPU-0	(1x17x17x160)(1x7x160x160)->(1x17x17x160)
10	      5.9	99	    585.9	      3.3	  10081.3	     56.2	_ZN10tensorflow83_GLOBAL__N__tmpxft_00001e6f_check_numerics_op_gpu_cu_cpp1_ii_99cbec1319CheckNumericsKernelIfEEvPKT_iPi	GPU-0	(no input)->(no output)
11	     35.5	15	    532.6	      3.0	  10613.9	     59.2	Conv2D	GPU-0	(1x35x35x48)(5x5x48x64)->(1x35x35x64)
12	      5.3	94	    496.5	      2.8	  11110.4	     62.0	Relu	GPU-0	(no input)->(no output)
13	     97.7	5	    488.3	      2.7	  11598.7	     64.7	Conv2D	GPU-0	(1x35x35x288)(3x3x288x384)->(1x17x17x384)
14	     37.7	12	    452.2	      2.5	  12050.9	     67.2	Conv2D	GPU-0	(1x17x17x768)(1x1x768x192)->(1x17x17x192)
15	     82.8	5	    414.0	      2.3	  12464.9	     69.5	Conv2D	GPU-0	(1x73x73x80)(3x3x80x192)->(1x71x71x192)
16	     41.4	10	    414.0	      2.3	  12878.9	     71.8	Conv2D	GPU-0	(1x17x17x160)(7x1x160x192)->(1x17x17x192)
17	     37.6	10	    375.7	      2.1	  13254.6	     73.9	Conv2D	GPU-0	(1x17x17x160)(1x7x160x192)->(1x17x17x192)
18	     75.1	5	    375.7	      2.1	  13630.3	     76.0	Conv2D	GPU-0	(1x147x147x32)(3x3x32x64)->(1x147x147x64)
19	     17.3	20	    345.4	      1.9	  13975.7	     77.9	Conv2D	GPU-0	(1x35x35x64)(3x3x64x96)->(1x35x35x96)
20	     21.0	15	    315.5	      1.8	  14291.2	     79.7	Conv2D	GPU-0	(1x35x35x96)(3x3x96x96)->(1x35x35x96)
21	     27.6	10	    276.5	      1.5	  14567.7	     81.2	Conv2D	GPU-0	(1x17x17x128)(1x7x128x128)->(1x17x17x128)
22	     55.2	5	    276.1	      1.5	  14843.8	     82.8	Conv2D	GPU-0	(1x17x17x192)(3x3x192x320)->(1x8x8x320)
23	     26.4	10	    263.9	      1.5	  15107.7	     84.3	Conv2D	GPU-0	(1x17x17x128)(7x1x128x128)->(1x17x17x128)
24	      1.3	198	    255.4	      1.4	  15363.1	     85.7	MEMCPYDtoH	GPU-0	(no input)->(output 8 bytes)
25	     47.6	5	    237.9	      1.3	  15601.0	     87.0	MaxPool	GPU-0	(no input)->(no output)
26	     47.3	5	    236.7	      1.3	  15837.7	     88.3	Conv2D	GPU-0	(1x17x17x192)(3x3x192x192)->(1x8x8x192)
27	     45.6	5	    227.9	      1.3	  16065.6	     89.6	Conv2D	GPU-0	(1x149x149x32)(3x3x32x32)->(1x147x147x32)
28	      4.1	46	    190.8	      1.1	  16256.4	     90.7	Concat	GPU-0	(no input)->(no output)
29	    183.5	1	    183.5	      1.0	  16439.9	     91.7	DecodeJpeg	CPU-0	(string 1)->(uint8 100x100x3)
