Op rank by total time	Time of 1 call, microseconds	Number of calls in 1 run	Total time in 1 run	% of total time	Cumulative time, microseconds	% of total cumulative time	Op name	Device	Input/output tensors
1	   3953.8	      1.0	   3953.8	     38.4	   3953.8	     38.4	IteratorGetNext	CPU-0	(tf_resource 1x1)->(100x784)(int32 100x1)
2	    830.1	      1.0	    830.1	      8.1	   4783.9	     46.4	ResourceApplyAdam	GPU-0	(tf_resource 1x1)(tf_resource 1x1)(tf_resource 1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(3136x1024)->(no output info)
3	    798.4	      1.0	    798.4	      7.7	   5582.3	     54.2	Conv2DBackpropFilter	GPU-0	(100x32x14x14)(int32 4x1)(100x64x14x14)->(5x5x32x64)
4	    790.2	      1.0	    790.2	      7.7	   6372.5	     61.8	Conv2DBackpropInput	GPU-0	(int32 4x1)(int32 4x1)
5	    632.7	      1.0	    632.7	      6.1	   7005.2	     68.0	Conv2D	GPU-0	(100x32x14x14)(5x5x32x64)->(100x64x14x14)
6	    263.2	      1.0	    263.2	      2.6	   7268.4	     70.5	MatMul	GPU-0	(100x1024)(3136x1024)->(100x3136)
7	    261.4	      1.0	    261.4	      2.5	   7529.8	     73.1	Conv2DBackpropFilter	GPU-0	(100x1x28x28)(int32 4x1)(100x32x28x28)->(5x5x1x32)
8	    253.7	      1.0	    253.7	      2.5	   7783.5	     75.5	MatMul	GPU-0	(100x3136)(3136x1024)->(100x1024)
9	    222.5	      1.0	    222.5	      2.2	   8006.0	     77.7	ReluGrad	GPU-0	(100x32x28x28)(100x32x28x28)->(100x32x28x28)
10	    202.2	      1.0	    202.2	      2.0	   8208.2	     79.7	MatMul	GPU-0	(100x3136)(100x1024)->(3136x1024)
11	    167.6	      1.0	    167.6	      1.6	   8375.8	     81.3	MaxPoolGrad	GPU-0	(100x32x28x28)(100x32x14x14)(100x32x14x14)->(100x32x28x28)
12	    162.4	      1.0	    162.4	      1.6	   8538.2	     82.9	BiasAdd	GPU-0	(100x32x28x28)(32x1)->(100x32x28x28)
13	    132.9	      1.0	    132.9	      1.3	   8671.1	     84.1	Relu	GPU-0	(100x32x28x28)->(100x32x28x28)
14	    129.1	      1.0	    129.1	      1.3	   8800.2	     85.4	MaxPoolGrad	GPU-0	(100x64x14x14)(100x64x7x7)(100x64x7x7)->(100x64x14x14)
15	    119.5	      1.0	    119.5	      1.2	   8919.7	     86.6	Conv2D	GPU-0	(100x1x28x28)(5x5x1x32)->(100x32x28x28)
