Op rank by total time	Time of 1 call, microseconds	Number of calls in 1 run	Total time in 1 run	% of total time	Cumulative time, microseconds	% of total cumulative time	(FL)OPs in RegisterStatistics	GFLOP/S achieved	Op name	Device	Input/output tensors
1	 14550.69	     0.35	  5092.74	     3.88	  5092.74	     3.88	     0.00	     0.00	IteratorGetNext	CPU-0	(tf_resource 1x1)->(int32 128x19)(int32 128x19)(int32 128x19)(int32 128x1)(int32 128x1)
2	   108.08	    42.00	  4539.54	     3.46	  9632.28	     7.33	     0.00	     0.00	Mul	GPU-0	(128x128)(128x128)->(128x128)
3	    65.99	    57.00	  3761.21	     2.86	 13393.49	    10.19	     0.00	     0.00	Shape	GPU-0	(128x128)->(int32 2x1)
4	   814.76	     4.00	  3259.06	     2.48	 16652.55	    12.68	     0.00	     0.00	TensorArrayV3	GPU-0	(int32 1x1)->(tf_resource 1x1)(1x1)
5	  9195.03	     0.35	  3218.26	     2.45	 19870.81	    15.12	     0.00	     0.00	SparseSoftmaxCrossEntropyWithLogits	GPU-0	(2432x17191)(int32 2432x1)->(2432x1)(2432x17191)
6	    59.30	    52.00	  3083.74	     2.35	 22954.55	    17.47	     0.00	     0.00	StackPushV2	GPU-0	(tf_resource 1x1)(int32 2x1)->(int32 2x1)
7	    65.48	    44.00	  2881.30	     2.19	 25835.85	    19.67	     0.00	     0.00	StackPushV2	GPU-0	(tf_resource 1x1)(128x128)->(128x128)
8	 12810.95	     0.22	  2818.41	     2.15	 28654.26	    21.81	     0.00	     0.00	IteratorGetNext	CPU-0	(tf_resource 1x1)->(int32 128x29)(int32 128x29)(int32 128x29)(int32 128x1)(int32 128x1)
9	    53.71	    52.00	  2792.67	     2.13	 31446.93	    23.94	     0.00	     0.00	StackPopV2	GPU-0	(tf_resource 1x1)->(int32 2x1)
10	 10949.05	     0.22	  2408.79	     1.83	 33855.72	    25.77	     0.00	     0.00	SparseSoftmaxCrossEntropyWithLogits	GPU-0	(3712x17191)(int32 3712x1)->(3712x1)(3712x17191)
11	    50.66	    44.00	  2228.85	     1.70	 36084.57	    27.47	     0.00	     0.00	StackPopV2	GPU-0	(tf_resource 1x1)->(128x128)
12	   451.70	     4.00	  1806.80	     1.38	 37891.37	    28.84	     0.00	     0.00	ConcatV2	GPU-0	(128x128)(128x128)(128x128)(128x128)(int32 1x1)->(128x512)
13	   356.63	     5.00	  1783.14	     1.36	 39674.51	    30.20	     0.00	     0.00	TensorArrayGradV3	GPU-0	(tf_resource 1x1)(1x1)->(tf_resource 1x1)(1x1)
14	   584.33	     3.00	  1752.98	     1.33	 41427.49	    31.53	     0.00	     0.00	MatMul	GPU-0	(128x256)(128x512)->(256x512)
15	    80.65	    21.00	  1693.73	     1.29	 43121.22	    32.82	     0.00	     0.00	BroadcastGradientArgs	GPU-0	(int32 2x1)(int32 2x1)->(int32 1x1)(int32 1x1)
16	   119.54	    14.00	  1673.61	     1.27	 44794.83	    34.10	     0.00	     0.00	Select	GPU-0	(boolean 128x1)(128x128)(128x128)->(128x128)
17	   273.51	     6.00	  1641.08	     1.25	 46435.91	    35.35	     0.00	     0.00	MEMCPYHtoD	GPU-0	(Transfer)->(1024 bytes)
18	 14874.18	     0.11	  1636.16	     1.25	 48072.07	    36.59	     0.00	     0.00	IteratorGetNext	CPU-0	(tf_resource 1x1)->(int32 128x9)(int32 128x9)(int32 128x9)(int32 128x1)(int32 128x1)
19	   500.64	     3.00	  1501.93	     1.14	 49574.00	    37.73	     0.00	     0.00	MatMul	GPU-0	(128x512)(256x512)->(128x256)
20	   114.99	    12.00	  1379.91	     1.05	 50953.91	    38.78	     0.00	     0.00	AddN	GPU-0	(128x128)(128x128)->(128x128)
21	    68.24	    19.00	  1296.48	     0.99	 52250.39	    39.77	     0.00	     0.00	Merge	GPU-0	(128x128)(128x128)->(128x128)(int32 1x1)
22	   105.44	    12.00	  1265.34	     0.96	 53515.73	    40.73	     0.00	     0.00	SigmoidGrad	GPU-0	(128x128)(128x128)->(128x128)
23	 12509.80	     0.10	  1250.98	     0.95	 54766.71	    41.69	     0.00	     0.00	IteratorGetNext	CPU-0	(tf_resource 1x1)->(int32 128x39)(int32 128x39)(int32 128x39)(int32 128x1)(int32 128x1)
24	    29.50	    42.00	  1239.20	     0.94	 56005.91	    42.63	     0.00	     0.00	Reshape	GPU-0	(128x128)(int32 2x1)->(128x128)
25	  3322.43	     0.35	  1162.85	     0.89	 57168.76	    43.51	     0.00	     0.00	MatMul	GPU-0	(2432x17191)(128x17191)->(2432x128)
