Op rank by total time	Time of 1 call, microseconds	Number of calls in 1 run	Total time in 1 run	% of total time	Cumulative time, microseconds	% of total cumulative time	(FL)OPs in RegisterStatistics	GFLOP/S achieved	Op name	Device	Input/output tensors
1	  1065.44	     1.00	  1065.44	    12.07	  1065.44	    12.07	     0.00	     0.00	SparseSoftmaxCrossEntropyWithLogits	GPU-0	(400x10000)(int32 400x1)->(400x1)(400x10000)
2	    20.62	    40.00	   824.77	     9.35	  1890.21	    21.42	512000000.00	   620.78	MatMul	GPU-0	(20x800)(400x800)->(20x400)
3	    19.43	    40.00	   777.01	     8.80	  2667.22	    30.22	512000000.00	   658.94	MatMul	GPU-0	(20x400)(20x800)->(400x800)
4	   676.36	     1.00	   676.36	     7.66	  3343.58	    37.89	1600000000.00	  2365.60	MatMul	GPU-0	(400x10000)(200x10000)->(400x200)
5	   607.24	     1.00	   607.24	     6.88	  3950.82	    44.77	1600000000.00	  2634.87	MatMul	GPU-0	(400x200)(200x10000)->(400x10000)
6	   580.90	     1.00	   580.90	     6.58	  4531.72	    51.35	1600000000.00	  2754.35	MatMul	GPU-0	(400x200)(400x10000)->(200x10000)
7	    23.44	    20.00	   468.84	     5.31	  5000.56	    56.67	     0.00	     0.00	LSTMBlockCell	GPU-0	(20x200)(20x200)(20x200)(400x800)(200x1)(200x1)(200x1)(800x1)->(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)
8	    23.03	    20.00	   460.56	     5.22	  5461.12	    61.88	     0.00	     0.00	LSTMBlockCell	GPU-0	(20x200)(20x200)(20x200)(400x800)(1|2|3x1)(1|2|3x1)(1|2|3x1)(800x1)->(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)
9	   210.93	     2.00	   421.86	     4.78	  5882.98	    66.66	12160000.00	    28.82	AddN	GPU-0	(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)(400x800)->(400x800)
10	   241.81	     1.00	   241.81	     2.74	  6124.79	    69.40	4000000.00	    16.54	BiasAdd	GPU-0	(400x10000)(10000x1)->(400x10000)
11	    11.84	    19.00	   224.96	     2.55	  6349.75	    71.95	     0.00	     0.00	LSTMBlockCellGrad	GPU-0	(20x200)(20x200)(20x200)(400x800)(200x1)(200x1)(200x1)(800x1)(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)(20x800)(200x1)(200x1)(200x1)(20x200)->(20x200)(20x800)(200x1)(200x1)(200x1)
12	   215.03	     1.00	   215.03	     2.44	  6564.78	    74.39	4000000.00	    18.60	Mul	GPU-0	(400x1)(400x10000)->(400x10000)
13	    11.01	    19.00	   209.15	     2.37	  6773.93	    76.76	     0.00	     0.00	LSTMBlockCellGrad	GPU-0	(20x200)(20x200)(20x200)(400x800)(1|2|3x1)(1|2|3x1)(1|2|3x1)(800x1)(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)(20x200)(20x800)(200x1)(200x1)(200x1)(20x200)->(20x200)(20x800)(200x1)(200x1)(200x1)
14	     2.20	    76.00	   167.31	     1.90	  6941.24	    78.66	     0.00	     0.00	Slice	GPU-0	(20x400)(1)(1)->(20x200)
15	   154.19	     1.00	   154.19	     1.75	  7095.43	    80.40	     0.00	     0.00	ApplyGradientDescent	GPU-0	(200x10000)(1x1)(200x10000)->(200x10000)
16	     3.64	    40.00	   145.52	     1.65	  7240.95	    82.05	     0.00	     0.00	ConcatV2	GPU-0	(20x200)(20x200)(1)->(20x400)
17	     3.60	    40.00	   144.08	     1.63	  7385.03	    83.69	608000.00	     4.22	BiasAddGrad	GPU-0	(20x800)->(800x1)
18	   105.82	     1.00	   105.82	     1.20	  7490.85	    84.88	2000000.00	    18.90	Mul	GPU-0	(200x10000)(1x1)->(200x10000)
19	   104.89	     1.00	   104.89	     1.19	  7595.74	    86.07	3990000.00	    38.04	BiasAddGrad	GPU-0	(400x10000)->(10000x1)
20	     5.11	    18.00	    92.07	     1.04	  7687.81	    87.12	     0.00	     0.00	StridedSliceGrad	GPU-0	(1|2|3x1)(1|2|3x1)(int32 3x1)(1|2|3x1)(20x200)->(20x20x200)
21	     2.37	    37.00	    87.76	     0.99	  7775.57	    88.11	148000.00	     1.69	AddN	GPU-0	(20x200)(20x200)->(20x200)
22	    74.82	     1.00	    74.82	     0.85	  7850.39	    88.96	     0.00	     0.00	GatherV2	CPU-0	(10000x200)(int32 20x20)(int32 1x1)->(20x20x200)
23	    62.16	     1.00	    62.16	     0.70	  7912.55	    89.66	     0.00	     0.00	Pack	GPU-0	(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)->(7x1)
24	    58.89	     1.00	    58.89	     0.67	  7971.44	    90.33	5999999.00	   101.88	L2Loss	GPU-0	(200x10000)->(1x1)
25	    58.39	     1.00	    58.39	     0.66	  8029.83	    90.99	     0.00	     0.00	ScatterSub	CPU-0	(10000x200)(int32 400x1)(400x200)->(10000x200)
26	    56.37	     1.00	    56.37	     0.64	  8086.20	    91.63	1520000.00	    26.96	AddN	GPU-0	(20x20x200)(20x20x200)(20x20x200)(20x20x200)(20x20x200)(20x20x200)(20x20x200)(20x20x200)(20x20x200)(20x20x200)(20x20x200)(20x20x200)(20x20x200)(20x20x200)(20x20x200)(20x20x200)(20x20x200)(20x20x200)(20x20x200)(20x20x200)->(20x20x200)
27	    27.08	     2.00	    54.16	     0.61	  8140.36	    92.24	     0.00	     0.00	ApplyGradientDescent	GPU-0	(400x800)(1x1)(400x800)->(400x800)
28	    39.92	     1.00	    39.92	     0.45	  8180.28	    92.70	     0.00	     0.00	MEMCPYDtoH	GPU-0	(Transfer)->(320000 bytes)
29	    19.93	     2.00	    39.86	     0.45	  8220.14	    93.15	1919998.00	    48.17	L2Loss	GPU-0	(400x800)->(1x1)
